t;X;Y;Z
0.0083333;-0.38814;0.011198;0.74194
0.016667;-0.38786;0.010926;0.74219
0.025;-0.38771;0.010623;0.74253
0.033333;-0.38776;0.010418;0.74283
0.041667;-0.38803;0.010203;0.74304
0.05;-0.38855;0.010008;0.74315
0.058333;-0.3892;0.0098855;0.74312
0.066667;-0.38972;0.0099085;0.74293
0.075;-0.39018;0.0098809;0.74271
0.083333;-0.39044;0.0098183;0.74253
0.091667;-0.3905;0.0097825;0.74231
0.1;-0.39044;0.0097261;0.74216
0.10833;-0.39029;0.0096342;0.74201
0.11667;-0.3901;0.0094892;0.742
0.125;-0.38984;0.0092712;0.74203
0.13333;-0.38959;0.0090911;0.74202
0.14167;-0.3893;0.0089415;0.74195
0.15;-0.38897;0.0088166;0.74178
0.15833;-0.38852;0.0087324;0.74146
0.16667;-0.38799;0.0086816;0.74104
0.175;-0.38751;0.0086176;0.74063
0.18333;-0.38708;0.0084486;0.74015
0.19167;-0.38669;0.0082122;0.73954
0.2;-0.38632;0.0080197;0.73915
0.20833;-0.38597;0.0078434;0.73871
0.21667;-0.3855;0.0076248;0.73824
0.225;-0.38511;0.0072856;0.73791
0.23333;-0.38475;0.006972;0.73778
0.24167;-0.38425;0.0066441;0.73748
0.25;-0.38392;0.0063392;0.73715
0.25833;-0.38353;0.0060108;0.73683
0.26667;-0.38319;0.0056831;0.73649
0.275;-0.38286;0.005337;0.73603
0.28333;-0.3826;0.0050733;0.73558
0.29167;-0.38226;0.0048435;0.73515
0.3;-0.38207;0.0045095;0.73485
0.30833;-0.38189;0.0042168;0.73458
0.31667;-0.38168;0.0039574;0.73426
0.325;-0.38149;0.0037347;0.73393
0.33333;-0.38128;0.0036188;0.73356
0.34167;-0.38095;0.0035295;0.73326
0.35;-0.3805;0.0034195;0.73297
0.35833;-0.37991;0.003147;0.7326
0.36667;-0.37934;0.0029177;0.73225
0.375;-0.37894;0.0027472;0.73222
0.38333;-0.37863;0.0025721;0.73226
0.39167;-0.3786;0.0023975;0.73224
0.4;-0.37874;0.0022859;0.73221
0.40833;-0.37896;0.0021369;0.73222
0.41667;-0.37912;0.0019722;0.73222
0.425;-0.37935;0.0018986;0.73222
0.43333;-0.37953;0.0018879;0.73221
0.44167;-0.37972;0.0018677;0.73226
0.45;-0.37992;0.0018978;0.73227
0.45833;-0.3803;0.001813;0.73224
0.46667;-0.38093;0.0017702;0.73219
0.475;-0.38164;0.0017453;0.7322
0.48333;-0.38268;0.0015851;0.73226
0.49167;-0.38397;0.001458;0.73228
0.5;-0.38559;0.0013774;0.73236
0.50833;-0.3874;0.0012934;0.7325
0.51667;-0.3894;0.0012128;0.73258
0.525;-0.39151;0.001188;0.73261
0.53333;-0.39375;0.0011181;0.73262
0.54167;-0.396;0.0010798;0.73271
0.55;-0.39831;0.0011923;0.73274
0.55833;-0.40067;0.0013063;0.73288
0.56667;-0.40289;0.0012127;0.7329
0.575;-0.40501;0.0012575;0.73295
0.58333;-0.40716;0.0014092;0.73295
0.59167;-0.40937;0.0014658;0.73311
0.6;-0.41147;0.0014633;0.7332
0.60833;-0.41344;0.0014793;0.73322
0.61667;-0.41523;0.001569;0.73322
0.625;-0.41681;0.0016204;0.73332
0.63333;-0.41802;0.0016268;0.73328
0.64167;-0.41906;0.0016193;0.73337
0.65;-0.41981;0.0016394;0.73335
0.65833;-0.42048;0.0015246;0.73338
0.66667;-0.42088;0.0014816;0.73339
0.675;-0.42096;0.001359;0.73344
0.68333;-0.42084;0.0011372;0.73377
0.69167;-0.42043;0.00091277;0.73422
0.7;-0.41966;0.00054673;0.73489
0.70833;-0.41874;0.00011041;0.7355
0.71667;-0.41779;-0.00042174;0.73634
0.725;-0.41651;-0.00072047;0.73702
0.73333;-0.41528;-0.0011501;0.73765
0.74167;-0.41378;-0.0015795;0.73808
0.75;-0.41232;-0.0020831;0.73847
0.75833;-0.41087;-0.0025082;0.73856
0.76667;-0.40944;-0.0029092;0.73842
0.775;-0.40828;-0.0032707;0.73819
0.78333;-0.40708;-0.0034151;0.73773
0.79167;-0.40604;-0.0035298;0.73696
0.8;-0.40494;-0.0034681;0.7361
0.80833;-0.40413;-0.0033334;0.73493
0.81667;-0.40334;-0.0030323;0.73362
0.825;-0.40268;-0.0026387;0.73242
0.83333;-0.40231;-0.0023934;0.73261
0.84167;-0.40168;-0.0020707;0.73263
0.85;-0.40131;-0.001376;0.73259
0.85833;-0.4013;-0.00059474;0.73252
0.86667;-0.40119;0.00036457;0.73254
0.875;-0.40088;0.001612;0.73251
0.88333;-0.40093;0.0027204;0.73247
0.89167;-0.40113;0.0041231;0.73243
0.9;-0.40133;0.0057603;0.7323
0.90833;-0.40146;0.0073277;0.73242
0.91667;-0.4019;0.0088592;0.73239
0.925;-0.40214;0.010606;0.73234
0.93333;-0.40238;0.012232;0.73229
0.94167;-0.40269;0.014016;0.73235
0.95;-0.40294;0.015536;0.73226
0.95833;-0.40319;0.017029;0.73225
0.96667;-0.40339;0.018534;0.73214
0.975;-0.40361;0.019832;0.73222
0.98333;-0.40375;0.020904;0.73228
0.99167;-0.40397;0.021905;0.7322
1;-0.40422;0.022797;0.73225
1.0083;-0.40441;0.023717;0.7323
1.0167;-0.4042;0.024504;0.73223
1.025;-0.40379;0.024988;0.7324
1.0333;-0.40319;0.025248;0.7329
1.0417;-0.40211;0.025319;0.7336
1.05;-0.40102;0.025165;0.73431
1.0583;-0.39952;0.024978;0.73502
1.0667;-0.39803;0.024498;0.73581
1.075;-0.39654;0.024012;0.73636
1.0833;-0.39505;0.023547;0.73674
1.0917;-0.39361;0.023009;0.73696
1.1;-0.3919;0.022553;0.73697
1.1083;-0.3903;0.022044;0.7366
1.1167;-0.38877;0.021509;0.73636
1.125;-0.38708;0.021118;0.7357
1.1333;-0.38566;0.020617;0.73512
1.1417;-0.38427;0.020258;0.73417
1.15;-0.38297;0.020005;0.73317
1.1583;-0.38196;0.019833;0.73201
1.1667;-0.38128;0.019629;0.73159
1.175;-0.38065;0.019403;0.7317
1.1833;-0.38039;0.019243;0.7316
1.1917;-0.38052;0.019227;0.73158
