t;X;Y;Z
0.0083333;-0.47013;0.074167;0.93996
0.016667;-0.47022;0.07401;0.93974
0.025;-0.4703;0.073758;0.93962
0.033333;-0.47033;0.073588;0.9395
0.041667;-0.47031;0.073451;0.93933
0.05;-0.47027;0.073321;0.93909
0.058333;-0.47024;0.073219;0.93876
0.066667;-0.47018;0.073105;0.93838
0.075;-0.47011;0.072985;0.93798
0.083333;-0.47;0.07279;0.93744
0.091667;-0.46982;0.072628;0.93672
0.1;-0.4697;0.072455;0.93601
0.10833;-0.46952;0.072349;0.93512
0.11667;-0.46935;0.072212;0.93422
0.125;-0.46912;0.072113;0.93324
0.13333;-0.46894;0.072118;0.93232
0.14167;-0.46866;0.072132;0.9313
0.15;-0.46846;0.072298;0.93047
0.15833;-0.46813;0.07249;0.92935
0.16667;-0.46785;0.072741;0.9283
0.175;-0.46747;0.072948;0.927
0.18333;-0.46721;0.073214;0.92584
0.19167;-0.46692;0.073348;0.92459
0.2;-0.46647;0.073598;0.92326
0.20833;-0.46612;0.073916;0.92207
0.21667;-0.46565;0.074243;0.92076
0.225;-0.46518;0.074702;0.91964
0.23333;-0.46457;0.075142;0.91836
0.24167;-0.46395;0.07559;0.91735
0.25;-0.463;0.076066;0.91631
0.25833;-0.46213;0.076585;0.91545
0.26667;-0.461;0.07721;0.91446
0.275;-0.4598;0.07782;0.91369
0.28333;-0.45844;0.078495;0.91293
0.29167;-0.45693;0.079117;0.9123
0.3;-0.45522;0.079846;0.91191
0.30833;-0.45344;0.080617;0.91165
0.31667;-0.45153;0.081337;0.91167
0.325;-0.4496;0.082201;0.91191
0.33333;-0.44771;0.08307;0.91234
0.34167;-0.44595;0.084061;0.91293
0.35;-0.44452;0.085207;0.91379
0.35833;-0.44323;0.08636;0.91468
0.36667;-0.44225;0.087568;0.91587
0.375;-0.44157;0.088862;0.91718
0.38333;-0.44137;0.090199;0.91883
0.39167;-0.44148;0.091639;0.92061
0.4;-0.44185;0.093242;0.92256
0.40833;-0.44272;0.094922;0.92477
0.41667;-0.44391;0.096721;0.9271
0.425;-0.44545;0.098655;0.92973
0.43333;-0.44717;0.10044;0.9325
0.44167;-0.4493;0.10248;0.93554
0.45;-0.4517;0.10452;0.93865
0.45833;-0.45441;0.1067;0.94203
0.46667;-0.45756;0.10912;0.94532
0.475;-0.46093;0.11164;0.94869
0.48333;-0.46478;0.11429;0.95223
0.49167;-0.46894;0.11709;0.9556
0.5;-0.47329;0.11999;0.95896
0.50833;-0.47806;0.12279;0.96232
0.51667;-0.48301;0.12571;0.96564
0.525;-0.48821;0.12853;0.969
0.53333;-0.49365;0.13126;0.97235
0.54167;-0.49922;0.13404;0.97566
0.55;-0.50494;0.13662;0.97902
0.55833;-0.51092;0.13925;0.98239
0.56667;-0.51702;0.14184;0.98573
0.575;-0.52334;0.14435;0.98912
0.58333;-0.52993;0.14676;0.99256
0.59167;-0.53659;0.14906;0.99596
0.6;-0.54358;0.15122;0.99944
0.60833;-0.55056;0.1532;1.0027
0.61667;-0.55756;0.15502;1.0058
0.625;-0.56471;0.15674;1.009
0.63333;-0.57194;0.15808;1.012
0.64167;-0.57918;0.15902;1.015
0.65;-0.5863;0.15965;1.0178
0.65833;-0.59341;0.15997;1.0207
0.66667;-0.60044;0.16009;1.0236
0.675;-0.60776;0.16012;1.0268
0.68333;-0.61451;0.16041;1.0297
0.69167;-0.6215;0.161;1.0326
0.7;-0.62845;0.16208;1.0354
0.70833;-0.63536;0.16341;1.0382
0.71667;-0.64207;0.16468;1.0407
0.725;-0.64867;0.16561;1.0431
0.73333;-0.65511;0.16607;1.0458
0.74167;-0.66133;0.16605;1.0484
0.75;-0.66704;0.16562;1.0511
0.75833;-0.67247;0.16489;1.0539
0.76667;-0.67752;0.16381;1.0566
0.775;-0.68223;0.16264;1.0594
0.78333;-0.68651;0.16133;1.0621
0.79167;-0.69059;0.16039;1.0649
0.8;-0.69416;0.15983;1.0677
0.80833;-0.69732;0.15962;1.0707
0.81667;-0.6998;0.15935;1.0738
0.825;-0.70172;0.15861;1.0773
0.83333;-0.70301;0.15729;1.0812
0.84167;-0.70391;0.15534;1.0857
0.85;-0.70399;0.15283;1.0903
0.85833;-0.70345;0.15007;1.0951
0.86667;-0.70247;0.14704;1.0999
0.875;-0.70089;0.14369;1.1047
0.88333;-0.69904;0.14004;1.1096
0.89167;-0.69667;0.13598;1.1144
0.9;-0.69393;0.13172;1.119
0.90833;-0.69084;0.12745;1.1237
0.91667;-0.68742;0.12315;1.1283
0.925;-0.68379;0.11893;1.1327
0.93333;-0.67979;0.11478;1.1371
0.94167;-0.67508;0.11055;1.1413
0.95;-0.67039;0.10617;1.1454
0.95833;-0.6653;0.10172;1.1495
0.96667;-0.66001;0.097116;1.1534
0.975;-0.65428;0.092501;1.157
0.98333;-0.64836;0.087843;1.1604
0.99167;-0.64235;0.083227;1.1637
