t;X;Y;Z
0.0083333;-0.53244;0.50681;0.76264
0.016667;-0.53248;0.50678;0.76275
0.025;-0.53254;0.50674;0.76285
0.033333;-0.53254;0.5067;0.7629
0.041667;-0.53255;0.50667;0.76291
0.05;-0.53248;0.50662;0.76287
0.058333;-0.53248;0.50653;0.76284
0.066667;-0.53242;0.50648;0.76278
0.075;-0.53234;0.50639;0.76272
0.083333;-0.53219;0.50637;0.76265
0.091667;-0.53205;0.50631;0.76256
0.1;-0.5319;0.5063;0.76249
0.10833;-0.53174;0.5063;0.76246
0.11667;-0.53162;0.50631;0.76242
0.125;-0.53141;0.50636;0.76235
0.13333;-0.53121;0.50636;0.76222
0.14167;-0.53093;0.50634;0.76203
0.15;-0.53072;0.50631;0.76185
0.15833;-0.53038;0.50627;0.76169
0.16667;-0.53004;0.50621;0.76158
0.175;-0.52975;0.50616;0.76154
0.18333;-0.52947;0.50617;0.76153
0.19167;-0.52918;0.50614;0.76154
0.2;-0.5289;0.50605;0.7616
0.20833;-0.52862;0.50582;0.7617
0.21667;-0.52817;0.50576;0.76176
0.225;-0.52789;0.50559;0.76182
0.23333;-0.52761;0.50541;0.7618
0.24167;-0.52729;0.50518;0.76174
0.25;-0.52698;0.5049;0.76171
0.25833;-0.52664;0.50477;0.76152
0.26667;-0.52645;0.50444;0.76148
0.275;-0.52632;0.50402;0.76147
0.28333;-0.52625;0.50354;0.76148
0.29167;-0.52624;0.50304;0.76148
0.3;-0.52631;0.5026;0.76146
0.30833;-0.52644;0.50214;0.76142
0.31667;-0.52659;0.5017;0.76125
0.325;-0.5269;0.5011;0.76112
0.33333;-0.52724;0.50066;0.76094
0.34167;-0.52771;0.50027;0.76069
0.35;-0.52813;0.49981;0.76046
0.35833;-0.52875;0.49938;0.76022
0.36667;-0.52941;0.49892;0.76
0.375;-0.53007;0.49848;0.7598
0.38333;-0.53079;0.49812;0.75953
0.39167;-0.53151;0.49777;0.75934
0.4;-0.53229;0.49726;0.75918
0.40833;-0.53295;0.49689;0.75895
0.41667;-0.53365;0.49656;0.75865
0.425;-0.5343;0.49607;0.75843
0.43333;-0.5348;0.49569;0.75819
0.44167;-0.53539;0.49536;0.7579
0.45;-0.5359;0.49487;0.75789
0.45833;-0.53617;0.49447;0.75792
0.46667;-0.53639;0.49414;0.75792
0.475;-0.53645;0.49391;0.75786
0.48333;-0.53644;0.49375;0.75785
0.49167;-0.53631;0.49361;0.75785
0.5;-0.53618;0.49357;0.75785
0.50833;-0.53581;0.49365;0.75772
0.51667;-0.53523;0.49386;0.75775
0.525;-0.53443;0.4943;0.75773
0.53333;-0.53361;0.49496;0.75766
0.54167;-0.53248;0.49551;0.75779
0.55;-0.53109;0.49622;0.7579
0.55833;-0.52949;0.49717;0.75794
0.56667;-0.52767;0.49812;0.75807
0.575;-0.52553;0.4992;0.75807
0.58333;-0.5233;0.50035;0.75811
0.59167;-0.52081;0.50148;0.7582
0.6;-0.51826;0.50279;0.75816
0.60833;-0.51568;0.50418;0.75824
0.61667;-0.51312;0.50548;0.7583
0.625;-0.51047;0.5067;0.75833
0.63333;-0.50798;0.50785;0.75839
0.64167;-0.50576;0.50897;0.75839
0.65;-0.50363;0.51004;0.75838
0.65833;-0.50201;0.51089;0.75841
0.66667;-0.50069;0.51156;0.75841
