t;X;Y;Z
0.0083333;-0.59092;0.58508;0.76067
0.016667;-0.59093;0.58504;0.7607
0.025;-0.59095;0.585;0.76069
0.033333;-0.59096;0.58496;0.76074
0.041667;-0.59097;0.5849;0.76075
0.05;-0.59099;0.58484;0.76077
0.058333;-0.59103;0.58479;0.76079
0.066667;-0.59105;0.5847;0.7608
0.075;-0.59105;0.58464;0.76082
0.083333;-0.59103;0.58457;0.76085
0.091667;-0.59105;0.58449;0.76088
0.1;-0.59113;0.58442;0.76087
0.10833;-0.59115;0.58436;0.76091
0.11667;-0.59118;0.5843;0.76094
0.125;-0.59115;0.58419;0.76095
0.13333;-0.59116;0.58413;0.76097
0.14167;-0.5912;0.58405;0.76096
0.15;-0.59123;0.58401;0.76097
0.15833;-0.59129;0.58396;0.76099
0.16667;-0.59136;0.58391;0.76098
0.175;-0.59146;0.58387;0.76101
0.18333;-0.59159;0.58384;0.76102
0.19167;-0.59174;0.5838;0.761
0.2;-0.59178;0.58376;0.76094
0.20833;-0.592;0.58361;0.76102
0.21667;-0.59221;0.58347;0.76106
0.225;-0.59241;0.58335;0.76107
0.23333;-0.59259;0.58317;0.76107
0.24167;-0.59283;0.58298;0.7611
0.25;-0.59302;0.58287;0.76116
0.25833;-0.59326;0.58268;0.76111
0.26667;-0.59347;0.58259;0.76114
0.275;-0.59372;0.58244;0.76117
0.28333;-0.5941;0.5823;0.76122
0.29167;-0.59446;0.58224;0.76122
0.3;-0.59496;0.58218;0.76122
0.30833;-0.59545;0.58221;0.76117
0.31667;-0.59608;0.58226;0.76117
0.325;-0.59682;0.58232;0.76117
0.33333;-0.59759;0.58245;0.76116
0.34167;-0.59812;0.58278;0.76107
0.35;-0.59888;0.58288;0.76114
0.35833;-0.59964;0.58315;0.76109
0.36667;-0.6004;0.58344;0.76111
0.375;-0.60108;0.58385;0.7611
0.38333;-0.60205;0.58417;0.76114
0.39167;-0.60304;0.58454;0.76113
0.4;-0.6039;0.58505;0.76111
0.40833;-0.60499;0.58562;0.76113
0.41667;-0.60605;0.58635;0.76109
0.425;-0.60711;0.58707;0.7611
0.43333;-0.60814;0.58781;0.76111
0.44167;-0.60925;0.58846;0.76121
0.45;-0.6103;0.58925;0.76115
0.45833;-0.61138;0.59013;0.76112
