t;X;Y;Z
0.0083333;-0.51004;0.42158;0.73962
0.016667;-0.51024;0.42162;0.7396
0.025;-0.5106;0.42136;0.73987
0.033333;-0.51083;0.42167;0.73957
0.041667;-0.51106;0.42167;0.73953
0.05;-0.51152;0.42172;0.7396
0.058333;-0.51219;0.42183;0.73964
0.066667;-0.51275;0.42193;0.73963
0.075;-0.51346;0.42213;0.73969
0.083333;-0.51431;0.42239;0.73969
0.091667;-0.5153;0.42277;0.7397
0.1;-0.51623;0.42323;0.73963
0.10833;-0.51707;0.4239;0.73951
0.11667;-0.51809;0.42414;0.73959
0.125;-0.51915;0.42451;0.7397
0.13333;-0.52002;0.42514;0.73978
0.14167;-0.52096;0.42588;0.7396
0.15;-0.52176;0.42671;0.73965
0.15833;-0.52273;0.42772;0.73965
0.16667;-0.52384;0.42863;0.73989
0.175;-0.52483;0.42999;0.7398
0.18333;-0.52602;0.43131;0.73991
0.19167;-0.52725;0.43268;0.74008
0.2;-0.52817;0.43404;0.74012
0.20833;-0.52893;0.4354;0.74006
0.21667;-0.52972;0.43682;0.74012
0.225;-0.53037;0.43821;0.74013
0.23333;-0.53101;0.43959;0.74021
0.24167;-0.53155;0.44109;0.74016
0.25;-0.53204;0.4426;0.74023
0.25833;-0.53255;0.4442;0.74031
0.26667;-0.53288;0.44591;0.74029
0.275;-0.53336;0.44767;0.74028
0.28333;-0.53377;0.44942;0.74035
0.29167;-0.53425;0.45117;0.74035
0.3;-0.53479;0.45292;0.74036
0.30833;-0.53532;0.45465;0.74044
0.31667;-0.53585;0.4564;0.74046
0.325;-0.53626;0.45814;0.74057
0.33333;-0.53661;0.45992;0.74046
0.34167;-0.53692;0.46165;0.74046
0.35;-0.53718;0.46329;0.7405
0.35833;-0.5374;0.46496;0.74058
0.36667;-0.53741;0.46671;0.74053
0.375;-0.53741;0.46838;0.74055
0.38333;-0.53737;0.47021;0.74058
0.39167;-0.53727;0.47211;0.7406
0.4;-0.53724;0.47391;0.7406
0.40833;-0.53722;0.4758;0.74057
0.41667;-0.5371;0.47764;0.74059
0.425;-0.53699;0.47953;0.74064
0.43333;-0.53664;0.48138;0.74062
0.44167;-0.53627;0.48326;0.74056
0.45;-0.53583;0.48507;0.74062
0.45833;-0.53524;0.48694;0.74057
0.46667;-0.53466;0.48868;0.74065
0.475;-0.53385;0.49054;0.74061
0.48333;-0.53292;0.4925;0.74051
0.49167;-0.53218;0.49436;0.74057
0.5;-0.53148;0.49628;0.74061
0.50833;-0.53077;0.49822;0.74068
0.51667;-0.53004;0.50024;0.74055
0.525;-0.52951;0.50205;0.74073
0.53333;-0.52857;0.5044;0.74054
0.54167;-0.52776;0.50649;0.74063
0.55;-0.52687;0.50862;0.74058
0.55833;-0.5259;0.51074;0.74056
0.56667;-0.52485;0.51293;0.74048
0.575;-0.52384;0.51509;0.74055
0.58333;-0.52273;0.51725;0.74062
0.59167;-0.52142;0.5195;0.74054
0.6;-0.52025;0.52186;0.7405
0.60833;-0.51895;0.52411;0.74047
0.61667;-0.51772;0.52645;0.74049
0.625;-0.51622;0.52865;0.74047
0.63333;-0.51481;0.53081;0.74036
0.64167;-0.51321;0.53288;0.74036
0.65;-0.51151;0.53488;0.74042
0.65833;-0.51007;0.53648;0.74071
0.66667;-0.50797;0.5386;0.7405
0.675;-0.5059;0.54044;0.74036
0.68333;-0.50369;0.54215;0.74037
0.69167;-0.50155;0.54382;0.74025
0.7;-0.49926;0.54537;0.74021
0.70833;-0.497;0.54676;0.74015
0.71667;-0.49459;0.54817;0.74006
0.725;-0.4921;0.54931;0.73997
0.73333;-0.48953;0.55049;0.7399
0.74167;-0.48697;0.55138;0.7399
0.75;-0.48435;0.55237;0.7398
0.75833;-0.48158;0.5532;0.73981
0.76667;-0.47878;0.55386;0.73976
0.775;-0.47604;0.55441;0.73965
0.78333;-0.47343;0.55483;0.73966
0.79167;-0.47076;0.5551;0.73968
0.8;-0.46818;0.55526;0.7397
0.80833;-0.4657;0.55537;0.7398
0.81667;-0.46335;0.55524;0.74001
0.825;-0.46052;0.55519;0.73967
0.83333;-0.45801;0.55495;0.73966
0.84167;-0.45548;0.55454;0.73967
0.85;-0.45289;0.55389;0.73956
0.85833;-0.45042;0.55312;0.73947
0.86667;-0.44793;0.5522;0.73931
0.875;-0.44576;0.55117;0.73919
0.88333;-0.44366;0.54994;0.73912
0.89167;-0.44187;0.5485;0.73916
0.9;-0.43988;0.54709;0.73896
0.90833;-0.43836;0.54561;0.73909
0.91667;-0.43673;0.54413;0.73889
0.925;-0.43552;0.54237;0.739
0.93333;-0.43414;0.54071;0.73881
0.94167;-0.43306;0.53887;0.73882
0.95;-0.43226;0.5368;0.73888
0.95833;-0.43129;0.5348;0.73884
0.96667;-0.43112;0.53236;0.73939
0.975;-0.42997;0.53079;0.73876
0.98333;-0.42973;0.52869;0.73884
0.99167;-0.42976;0.5266;0.73886
1;-0.4298;0.52479;0.73878
1.0083;-0.43018;0.52295;0.73872
1.0167;-0.43086;0.52106;0.73893
1.025;-0.43135;0.51933;0.73877
1.0333;-0.43207;0.51761;0.73884
1.0417;-0.43273;0.51601;0.73877
1.05;-0.43363;0.51422;0.7389
1.0583;-0.4345;0.51273;0.73881
1.0667;-0.43549;0.51121;0.73886
1.075;-0.43658;0.50996;0.73882
1.0833;-0.4379;0.50848;0.73886
1.0917;-0.43885;0.50746;0.73875
1.1;-0.44058;0.50612;0.73879
1.1083;-0.4423;0.5051;0.73888
1.1167;-0.44389;0.50403;0.73887
1.125;-0.44602;0.50316;0.73907
1.1333;-0.44826;0.50223;0.73938
1.1417;-0.45005;0.5018;0.7392
1.15;-0.45221;0.50124;0.7392
1.1583;-0.45451;0.50091;0.73915
1.1667;-0.45679;0.50053;0.73919
1.175;-0.45928;0.50033;0.73927
1.1833;-0.46185;0.50024;0.73938
1.1917;-0.4645;0.50012;0.73949
1.2;-0.46717;0.50024;0.73952
1.2083;-0.46961;0.50032;0.7395
1.2167;-0.47213;0.50062;0.73956
1.225;-0.47475;0.50107;0.73956
1.2333;-0.47742;0.50164;0.73968
1.2417;-0.47994;0.50229;0.73975
1.25;-0.48251;0.50314;0.73974
1.2583;-0.48509;0.50409;0.73984
1.2667;-0.48754;0.50527;0.73986
1.275;-0.48997;0.50645;0.73982
1.2833;-0.4924;0.50782;0.73986
1.2917;-0.49475;0.50919;0.73998
1.3;-0.49705;0.5107;0.73997
1.3083;-0.49928;0.51233;0.74007
1.3167;-0.50137;0.51403;0.74007
1.325;-0.50336;0.5158;0.74005
1.3333;-0.50542;0.51765;0.74015
1.3417;-0.50747;0.5196;0.74012
1.35;-0.50947;0.52162;0.74028
1.3583;-0.51153;0.52353;0.74044
1.3667;-0.51331;0.52581;0.74035
1.375;-0.51514;0.52803;0.74035
1.3833;-0.51672;0.53022;0.74028
1.3917;-0.51838;0.53246;0.74035
1.4;-0.51994;0.53458;0.74041
1.4083;-0.52149;0.53674;0.7404
1.4167;-0.52285;0.53896;0.74051
1.425;-0.52415;0.5411;0.7404
1.4333;-0.52545;0.54335;0.74041
1.4417;-0.52674;0.54557;0.74047
1.45;-0.52797;0.54799;0.74039
1.4583;-0.5293;0.55032;0.74053
1.4667;-0.53051;0.55273;0.74051
1.475;-0.53165;0.55516;0.74048
1.4833;-0.53274;0.55759;0.74056
1.4917;-0.5337;0.55981;0.74056
1.5;-0.53478;0.56234;0.74065
1.5083;-0.53556;0.56475;0.74058
1.5167;-0.53621;0.56717;0.7405
1.525;-0.53712;0.56959;0.74063
1.5333;-0.53777;0.57209;0.74062
1.5417;-0.53841;0.57468;0.74063
1.55;-0.53908;0.57733;0.74057
1.5583;-0.53959;0.57999;0.74047
1.5667;-0.54012;0.58274;0.74047
1.575;-0.54037;0.58536;0.74049
1.5833;-0.54063;0.58794;0.74045
1.5917;-0.54076;0.59045;0.7404
1.6;-0.54077;0.59286;0.74043
1.6083;-0.54067;0.59523;0.74042
1.6167;-0.54036;0.59756;0.74033
1.625;-0.54032;0.59985;0.74054
1.6333;-0.53963;0.60211;0.74037
1.6417;-0.53906;0.60433;0.74034
1.65;-0.53838;0.60641;0.74035
1.6583;-0.53765;0.60856;0.74037
1.6667;-0.53675;0.61056;0.74035
1.675;-0.53567;0.61256;0.7403
1.6833;-0.53456;0.6144;0.74031
1.6917;-0.53345;0.61623;0.74027
1.7;-0.53225;0.61798;0.74026
1.7083;-0.53087;0.6196;0.74024
1.7167;-0.52949;0.62117;0.74031
1.725;-0.52805;0.62264;0.74023
1.7333;-0.52654;0.62399;0.74018
1.7417;-0.52442;0.62536;0.73987
1.75;-0.52325;0.6263;0.74005
1.7583;-0.52161;0.62729;0.74012
1.7667;-0.5199;0.62811;0.74007
1.775;-0.51822;0.62881;0.7401
1.7833;-0.51643;0.62931;0.74008
1.7917;-0.51461;0.62977;0.73999
1.8;-0.51293;0.62992;0.74006
1.8083;-0.51127;0.62988;0.74002
1.8167;-0.50943;0.62978;0.74004
1.825;-0.50769;0.62944;0.73992
1.8333;-0.506;0.62902;0.73986
1.8417;-0.50445;0.62827;0.73983
1.85;-0.50296;0.62745;0.73992
1.8583;-0.50149;0.62637;0.73992
1.8667;-0.50015;0.62516;0.73987
1.875;-0.49867;0.62374;0.73983
1.8833;-0.49735;0.62211;0.73983
1.8917;-0.49624;0.62044;0.73986
1.9;-0.49509;0.6185;0.73981
1.9083;-0.49409;0.61649;0.73979
1.9167;-0.49326;0.61434;0.73985
1.925;-0.49241;0.61205;0.73984
1.9333;-0.49167;0.60971;0.73987
1.9417;-0.49102;0.60737;0.73979
1.95;-0.49043;0.60476;0.73973
1.9583;-0.49007;0.60196;0.73991
1.9667;-0.48958;0.59914;0.73997
1.975;-0.48919;0.59624;0.74005
1.9833;-0.48892;0.59334;0.74009
1.9917;-0.48856;0.59039;0.74
2;-0.4884;0.58752;0.73996
2.0083;-0.48828;0.5845;0.74006
2.0167;-0.48839;0.5814;0.74021
2.025;-0.4885;0.57872;0.74015
2.0333;-0.4887;0.57583;0.74011
2.0417;-0.48893;0.57305;0.74008
2.05;-0.48939;0.57021;0.74013
2.0583;-0.48978;0.56749;0.74017
2.0667;-0.49017;0.56475;0.7401
2.075;-0.49076;0.56205;0.74016
2.0833;-0.49139;0.55941;0.74012
2.0917;-0.49211;0.55686;0.74015
2.1;-0.49292;0.55449;0.74019
2.1083;-0.49389;0.55215;0.74027
2.1167;-0.49486;0.54992;0.74027
2.125;-0.49596;0.54769;0.74021
2.1333;-0.4973;0.54561;0.74029
2.1417;-0.49867;0.54362;0.74036
2.15;-0.5001;0.54165;0.74036
2.1583;-0.50156;0.53982;0.74033
2.1667;-0.50313;0.53792;0.74041
2.175;-0.50465;0.53618;0.7404
2.1833;-0.50627;0.5345;0.74037
2.1917;-0.50794;0.53292;0.74043
2.2;-0.5097;0.53125;0.74047
2.2083;-0.51157;0.5298;0.74045
2.2167;-0.51342;0.52824;0.74052
2.225;-0.51541;0.52676;0.74056
2.2333;-0.51733;0.52542;0.74055
2.2417;-0.51937;0.52414;0.74053
2.25;-0.52138;0.52288;0.74057
2.2583;-0.52334;0.52162;0.74051
2.2667;-0.52537;0.52031;0.74059
2.275;-0.52738;0.51918;0.7405
2.2833;-0.52946;0.51792;0.74057
2.2917;-0.53155;0.51671;0.74057
2.3;-0.53361;0.51555;0.74062
2.3083;-0.53575;0.51446;0.74058
2.3167;-0.53792;0.51344;0.74059
2.325;-0.54012;0.51244;0.74057
2.3333;-0.54232;0.51154;0.74058
2.3417;-0.54462;0.51066;0.74062
2.35;-0.54694;0.50983;0.74066
2.3583;-0.54911;0.50908;0.74071
2.3667;-0.55136;0.50834;0.74071
2.375;-0.55365;0.50778;0.74078
2.3833;-0.55599;0.50728;0.74081
2.3917;-0.55831;0.50701;0.74084
2.4;-0.56063;0.50681;0.74084
2.4083;-0.56294;0.50666;0.74083
2.4167;-0.56534;0.50671;0.74083
2.425;-0.56781;0.50676;0.74085
2.4333;-0.57025;0.50695;0.74091
2.4417;-0.57279;0.5072;0.74093
2.45;-0.57533;0.50752;0.74096
2.4583;-0.57773;0.50787;0.74095
2.4667;-0.58018;0.50842;0.74097
2.475;-0.58284;0.50881;0.74111
2.4833;-0.58498;0.50972;0.74102
2.4917;-0.58724;0.51056;0.741
2.5;-0.58949;0.51144;0.741
2.5083;-0.59168;0.51228;0.74107
2.5167;-0.59375;0.51336;0.7411
2.525;-0.5958;0.51443;0.74102
2.5333;-0.5978;0.51561;0.74107
2.5417;-0.59976;0.51687;0.74111
2.55;-0.60168;0.51826;0.74117
2.5583;-0.60341;0.51987;0.74114
2.5667;-0.60521;0.52147;0.74121
2.575;-0.60684;0.52323;0.7412
2.5833;-0.60825;0.52499;0.74119
2.5917;-0.60967;0.52684;0.74126
2.6;-0.61082;0.5287;0.74126
2.6083;-0.61177;0.53061;0.74122
2.6167;-0.61271;0.53253;0.74127
2.625;-0.61341;0.53449;0.74133
2.6333;-0.61383;0.53653;0.74129
