t;X;Y;Z
0.0083333;-0.52713;0.50008;0.7629
0.016667;-0.52686;0.50017;0.76231
0.025;-0.52664;0.50008;0.76192
0.033333;-0.52616;0.50023;0.76152
0.041667;-0.52569;0.50028;0.76115
0.05;-0.52534;0.5003;0.76081
0.058333;-0.52502;0.5003;0.76047
0.066667;-0.52471;0.50026;0.76011
0.075;-0.52441;0.50026;0.75978
0.083333;-0.52411;0.50029;0.75947
0.091667;-0.52382;0.50029;0.75918
0.1;-0.52349;0.50029;0.75888
0.10833;-0.52328;0.50027;0.75863
0.11667;-0.52312;0.50022;0.75843
0.125;-0.52293;0.50019;0.75828
0.13333;-0.52281;0.50015;0.75815
0.14167;-0.52268;0.50013;0.75808
0.15;-0.52257;0.50011;0.75803
0.15833;-0.52249;0.50005;0.758
0.16667;-0.52238;0.50004;0.75797
0.175;-0.52225;0.50003;0.75798
0.18333;-0.52217;0.49996;0.75801
0.19167;-0.52204;0.49995;0.75802
0.2;-0.52196;0.49991;0.75807
0.20833;-0.52181;0.49987;0.758
0.21667;-0.52159;0.49979;0.75799
0.225;-0.52142;0.49968;0.75795
0.23333;-0.52122;0.49959;0.75794
0.24167;-0.52087;0.49959;0.7579
0.25;-0.52072;0.49947;0.75786
0.25833;-0.52059;0.49938;0.75796
0.26667;-0.52039;0.49932;0.75809
0.275;-0.52019;0.49922;0.75813
0.28333;-0.5199;0.49915;0.75804
0.29167;-0.51958;0.49905;0.75799
0.3;-0.51926;0.49892;0.75788
0.30833;-0.51914;0.49871;0.7579
0.31667;-0.51879;0.49862;0.75765
0.325;-0.51858;0.49852;0.75757
0.33333;-0.51824;0.49858;0.75745
0.34167;-0.51806;0.49853;0.7574
0.35;-0.5179;0.49849;0.75736
0.35833;-0.51776;0.49842;0.75734
0.36667;-0.5176;0.4984;0.75724
0.375;-0.51743;0.49837;0.75705
0.38333;-0.51748;0.49822;0.75695
0.39167;-0.51732;0.49826;0.75673
0.4;-0.51704;0.49829;0.75633
0.40833;-0.51704;0.49819;0.75613
0.41667;-0.51682;0.49822;0.75569
0.425;-0.5168;0.49812;0.75563
0.43333;-0.51673;0.49807;0.75564
0.44167;-0.51672;0.4981;0.75561
0.45;-0.5167;0.49815;0.75559
0.45833;-0.51671;0.49821;0.75553
0.46667;-0.51676;0.49828;0.75548
0.475;-0.51682;0.49833;0.75544
0.48333;-0.51694;0.49846;0.75542
0.49167;-0.51703;0.49858;0.7554
0.5;-0.51728;0.4988;0.75536
0.50833;-0.51754;0.49912;0.75533
0.51667;-0.51771;0.49954;0.75524
0.525;-0.51825;0.49999;0.75524
0.53333;-0.5192;0.5002;0.75549
0.54167;-0.51989;0.50067;0.75549
0.55;-0.52117;0.50096;0.75572
