t;X;Y;Z
0.0083333;-0.35941;0.56224;0.76786
0.016667;-0.35937;0.56223;0.76788
0.025;-0.35939;0.56224;0.76792
0.033333;-0.35938;0.56222;0.76788
0.041667;-0.35939;0.56221;0.76789
0.05;-0.35937;0.56222;0.7679
0.058333;-0.35939;0.56223;0.7679
0.066667;-0.3594;0.56222;0.76795
0.075;-0.35937;0.56222;0.76792
0.083333;-0.3594;0.56219;0.76794
0.091667;-0.35943;0.56221;0.76791
0.1;-0.35943;0.56217;0.76793
0.10833;-0.3594;0.56215;0.76793
0.11667;-0.35939;0.56216;0.7679
0.125;-0.35944;0.56213;0.76796
0.13333;-0.35943;0.56215;0.76793
0.14167;-0.35944;0.56212;0.76793
0.15;-0.35942;0.56211;0.76795
0.15833;-0.35943;0.56212;0.76793
0.16667;-0.35943;0.56208;0.76794
0.175;-0.35945;0.5621;0.76793
0.18333;-0.35945;0.5621;0.76794
0.19167;-0.35946;0.5621;0.76792
0.2;-0.35941;0.56209;0.76794
0.20833;-0.35941;0.56209;0.76794
0.21667;-0.3594;0.56213;0.76793
0.225;-0.35941;0.5621;0.76793
0.23333;-0.3594;0.56211;0.76793
0.24167;-0.35938;0.56215;0.76792
0.25;-0.35933;0.56215;0.76789
0.25833;-0.35933;0.56213;0.76791
0.26667;-0.35934;0.56215;0.7679
0.275;-0.35934;0.56216;0.76789
0.28333;-0.35932;0.56216;0.76789
0.29167;-0.3593;0.56214;0.76791
0.3;-0.35931;0.56212;0.76792
0.30833;-0.35936;0.56211;0.76793
0.31667;-0.35935;0.56213;0.76792
0.325;-0.35934;0.56215;0.76791
0.33333;-0.35935;0.56211;0.76792
0.34167;-0.35936;0.56212;0.76792
0.35;-0.35936;0.56213;0.76792
0.35833;-0.3594;0.56209;0.76793
0.36667;-0.35936;0.56209;0.76792
0.375;-0.35936;0.56209;0.76793
0.38333;-0.35936;0.5621;0.76793
0.39167;-0.35937;0.56203;0.76794
0.4;-0.35937;0.56204;0.76795
0.40833;-0.35938;0.56203;0.76795
0.41667;-0.35936;0.56204;0.76794
0.425;-0.35937;0.56205;0.76794
0.43333;-0.35936;0.56207;0.76794
0.44167;-0.35939;0.56205;0.76793
0.45;-0.35937;0.56206;0.76793
0.45833;-0.35936;0.56205;0.76793
0.46667;-0.35933;0.56204;0.76793
0.475;-0.35934;0.56204;0.76793
0.48333;-0.35934;0.56203;0.76794
0.49167;-0.35934;0.56204;0.76794
0.5;-0.35936;0.56205;0.76795
0.50833;-0.35932;0.56205;0.76795
0.51667;-0.35932;0.56204;0.76794
0.525;-0.3593;0.56204;0.76793
0.53333;-0.35932;0.56202;0.76794
0.54167;-0.3593;0.56207;0.76794
0.55;-0.3593;0.56204;0.76796
0.55833;-0.35927;0.56207;0.76793
0.56667;-0.35925;0.56206;0.7679
0.575;-0.35925;0.56208;0.7679
0.58333;-0.35924;0.56206;0.7679
0.59167;-0.35925;0.56207;0.7679
0.6;-0.35924;0.56203;0.76791
0.60833;-0.35922;0.56203;0.76791
0.61667;-0.35917;0.56202;0.7679
0.625;-0.35916;0.56201;0.76793
0.63333;-0.35917;0.56196;0.76794
0.64167;-0.35911;0.56194;0.7679
0.65;-0.3591;0.56189;0.76792
0.65833;-0.35903;0.56187;0.76793
0.66667;-0.35908;0.56184;0.76795
0.675;-0.35909;0.56182;0.76793
0.68333;-0.3591;0.56183;0.76796
0.69167;-0.3591;0.5618;0.76795
0.7;-0.35911;0.56177;0.76795
0.70833;-0.35911;0.5618;0.76795
0.71667;-0.35915;0.56185;0.76793
0.725;-0.35916;0.56191;0.76794
0.73333;-0.35916;0.56192;0.76795
0.74167;-0.35917;0.56191;0.76794
0.75;-0.3592;0.56195;0.76794
0.75833;-0.35924;0.56197;0.76791
0.76667;-0.35921;0.56202;0.76793
0.775;-0.35925;0.56205;0.76793
0.78333;-0.35926;0.56208;0.76793
0.79167;-0.35925;0.56209;0.76793
0.8;-0.35926;0.56214;0.76792
0.80833;-0.35929;0.56217;0.7679
0.81667;-0.35933;0.56222;0.76791
0.825;-0.35935;0.56221;0.76791
0.83333;-0.35932;0.56223;0.76789
0.84167;-0.35935;0.56227;0.76789
0.85;-0.35938;0.56223;0.76792
0.85833;-0.35936;0.56231;0.76786
0.86667;-0.35938;0.56232;0.76788
0.875;-0.35937;0.5623;0.7679
0.88333;-0.35942;0.56236;0.76784
0.89167;-0.35941;0.56243;0.76778
0.9;-0.35951;0.56243;0.76783
0.90833;-0.35955;0.56247;0.76783
0.91667;-0.35957;0.56252;0.7678
0.925;-0.35962;0.56256;0.76783
0.93333;-0.35962;0.56262;0.7678
0.94167;-0.35967;0.56266;0.76784
0.95;-0.35971;0.56268;0.76786
0.95833;-0.35973;0.56272;0.76783
0.96667;-0.35972;0.5628;0.76777
0.975;-0.35983;0.56293;0.76784
0.98333;-0.35975;0.56295;0.76772
0.99167;-0.35996;0.56298;0.7678
1;-0.36005;0.56301;0.76783
1.0083;-0.36008;0.56308;0.76779
1.0167;-0.36;0.56316;0.7677
1.025;-0.36011;0.56319;0.76775
1.0333;-0.36024;0.56323;0.76775
1.0417;-0.3604;0.56324;0.76784
1.05;-0.36037;0.56332;0.76779
1.0583;-0.36052;0.56332;0.76782
1.0667;-0.36064;0.56334;0.76788
1.075;-0.36056;0.56344;0.76779
1.0833;-0.36056;0.56351;0.7677
1.0917;-0.36086;0.56347;0.76789
1.1;-0.36086;0.5635;0.76782
1.1083;-0.3608;0.56356;0.76773
1.1167;-0.36101;0.56358;0.76786
1.125;-0.36109;0.56364;0.76783
1.1333;-0.36116;0.56373;0.76784
1.1417;-0.36118;0.56385;0.76775
1.15;-0.3612;0.56389;0.76772
1.1583;-0.36127;0.5639;0.76776
1.1667;-0.36125;0.5639;0.76765
1.175;-0.36115;0.56383;0.7675
1.1833;-0.36113;0.56386;0.76748
1.1917;-0.36121;0.56389;0.76752
1.2;-0.36124;0.56392;0.76753
1.2083;-0.36121;0.56402;0.76747
1.2167;-0.36132;0.56404;0.7675
1.225;-0.36134;0.56408;0.7675
1.2333;-0.36135;0.56417;0.76748
1.2417;-0.36138;0.56419;0.76746
1.25;-0.36139;0.56422;0.76743
1.2583;-0.36141;0.56424;0.76744
1.2667;-0.36142;0.56425;0.76743
1.275;-0.36138;0.56423;0.76743
1.2833;-0.36138;0.56423;0.76743
1.2917;-0.36136;0.56424;0.76743
1.3;-0.36132;0.56422;0.76743
1.3083;-0.3613;0.56418;0.76745
1.3167;-0.36124;0.56402;0.76751
1.325;-0.3612;0.56392;0.76753
1.3333;-0.36114;0.56386;0.76756
1.3417;-0.36111;0.56377;0.76762
1.35;-0.36092;0.56376;0.76754
1.3583;-0.36083;0.5637;0.7675
1.3667;-0.36089;0.56362;0.76759
1.375;-0.36084;0.5635;0.76762
1.3833;-0.36074;0.56342;0.76763
1.3917;-0.3606;0.56331;0.76761
1.4;-0.36042;0.56318;0.76758
1.4083;-0.36025;0.56305;0.76746
1.4167;-0.36019;0.56296;0.76745
1.425;-0.36011;0.56287;0.76743
1.4333;-0.36006;0.56279;0.76747
1.4417;-0.35996;0.56276;0.76742
1.45;-0.35996;0.56267;0.76747
1.4583;-0.35989;0.56262;0.76744
1.4667;-0.35991;0.56252;0.76751
1.475;-0.3598;0.56246;0.7675
1.4833;-0.35969;0.56241;0.76743
1.4917;-0.35961;0.56238;0.76747
1.5;-0.35959;0.56229;0.76746
1.5083;-0.35959;0.56229;0.76746
1.5167;-0.3595;0.56226;0.76743
1.525;-0.35945;0.56224;0.76741
1.5333;-0.35933;0.56219;0.76733
1.5417;-0.35957;0.56218;0.76749
1.55;-0.35955;0.56219;0.76751
1.5583;-0.3595;0.5622;0.76744
1.5667;-0.35941;0.56226;0.76738
1.575;-0.3594;0.56226;0.76737
1.5833;-0.35938;0.56228;0.76736
1.5917;-0.35914;0.56241;0.76729
1.6;-0.35924;0.56226;0.76734
1.6083;-0.35912;0.56224;0.76731
1.6167;-0.35891;0.56232;0.76729
1.625;-0.35892;0.56224;0.76737
1.6333;-0.35906;0.56207;0.76745
1.6417;-0.35879;0.56211;0.76719
1.65;-0.35871;0.56205;0.76721
1.6583;-0.35854;0.56193;0.76724
1.6667;-0.35829;0.56178;0.76714
1.675;-0.3582;0.56163;0.76716
1.6833;-0.35805;0.56153;0.76712
1.6917;-0.358;0.5614;0.76712
1.7;-0.35797;0.56116;0.76718
1.7083;-0.35794;0.561;0.76727
1.7167;-0.35785;0.5608;0.76727
1.725;-0.35766;0.5606;0.76727
1.7333;-0.35757;0.56043;0.7673
1.7417;-0.35754;0.56017;0.76738
1.75;-0.35745;0.56003;0.76743
1.7583;-0.35741;0.55983;0.76746
1.7667;-0.35733;0.55966;0.76746
1.775;-0.35728;0.5595;0.76746
1.7833;-0.35727;0.55936;0.76748
1.7917;-0.35723;0.5593;0.76748
1.8;-0.35726;0.55921;0.76752
