t;X;Y;Z
0.0083333;-0.76485;0.30054;0.72919
0.016667;-0.76492;0.30049;0.72913
0.025;-0.76513;0.30024;0.7292
0.033333;-0.76548;0.30011;0.72917
0.041667;-0.76576;0.30011;0.72909
0.05;-0.76601;0.30011;0.72904
0.058333;-0.76623;0.29993;0.72908
0.066667;-0.76629;0.29976;0.72921
0.075;-0.76633;0.29965;0.72926
0.083333;-0.76639;0.29948;0.72935
0.091667;-0.76647;0.2993;0.72938
0.1;-0.76647;0.29919;0.72939
0.10833;-0.76656;0.29905;0.72926
0.11667;-0.76666;0.29899;0.72916
0.125;-0.76672;0.29908;0.72904
0.13333;-0.76688;0.29919;0.7288
0.14167;-0.76715;0.2993;0.72865
0.15;-0.76728;0.29935;0.72852
0.15833;-0.76736;0.29937;0.72842
0.16667;-0.76748;0.29943;0.72836
0.175;-0.76764;0.29949;0.72825
0.18333;-0.76785;0.29966;0.72818
0.19167;-0.76815;0.29968;0.72814
0.2;-0.76849;0.29961;0.72791
0.20833;-0.76875;0.29976;0.72771
0.21667;-0.76906;0.29975;0.72748
0.225;-0.76906;0.29995;0.7274
0.23333;-0.7693;0.30009;0.7275
0.24167;-0.76942;0.3002;0.72754
0.25;-0.76953;0.30025;0.7276
0.25833;-0.76963;0.30032;0.72766
0.26667;-0.77008;0.3001;0.7277
0.275;-0.77029;0.30017;0.72777
0.28333;-0.77055;0.30022;0.72778
0.29167;-0.77099;0.30026;0.72776
0.3;-0.77109;0.30051;0.72767
0.30833;-0.7714;0.30059;0.72761
0.31667;-0.77176;0.30056;0.72768
0.325;-0.77169;0.30058;0.72736
0.33333;-0.77185;0.30055;0.72724
0.34167;-0.77195;0.30045;0.72699
0.35;-0.77208;0.30046;0.72702
0.35833;-0.77209;0.3004;0.72698
0.36667;-0.77215;0.3004;0.72682
0.375;-0.77227;0.30052;0.72667
0.38333;-0.77255;0.30063;0.72613
0.39167;-0.77264;0.30061;0.72583
0.4;-0.77269;0.30052;0.72554
0.40833;-0.77276;0.30047;0.72548
0.41667;-0.77288;0.30044;0.72545
0.425;-0.77302;0.30042;0.72545
0.43333;-0.7731;0.30045;0.72542
