t;X;Y;Z
0.0083333;-0.35889;0.29373;0.76597
0.016667;-0.35888;0.29378;0.76595
0.025;-0.35904;0.2937;0.76594
0.033333;-0.35922;0.29353;0.76594
0.041667;-0.35933;0.2934;0.76599
0.05;-0.35945;0.29337;0.7659
0.058333;-0.35964;0.29328;0.7659
0.066667;-0.35971;0.29325;0.76587
0.075;-0.35979;0.29322;0.76586
0.083333;-0.35996;0.29334;0.76578
0.091667;-0.36023;0.29341;0.76572
0.1;-0.36057;0.29349;0.76574
0.10833;-0.36093;0.29353;0.76577
0.11667;-0.36114;0.29363;0.76569
0.125;-0.36143;0.2936;0.76577
0.13333;-0.36187;0.29379;0.76577
0.14167;-0.36222;0.29391;0.76573
0.15;-0.36248;0.29404;0.76565
0.15833;-0.36271;0.29412;0.76563
0.16667;-0.36288;0.29423;0.76562
0.175;-0.36321;0.29426;0.76568
0.18333;-0.36332;0.29419;0.76568
0.19167;-0.36342;0.29422;0.76567
0.2;-0.36347;0.29423;0.76564
0.20833;-0.36363;0.29414;0.76559
0.21667;-0.36369;0.29408;0.76556
0.225;-0.36383;0.29405;0.76551
0.23333;-0.364;0.29405;0.7656
0.24167;-0.36413;0.29414;0.76571
0.25;-0.36432;0.29419;0.76578
0.25833;-0.36449;0.29423;0.76578
0.26667;-0.36462;0.2943;0.76581
0.275;-0.36469;0.29433;0.76574
0.28333;-0.36487;0.29433;0.76578
0.29167;-0.36494;0.2943;0.76579
0.3;-0.36496;0.29427;0.76578
0.30833;-0.36498;0.29425;0.76579
0.31667;-0.36501;0.29421;0.76578
0.325;-0.36504;0.29419;0.76582
0.33333;-0.36505;0.29412;0.76585
0.34167;-0.36507;0.29412;0.76582
0.35;-0.36505;0.2941;0.76583
0.35833;-0.36505;0.2941;0.76582
0.36667;-0.36501;0.29412;0.76579
0.375;-0.36503;0.29411;0.76583
0.38333;-0.36502;0.29409;0.76583
0.39167;-0.36501;0.29408;0.76583
0.4;-0.36501;0.29408;0.76583
0.40833;-0.36502;0.29406;0.76585
0.41667;-0.36504;0.29405;0.76588
0.425;-0.36503;0.29402;0.76588
0.43333;-0.36499;0.29397;0.76589
0.44167;-0.36484;0.29391;0.76591
0.45;-0.36478;0.29387;0.76591
0.45833;-0.36476;0.29387;0.76594
0.46667;-0.36469;0.29384;0.76597
0.475;-0.36472;0.2938;0.766
0.48333;-0.36458;0.29377;0.76589
0.49167;-0.36459;0.29375;0.76591
0.5;-0.36468;0.29373;0.76603
0.50833;-0.36465;0.29371;0.76603
0.51667;-0.36459;0.29365;0.76603
0.525;-0.36452;0.29364;0.76605
0.53333;-0.36447;0.29365;0.76602
0.54167;-0.3644;0.29366;0.76604
0.55;-0.36437;0.29364;0.76603
0.55833;-0.36437;0.29367;0.76602
0.56667;-0.3644;0.29368;0.76605
0.575;-0.36437;0.29371;0.76603
0.58333;-0.36436;0.29368;0.76602
0.59167;-0.36433;0.29372;0.76602
0.6;-0.36428;0.29373;0.76603
0.60833;-0.36423;0.29374;0.76602
0.61667;-0.36421;0.29373;0.76603
0.625;-0.36418;0.29372;0.76601
0.63333;-0.36417;0.29371;0.76603
0.64167;-0.36415;0.29369;0.76602
0.65;-0.3641;0.2937;0.76601
0.65833;-0.36405;0.29367;0.76593
0.66667;-0.36398;0.2936;0.76583
0.675;-0.36386;0.2936;0.76584
0.68333;-0.36381;0.29355;0.76579
0.69167;-0.36377;0.29353;0.76574
0.7;-0.36381;0.29356;0.76577
0.70833;-0.36387;0.29353;0.76574
0.71667;-0.36392;0.29354;0.76572
0.725;-0.36398;0.29355;0.7657
0.73333;-0.36407;0.2936;0.76591
0.74167;-0.36418;0.29357;0.76595
0.75;-0.36425;0.29353;0.76597
0.75833;-0.36436;0.29347;0.76596
0.76667;-0.36447;0.29342;0.76597
0.775;-0.3646;0.29336;0.76595
0.78333;-0.36473;0.29332;0.76598
0.79167;-0.36514;0.29328;0.76608
0.8;-0.36551;0.29329;0.76595
0.80833;-0.36607;0.29329;0.766
0.81667;-0.36636;0.29334;0.76607
0.825;-0.36674;0.29328;0.76605
0.83333;-0.36766;0.29365;0.76594
0.84167;-0.36833;0.29366;0.76599
0.85;-0.36876;0.29374;0.76608
0.85833;-0.36941;0.29387;0.76608
0.86667;-0.3701;0.29395;0.76606
0.875;-0.37089;0.29412;0.76598
0.88333;-0.37144;0.2942;0.76592
0.89167;-0.37184;0.29427;0.76592
0.9;-0.37243;0.2944;0.76597
0.90833;-0.37302;0.29455;0.76596
0.91667;-0.3735;0.29468;0.76609
0.925;-0.37422;0.29489;0.76615
0.93333;-0.37505;0.29496;0.76593
0.94167;-0.37572;0.29514;0.76604
0.95;-0.37652;0.29545;0.766
0.95833;-0.37687;0.2959;0.76587
0.96667;-0.37785;0.29586;0.76617
0.975;-0.37849;0.296;0.7661
0.98333;-0.37903;0.29619;0.76603
0.99167;-0.37976;0.29631;0.76607
1;-0.3804;0.29648;0.76613
1.0083;-0.38078;0.29653;0.7661
1.0167;-0.38118;0.29657;0.76614
1.025;-0.3819;0.29664;0.76619
1.0333;-0.38232;0.29699;0.766
1.0417;-0.38317;0.29672;0.76616
1.05;-0.38392;0.29711;0.76608
1.0583;-0.38427;0.29712;0.76601
1.0667;-0.38485;0.29725;0.7659
1.075;-0.38556;0.29743;0.76619
1.0833;-0.38603;0.29762;0.76618
1.0917;-0.3867;0.29798;0.76611
1.1;-0.38739;0.29805;0.76615
1.1083;-0.38784;0.29811;0.76624
1.1167;-0.38838;0.29835;0.76616
1.125;-0.38903;0.29848;0.76618
1.1333;-0.38947;0.29851;0.76621
1.1417;-0.39001;0.29865;0.76635
1.15;-0.39066;0.29902;0.76597
1.1583;-0.39108;0.29928;0.76592
1.1667;-0.39183;0.29952;0.766
1.175;-0.39249;0.29979;0.76608
1.1833;-0.39282;0.29994;0.76609
1.1917;-0.39335;0.30018;0.76618
1.2;-0.3941;0.30045;0.76614
1.2083;-0.39454;0.30073;0.76599
1.2167;-0.39506;0.30108;0.76593
1.225;-0.39581;0.30141;0.76605
1.2333;-0.39647;0.30156;0.76623
1.2417;-0.39716;0.30189;0.7663
1.25;-0.39766;0.30222;0.76627
1.2583;-0.39815;0.30247;0.76625
1.2667;-0.39881;0.30292;0.76616
1.275;-0.39922;0.30313;0.76607
1.2833;-0.39958;0.30354;0.76606
1.2917;-0.40016;0.30407;0.76609
1.3;-0.40075;0.30445;0.7662
1.3083;-0.40105;0.30471;0.76627
1.3167;-0.40156;0.30502;0.76628
1.325;-0.40201;0.30582;0.76604
1.3333;-0.40261;0.306;0.76614
1.3417;-0.40299;0.30631;0.76631
1.35;-0.40344;0.30679;0.76627
1.3583;-0.40405;0.30735;0.76628
1.3667;-0.40431;0.30762;0.76632
1.375;-0.40465;0.30818;0.76613
1.3833;-0.40506;0.30859;0.76603
1.3917;-0.4054;0.309;0.76598
1.4;-0.40608;0.30956;0.766
1.4083;-0.40688;0.31016;0.76635
1.4167;-0.40728;0.31077;0.76623
1.425;-0.4077;0.31113;0.76627
1.4333;-0.40827;0.31187;0.76624
1.4417;-0.40873;0.31255;0.76632
1.45;-0.4092;0.31324;0.76625
1.4583;-0.40986;0.31378;0.76622
1.4667;-0.41016;0.31448;0.76615
1.475;-0.41059;0.31506;0.76617
1.4833;-0.41149;0.31572;0.76637
1.4917;-0.41181;0.31628;0.76626
1.5;-0.41216;0.3171;0.76619
1.5083;-0.41282;0.31771;0.76612
1.5167;-0.41333;0.31839;0.7661
1.525;-0.41391;0.31904;0.76621
1.5333;-0.41448;0.31984;0.76616
1.5417;-0.41485;0.32058;0.76623
1.55;-0.41557;0.32136;0.7663
1.5583;-0.41604;0.32202;0.76629
1.5667;-0.41654;0.32272;0.76625
1.575;-0.41702;0.32334;0.76618
1.5833;-0.41753;0.32402;0.76622
1.5917;-0.41776;0.32481;0.76617
1.6;-0.41831;0.32548;0.76625
1.6083;-0.41872;0.32598;0.76619
1.6167;-0.41912;0.32654;0.7662
1.625;-0.41936;0.32719;0.7662
1.6333;-0.41995;0.32797;0.76618
1.6417;-0.42015;0.32866;0.76607
1.65;-0.42059;0.32925;0.76616
1.6583;-0.42071;0.32976;0.76608
1.6667;-0.4213;0.33045;0.76629
1.675;-0.42144;0.33129;0.76618
1.6833;-0.42194;0.33167;0.7665
1.6917;-0.42209;0.33225;0.76637
1.7;-0.42234;0.33291;0.7663
