t;X;Y;Z
0.0083333;-0.78995;0.36276;0.76705
0.016667;-0.78993;0.36278;0.76706
0.025;-0.78993;0.36276;0.76703
0.033333;-0.78992;0.36277;0.76703
0.041667;-0.78992;0.36276;0.76703
0.05;-0.78994;0.36279;0.76705
0.058333;-0.78996;0.36277;0.76705
0.066667;-0.78994;0.36281;0.76705
0.075;-0.78996;0.36282;0.76702
0.083333;-0.78996;0.3628;0.76705
0.091667;-0.78998;0.3628;0.76706
0.1;-0.78998;0.36284;0.76707
0.10833;-0.78997;0.36284;0.76704
0.11667;-0.78998;0.36278;0.76706
0.125;-0.78997;0.36281;0.76707
0.13333;-0.78998;0.36287;0.76707
0.14167;-0.78998;0.36285;0.7671
0.15;-0.78995;0.3629;0.76708
0.15833;-0.78994;0.36286;0.76708
0.16667;-0.79006;0.36273;0.76711
0.175;-0.79016;0.36273;0.76731
0.18333;-0.78997;0.36282;0.76711
0.19167;-0.78991;0.36293;0.76708
0.2;-0.79;0.36302;0.76728
0.20833;-0.78974;0.36316;0.76715
0.21667;-0.78965;0.36332;0.76716
0.225;-0.78959;0.36344;0.76721
0.23333;-0.78947;0.36361;0.76733
0.24167;-0.78932;0.36378;0.7672
0.25;-0.78915;0.36393;0.76716
0.25833;-0.78905;0.3641;0.76717
0.26667;-0.78884;0.36432;0.76712
0.275;-0.78859;0.36468;0.76701
0.28333;-0.78858;0.36489;0.7672
0.29167;-0.78834;0.36517;0.76706
0.3;-0.78824;0.36553;0.76702
0.30833;-0.78817;0.36583;0.76703
0.31667;-0.78807;0.36617;0.76704
0.325;-0.78785;0.36654;0.76698
0.33333;-0.78768;0.36676;0.76704
0.34167;-0.78747;0.3671;0.76698
0.35;-0.78727;0.3673;0.7671
0.35833;-0.78711;0.36752;0.76715
0.36667;-0.78692;0.36773;0.76719
0.375;-0.78664;0.36811;0.76716
0.38333;-0.78645;0.36842;0.76706
0.39167;-0.78621;0.36868;0.76716
0.4;-0.78601;0.36894;0.76717
0.40833;-0.78574;0.36914;0.76714
0.41667;-0.7857;0.36916;0.76736
0.425;-0.78527;0.36971;0.76711
0.43333;-0.78487;0.37015;0.7671
0.44167;-0.78461;0.37048;0.76713
0.45;-0.78434;0.37065;0.76722
0.45833;-0.78406;0.37118;0.76718
0.46667;-0.78379;0.37165;0.76728
0.475;-0.78347;0.37225;0.76721
0.48333;-0.78342;0.37252;0.76741
0.49167;-0.78302;0.37295;0.76728
0.5;-0.78254;0.37336;0.76724
0.50833;-0.78218;0.37375;0.76727
0.51667;-0.78184;0.37434;0.76721
0.525;-0.78155;0.37494;0.76727
0.53333;-0.78116;0.37548;0.76723
0.54167;-0.78063;0.37604;0.76719
0.55;-0.78025;0.37655;0.76734
0.55833;-0.77986;0.37733;0.76733
0.56667;-0.77946;0.37811;0.76721
0.575;-0.77876;0.37892;0.76707
0.58333;-0.77849;0.3794;0.76713
0.59167;-0.77812;0.38002;0.76724
0.6;-0.77742;0.38075;0.76715
0.60833;-0.77699;0.38153;0.76712
0.61667;-0.77641;0.38215;0.76728
0.625;-0.77575;0.38296;0.76722
0.63333;-0.77521;0.38356;0.7673
0.64167;-0.77453;0.3841;0.76741
0.65;-0.77362;0.38474;0.7673
0.65833;-0.77271;0.38556;0.76718
0.66667;-0.77202;0.38589;0.76724
0.675;-0.7714;0.38681;0.76751
0.68333;-0.77036;0.3872;0.76729
0.69167;-0.76962;0.38779;0.76735
0.7;-0.76865;0.38858;0.76738
0.70833;-0.76781;0.389;0.76737
0.71667;-0.76696;0.38959;0.7674
0.725;-0.766;0.39029;0.76732
0.73333;-0.76509;0.39077;0.76743
0.74167;-0.76415;0.39148;0.7674
0.75;-0.76337;0.3919;0.7673
0.75833;-0.76207;0.39236;0.76736
0.76667;-0.76124;0.39293;0.76735
0.775;-0.76004;0.39337;0.76727
0.78333;-0.75907;0.39375;0.76733
0.79167;-0.75778;0.39443;0.7672
0.8;-0.75691;0.39466;0.76725
0.80833;-0.75597;0.3951;0.76727
0.81667;-0.7549;0.3957;0.76738
0.825;-0.75407;0.39608;0.7673
0.83333;-0.75308;0.39662;0.7673
0.84167;-0.75222;0.39715;0.7674
0.85;-0.7512;0.39766;0.76735
0.85833;-0.75042;0.39817;0.76731
0.86667;-0.74946;0.3991;0.76751
0.875;-0.74846;0.39914;0.76743
0.88333;-0.74762;0.39969;0.76743
0.89167;-0.74667;0.40027;0.76729
0.9;-0.7458;0.40053;0.76745
0.90833;-0.74473;0.40093;0.76746
0.91667;-0.74379;0.4014;0.7674
0.925;-0.74295;0.40165;0.76741
0.93333;-0.74196;0.40206;0.7674
0.94167;-0.74101;0.40231;0.76745
0.95;-0.74014;0.4028;0.76746
0.95833;-0.73916;0.40317;0.76742
0.96667;-0.73832;0.40364;0.76745
0.975;-0.73743;0.40405;0.76742
0.98333;-0.73654;0.40437;0.76752
0.99167;-0.73556;0.40472;0.76742
1;-0.73464;0.40516;0.76747
1.0083;-0.7337;0.40548;0.76745
1.0167;-0.73287;0.40569;0.76746
1.025;-0.73189;0.40591;0.76748
1.0333;-0.73107;0.40604;0.76749
1.0417;-0.72996;0.40618;0.7675
1.05;-0.72919;0.40631;0.7675
1.0583;-0.72837;0.40671;0.76757
1.0667;-0.72736;0.40625;0.76742
1.075;-0.72643;0.40625;0.76743
1.0833;-0.72569;0.40618;0.7674
1.0917;-0.72495;0.40596;0.76748
1.1;-0.72414;0.4059;0.76751
1.1083;-0.72319;0.40567;0.76751
1.1167;-0.72229;0.40531;0.76749
1.125;-0.72131;0.40508;0.76731
1.1333;-0.72038;0.4044;0.76722
1.1417;-0.71952;0.40376;0.76738
1.15;-0.71883;0.40321;0.76746
1.1583;-0.71802;0.40252;0.7674
1.1667;-0.71734;0.40226;0.76739
1.175;-0.71651;0.40116;0.76746
1.1833;-0.71588;0.40064;0.76754
1.1917;-0.7153;0.3999;0.76738
1.2;-0.71471;0.39898;0.7673
1.2083;-0.71408;0.39816;0.76744
1.2167;-0.7135;0.3974;0.76755
1.225;-0.71298;0.39618;0.7675
1.2333;-0.71236;0.39537;0.76743
1.2417;-0.71182;0.39415;0.76736
1.25;-0.71127;0.39291;0.76741
1.2583;-0.71063;0.39179;0.76758
1.2667;-0.71009;0.39048;0.76755
1.275;-0.70932;0.38926;0.76747
1.2833;-0.70888;0.3879;0.76745
1.2917;-0.70836;0.38658;0.76739
1.3;-0.70797;0.38527;0.76752
1.3083;-0.7075;0.38397;0.76742
1.3167;-0.70717;0.38267;0.76748
1.325;-0.70685;0.38119;0.76743
1.3333;-0.70651;0.38004;0.76737
1.3417;-0.70649;0.37842;0.7676
1.35;-0.70606;0.37703;0.76746
1.3583;-0.70564;0.37548;0.76749
1.3667;-0.70536;0.37395;0.76743
1.375;-0.7051;0.37238;0.76748
1.3833;-0.70497;0.37065;0.76754
1.3917;-0.7048;0.36897;0.76741
1.4;-0.70477;0.3676;0.76738
1.4083;-0.70474;0.36588;0.7674
1.4167;-0.70479;0.36431;0.76747
1.425;-0.70474;0.36292;0.76747
1.4333;-0.70494;0.36125;0.76742
1.4417;-0.7052;0.35949;0.76747
1.45;-0.70533;0.35789;0.76743
1.4583;-0.70556;0.35646;0.76755
1.4667;-0.70561;0.35465;0.76744
1.475;-0.70579;0.35303;0.76742
1.4833;-0.70601;0.35127;0.76736
1.4917;-0.70621;0.34976;0.76745
1.5;-0.70639;0.3481;0.7674
1.5083;-0.70671;0.34643;0.76729
1.5167;-0.70704;0.34498;0.76739
1.525;-0.70742;0.34342;0.7674
1.5333;-0.70785;0.34191;0.76736
1.5417;-0.70835;0.34037;0.76738
1.55;-0.70874;0.33894;0.76731
1.5583;-0.70925;0.33752;0.76728
1.5667;-0.70997;0.33613;0.76724
1.575;-0.71062;0.33499;0.76723
1.5833;-0.71134;0.3336;0.76733
1.5917;-0.71237;0.33279;0.76731
1.6;-0.71301;0.33139;0.76733
1.6083;-0.71393;0.3302;0.76729
1.6167;-0.7148;0.32917;0.76715
1.625;-0.71584;0.32815;0.76727
1.6333;-0.71692;0.32715;0.76724
1.6417;-0.7179;0.32623;0.76724
1.65;-0.71886;0.32526;0.76728
1.6583;-0.71992;0.32442;0.76723
1.6667;-0.72097;0.32379;0.76718
1.675;-0.72209;0.32301;0.76722
1.6833;-0.72317;0.32244;0.76727
1.6917;-0.72441;0.32184;0.76728
1.7;-0.72561;0.32145;0.76719
1.7083;-0.72677;0.3211;0.7672
1.7167;-0.72823;0.32059;0.76727
1.725;-0.7294;0.32035;0.76721
1.7333;-0.73075;0.32006;0.76716
1.7417;-0.73213;0.31988;0.7671
1.75;-0.73352;0.31978;0.7672
1.7583;-0.73501;0.31976;0.76732
1.7667;-0.73654;0.31979;0.76738
1.775;-0.73798;0.31997;0.76729
1.7833;-0.73953;0.32009;0.76729
1.7917;-0.74098;0.32018;0.7673
1.8;-0.74244;0.32053;0.76723
1.8083;-0.74384;0.32074;0.76724
1.8167;-0.74542;0.3212;0.76721
1.825;-0.74676;0.32141;0.76725
1.8333;-0.74799;0.32142;0.76718
1.8417;-0.74968;0.32225;0.76727
1.85;-0.75119;0.32263;0.76736
1.8583;-0.75262;0.32323;0.76726
1.8667;-0.75415;0.32375;0.76712
1.875;-0.75569;0.32454;0.7673
1.8833;-0.75717;0.32533;0.76722
1.8917;-0.75879;0.32599;0.7672
1.9;-0.76022;0.32696;0.76715
1.9083;-0.76163;0.32772;0.76706
1.9167;-0.76314;0.32855;0.7671
1.925;-0.76469;0.32934;0.76723
1.9333;-0.76591;0.3301;0.76713
1.9417;-0.76731;0.33096;0.76721
1.95;-0.76858;0.33174;0.7672
1.9583;-0.76967;0.3325;0.76706
1.9667;-0.77064;0.33346;0.76693
1.975;-0.77216;0.33415;0.76718
1.9833;-0.77316;0.33512;0.76709
1.9917;-0.77413;0.33594;0.76708
2;-0.77518;0.33685;0.76715
2.0083;-0.77595;0.33766;0.76704
2.0167;-0.77708;0.33857;0.76719
2.025;-0.77783;0.33955;0.76725
2.0333;-0.77863;0.34028;0.76715
2.0417;-0.7794;0.34084;0.76723
2.05;-0.78015;0.34164;0.76727
2.0583;-0.78046;0.34255;0.76699
2.0667;-0.78115;0.34321;0.76709
2.075;-0.78172;0.34372;0.76718
2.0833;-0.78216;0.34453;0.76727
2.0917;-0.78262;0.34507;0.76719
2.1;-0.78294;0.34578;0.76706
2.1083;-0.78347;0.34639;0.76711
2.1167;-0.78376;0.34695;0.76721
2.125;-0.78415;0.3477;0.76723
2.1333;-0.78437;0.34831;0.76721
2.1417;-0.78475;0.34871;0.76719
2.15;-0.78495;0.34909;0.76719
2.1583;-0.78523;0.34973;0.76723
2.1667;-0.78548;0.35042;0.76722
2.175;-0.78568;0.35079;0.76727
2.1833;-0.78587;0.35122;0.76719
2.1917;-0.78618;0.35194;0.76711
2.2;-0.78635;0.35215;0.76708
2.2083;-0.78662;0.35268;0.76722
2.2167;-0.78653;0.35391;0.76705
2.225;-0.7867;0.35431;0.76707
2.2333;-0.78703;0.35461;0.76711
2.2417;-0.78737;0.35515;0.76719
2.25;-0.78743;0.35568;0.76718
2.2583;-0.78749;0.35636;0.76735
2.2667;-0.78769;0.35674;0.76733
2.275;-0.78783;0.35743;0.7674
2.2833;-0.78795;0.35811;0.76733
2.2917;-0.78804;0.35848;0.76725
2.3;-0.788;0.35927;0.76721
2.3083;-0.78798;0.36001;0.76725
2.3167;-0.7879;0.36055;0.76718
2.325;-0.78785;0.3612;0.76722
2.3333;-0.78774;0.36206;0.76719
2.3417;-0.78769;0.36263;0.76721
2.35;-0.7875;0.36352;0.76727
2.3583;-0.78732;0.36445;0.76748
2.3667;-0.78721;0.36509;0.76737
2.375;-0.78708;0.366;0.76724
2.3833;-0.78691;0.36701;0.76725
2.3917;-0.78663;0.36784;0.76736
2.4;-0.78641;0.36887;0.76728
2.4083;-0.78608;0.36975;0.76717
2.4167;-0.78557;0.37082;0.76716
2.425;-0.78543;0.37174;0.76726
2.4333;-0.78502;0.37253;0.76739
2.4417;-0.78449;0.37363;0.76745
2.45;-0.7837;0.37477;0.76723
2.4583;-0.78331;0.37555;0.7673
2.4667;-0.78275;0.3769;0.76719
2.475;-0.78223;0.37765;0.76722
2.4833;-0.78136;0.37883;0.76718
2.4917;-0.7807;0.37981;0.76724
2.5;-0.77958;0.38067;0.76718
2.5083;-0.77875;0.38207;0.76722
2.5167;-0.77789;0.38265;0.76734
2.525;-0.77682;0.38357;0.76727
2.5333;-0.77562;0.38425;0.76727
2.5417;-0.77454;0.38514;0.76736
2.55;-0.77309;0.3862;0.7672
2.5583;-0.77228;0.38674;0.76736
2.5667;-0.77106;0.38772;0.76736
2.575;-0.76989;0.38842;0.76747
2.5833;-0.76871;0.38936;0.76744
2.5917;-0.76746;0.39046;0.7673
2.6;-0.76647;0.39106;0.7674
2.6083;-0.76521;0.39192;0.7674
2.6167;-0.7638;0.39252;0.7673
2.625;-0.7626;0.39324;0.7673
2.6333;-0.76132;0.39389;0.76734
2.6417;-0.75987;0.39446;0.76736
2.65;-0.75846;0.39505;0.7674
2.6583;-0.75714;0.39566;0.76731
2.6667;-0.75547;0.39624;0.76729
2.675;-0.7541;0.39667;0.76735
2.6833;-0.75259;0.3972;0.76737
2.6917;-0.75101;0.39768;0.76729
2.7;-0.74936;0.39823;0.76735
2.7083;-0.74828;0.39887;0.76742
2.7167;-0.74668;0.39956;0.7673
2.725;-0.7453;0.40006;0.76754
2.7333;-0.74392;0.40071;0.76744
2.7417;-0.74239;0.4014;0.76746
2.75;-0.74094;0.40178;0.76745
2.7583;-0.7394;0.40256;0.76739
2.7667;-0.7381;0.40271;0.7675
2.775;-0.73666;0.40318;0.76744
2.7833;-0.73492;0.40348;0.76738
2.7917;-0.73375;0.40376;0.76742
2.8;-0.73245;0.40421;0.76752
2.8083;-0.73097;0.40445;0.76751
2.8167;-0.72965;0.40459;0.76752
2.825;-0.72825;0.40473;0.76751
2.8333;-0.72671;0.4046;0.7676
2.8417;-0.72534;0.40481;0.76745
2.85;-0.72409;0.40453;0.76754
2.8583;-0.72269;0.40445;0.76752
2.8667;-0.721;0.40427;0.76724
2.875;-0.71982;0.40361;0.76749
2.8833;-0.71866;0.40324;0.76752
2.8917;-0.71719;0.40264;0.76736
2.9;-0.71605;0.40197;0.76753
2.9083;-0.71496;0.4013;0.76746
2.9167;-0.71378;0.40048;0.76759
2.925;-0.71282;0.39957;0.76758
2.9333;-0.71182;0.3989;0.7675
2.9417;-0.71096;0.39804;0.76761
2.95;-0.71002;0.39697;0.76757
2.9583;-0.70912;0.39611;0.76747
2.9667;-0.70847;0.39513;0.76726
2.975;-0.70804;0.39363;0.76746
2.9833;-0.70764;0.39269;0.76757
2.9917;-0.70681;0.39098;0.76758
3;-0.70623;0.38946;0.76754
3.0083;-0.7057;0.38797;0.76745
3.0167;-0.70529;0.38654;0.76749
3.025;-0.70503;0.38496;0.76759
3.0333;-0.70456;0.38324;0.7675
3.0417;-0.7042;0.3817;0.76747
3.05;-0.70398;0.38005;0.76745
3.0583;-0.70395;0.37855;0.76766
3.0667;-0.70366;0.37675;0.76746
3.075;-0.7035;0.37507;0.76743
3.0833;-0.70335;0.37344;0.76745
3.0917;-0.70325;0.37137;0.76763
3.1;-0.70334;0.36995;0.76754
3.1083;-0.70323;0.36823;0.76744
3.1167;-0.70322;0.3665;0.76736
3.125;-0.70348;0.3647;0.76758
3.1333;-0.70349;0.36294;0.7675
3.1417;-0.70359;0.36116;0.76749
3.15;-0.70366;0.35945;0.76739
3.1583;-0.70378;0.35776;0.7674
3.1667;-0.70413;0.35592;0.76753
3.175;-0.70419;0.35427;0.76738
3.1833;-0.70448;0.35256;0.76741
3.1917;-0.70467;0.35084;0.76735
3.2;-0.70507;0.34925;0.76751
3.2083;-0.70545;0.34767;0.76738
3.2167;-0.70584;0.346;0.76731
3.225;-0.70621;0.34456;0.76737
3.2333;-0.70674;0.34304;0.76741
3.2417;-0.70737;0.34158;0.76756
3.25;-0.70788;0.34013;0.76749
3.2583;-0.70821;0.33868;0.76713
3.2667;-0.70902;0.33713;0.76742
3.275;-0.70956;0.33583;0.76721
3.2833;-0.71031;0.33447;0.76733
3.2917;-0.71111;0.33324;0.76745
3.3;-0.71169;0.33173;0.76737
3.3083;-0.71268;0.3304;0.76751
3.3167;-0.7133;0.3291;0.7673
3.325;-0.71399;0.32812;0.76729
3.3333;-0.71498;0.32688;0.76732
3.3417;-0.7158;0.32557;0.76729
3.35;-0.71669;0.32468;0.76732
3.3583;-0.71764;0.32332;0.76738
3.3667;-0.71861;0.32257;0.76732
3.375;-0.71972;0.32165;0.7674
3.3833;-0.72071;0.32065;0.76739
3.3917;-0.72183;0.31984;0.76725
3.4;-0.72286;0.31907;0.76729
3.4083;-0.72402;0.31852;0.76738
3.4167;-0.72514;0.31791;0.76728
3.425;-0.72629;0.31747;0.76733
3.4333;-0.72757;0.31712;0.76735
3.4417;-0.72892;0.31681;0.76723
3.45;-0.73023;0.31663;0.7673
3.4583;-0.73167;0.31658;0.76721
3.4667;-0.73311;0.31667;0.76723
3.475;-0.7348;0.31665;0.76717
3.4833;-0.73644;0.31688;0.76721
3.4917;-0.7381;0.31713;0.7672
3.5;-0.73962;0.31736;0.76713
3.5083;-0.74132;0.31781;0.7672
3.5167;-0.74295;0.31831;0.76737
3.525;-0.7447;0.31877;0.76722
3.5333;-0.74609;0.31942;0.7671
3.5417;-0.74782;0.31998;0.76718
3.55;-0.74946;0.32054;0.7672
3.5583;-0.75109;0.32129;0.76716
3.5667;-0.75274;0.32213;0.76727
3.575;-0.75454;0.32282;0.76709
