t;X;Y;Z
0.0083333;-0.70585;0.27502;0.7318
0.016667;-0.70591;0.27491;0.7318
0.025;-0.70589;0.27479;0.73175
0.033333;-0.70594;0.27465;0.7317
0.041667;-0.70606;0.27473;0.73114
0.05;-0.70604;0.27472;0.73098
0.058333;-0.70603;0.27465;0.73093
0.066667;-0.70605;0.27464;0.73093
0.075;-0.70606;0.2746;0.73096
0.083333;-0.70607;0.27459;0.73093
0.091667;-0.70611;0.27455;0.73093
0.1;-0.70613;0.27454;0.73094
0.10833;-0.70612;0.27453;0.73091
0.11667;-0.70617;0.27452;0.73091
0.125;-0.70616;0.27449;0.7309
0.13333;-0.7062;0.27448;0.73088
0.14167;-0.70628;0.27448;0.73086
0.15;-0.70636;0.27446;0.73088
0.15833;-0.70632;0.27445;0.73087
0.16667;-0.70636;0.27447;0.73088
0.175;-0.70628;0.27449;0.73085
0.18333;-0.70627;0.27451;0.73085
0.19167;-0.70622;0.27453;0.73084
0.2;-0.7062;0.27452;0.73085
0.20833;-0.70617;0.27457;0.73086
0.21667;-0.70611;0.27459;0.73086
0.225;-0.70603;0.27466;0.73083
0.23333;-0.7058;0.27478;0.73074
0.24167;-0.70582;0.27486;0.73083
0.25;-0.70568;0.27504;0.73076
0.25833;-0.70531;0.27501;0.73126
0.26667;-0.70531;0.27547;0.73107
0.275;-0.70517;0.27579;0.73111
0.28333;-0.70505;0.27594;0.73111
0.29167;-0.70488;0.27618;0.73112
0.3;-0.70477;0.27639;0.73112
0.30833;-0.70456;0.27684;0.73102
0.31667;-0.70439;0.27717;0.73103
0.325;-0.70413;0.27749;0.73104
0.33333;-0.70426;0.27761;0.73105
0.34167;-0.70359;0.27782;0.73102
0.35;-0.70335;0.27801;0.73099
0.35833;-0.70323;0.27822;0.73094
0.36667;-0.70289;0.27862;0.73087
0.375;-0.70272;0.27878;0.73085
0.38333;-0.70277;0.2797;0.73086
0.39167;-0.70252;0.28001;0.73085
0.4;-0.7024;0.28024;0.73084
0.40833;-0.70193;0.28031;0.7311
0.41667;-0.70155;0.28083;0.73112
0.425;-0.70134;0.28112;0.73118
0.43333;-0.70112;0.28142;0.7312
0.44167;-0.70079;0.28184;0.73113
0.45;-0.70063;0.28233;0.73108
0.45833;-0.70034;0.2829;0.73112
0.46667;-0.70019;0.28324;0.73108
0.475;-0.69964;0.28372;0.73104
0.48333;-0.69927;0.2839;0.73102
0.49167;-0.69892;0.28412;0.73093
0.5;-0.6988;0.28433;0.73098
0.50833;-0.69851;0.28522;0.7312
0.51667;-0.69814;0.28545;0.73131
0.525;-0.69776;0.28611;0.73119
0.53333;-0.69747;0.28656;0.73121
0.54167;-0.69692;0.28707;0.73118
0.55;-0.69668;0.28746;0.73116
0.55833;-0.69644;0.28809;0.73111
0.56667;-0.69611;0.28845;0.73109
0.575;-0.69587;0.28884;0.73106
0.58333;-0.69565;0.28915;0.73103
0.59167;-0.69542;0.28931;0.73106
0.6;-0.69485;0.28971;0.73093
0.60833;-0.69466;0.28994;0.73102
0.61667;-0.69455;0.29057;0.73118
0.625;-0.6942;0.29093;0.73112
0.63333;-0.69396;0.29121;0.73114
0.64167;-0.69359;0.29184;0.7312
0.65;-0.69355;0.29216;0.7312
0.65833;-0.69352;0.29243;0.73122
0.66667;-0.69337;0.2926;0.73124
0.675;-0.69298;0.29299;0.7312
0.68333;-0.69271;0.29337;0.73114
0.69167;-0.69262;0.29359;0.73112
0.7;-0.69231;0.29413;0.73109
0.70833;-0.69224;0.2943;0.73116
0.71667;-0.69217;0.29454;0.73115
0.725;-0.69193;0.2948;0.73122
0.73333;-0.6917;0.29491;0.73122
0.74167;-0.69149;0.2951;0.7312
0.75;-0.69126;0.29588;0.7312
0.75833;-0.69115;0.29616;0.73116
0.76667;-0.69105;0.2963;0.73122
0.775;-0.69081;0.29646;0.73125
0.78333;-0.69061;0.29656;0.73124
0.79167;-0.69037;0.2969;0.73121
0.8;-0.69022;0.29716;0.73116
0.80833;-0.69011;0.29737;0.7312
0.81667;-0.6899;0.29775;0.73116
0.825;-0.68969;0.29801;0.73116
0.83333;-0.68951;0.29822;0.73119
0.84167;-0.68936;0.29853;0.73118
0.85;-0.68931;0.29885;0.73114
0.85833;-0.68912;0.29936;0.73117
0.86667;-0.68897;0.29969;0.73119
0.875;-0.68881;0.29998;0.7312
0.88333;-0.68871;0.30023;0.73121
0.89167;-0.68849;0.30065;0.73119
0.9;-0.68818;0.30114;0.73111
0.90833;-0.68793;0.30152;0.73121
0.91667;-0.6875;0.30193;0.73111
0.925;-0.68738;0.30208;0.73117
0.93333;-0.68722;0.30239;0.73125
0.94167;-0.68699;0.3029;0.73105
0.95;-0.68665;0.30323;0.73099
0.95833;-0.68631;0.30366;0.73129
0.96667;-0.68615;0.30413;0.73125
0.975;-0.68577;0.30447;0.73131
0.98333;-0.68543;0.30502;0.73128
0.99167;-0.6853;0.30529;0.73125
1;-0.68507;0.30579;0.73118
1.0083;-0.68488;0.30617;0.73126
1.0167;-0.68481;0.30663;0.73128
1.025;-0.6846;0.30703;0.73124
1.0333;-0.68432;0.30732;0.73127
1.0417;-0.68402;0.30771;0.73123
1.05;-0.6837;0.30811;0.73117
1.0583;-0.68346;0.30837;0.73124
1.0667;-0.68313;0.30884;0.7312
1.075;-0.68294;0.30924;0.73116
1.0833;-0.68266;0.30952;0.73117
1.0917;-0.6824;0.30959;0.73128
1.1;-0.68234;0.3098;0.73128
1.1083;-0.6823;0.31009;0.73125
1.1167;-0.68215;0.31053;0.73123
1.125;-0.68202;0.31075;0.73123
1.1333;-0.68193;0.3109;0.73129
1.1417;-0.68193;0.31107;0.73137
1.15;-0.68193;0.31114;0.73142
1.1583;-0.68187;0.3112;0.73135
1.1667;-0.68184;0.31123;0.73133
1.175;-0.68186;0.31122;0.73139
1.1833;-0.68183;0.31123;0.73139
1.1917;-0.68182;0.31125;0.73141
1.2;-0.68177;0.31125;0.7314
1.2083;-0.68175;0.31127;0.73142
1.2167;-0.68178;0.31137;0.73144
1.225;-0.68171;0.3115;0.7315
1.2333;-0.68155;0.31182;0.7315
1.2417;-0.68152;0.31199;0.73152
1.25;-0.6815;0.31206;0.73154
1.2583;-0.68181;0.31221;0.73169
1.2667;-0.68183;0.31225;0.73173
1.275;-0.68161;0.31224;0.73176
1.2833;-0.68175;0.3121;0.73203
1.2917;-0.68201;0.3119;0.73232
1.3;-0.68242;0.31183;0.73274
1.3083;-0.68293;0.31155;0.7333
1.3167;-0.68387;0.31106;0.73397
1.325;-0.68472;0.31058;0.73418
1.3333;-0.68588;0.31001;0.73453
1.3417;-0.68701;0.30906;0.73474
1.35;-0.68835;0.30829;0.73464
1.3583;-0.6893;0.30755;0.73489
1.3667;-0.69044;0.3066;0.73498
1.375;-0.69116;0.30556;0.73499
1.3833;-0.69249;0.30461;0.73489
1.3917;-0.69325;0.3038;0.73488
1.4;-0.69416;0.30261;0.73494
1.4083;-0.69486;0.30178;0.73499
1.4167;-0.6955;0.30057;0.73532
1.425;-0.69659;0.29981;0.73535
1.4333;-0.69703;0.29882;0.73527
1.4417;-0.69763;0.29791;0.73515
1.45;-0.69789;0.29697;0.73499
1.4583;-0.69792;0.29606;0.73488
1.4667;-0.69813;0.29521;0.73473
1.475;-0.6983;0.29433;0.73466
1.4833;-0.69826;0.29339;0.73461
1.4917;-0.69816;0.29277;0.73435
1.5;-0.69816;0.29213;0.73425
1.5083;-0.69804;0.29138;0.73421
1.5167;-0.69791;0.29094;0.7341
1.525;-0.69771;0.29066;0.73389
1.5333;-0.69746;0.29032;0.73366
1.5417;-0.69703;0.29004;0.73353
1.55;-0.69683;0.28996;0.73329
1.5583;-0.69672;0.29;0.73316
1.5667;-0.69652;0.29014;0.7331
1.575;-0.69647;0.29037;0.73311
1.5833;-0.69647;0.29066;0.73312
1.5917;-0.69635;0.29101;0.73306
1.6;-0.69618;0.29129;0.73301
1.6083;-0.69592;0.29172;0.73288
1.6167;-0.69582;0.29215;0.7328
1.625;-0.69572;0.29251;0.73277
1.6333;-0.6956;0.29273;0.73278
1.6417;-0.69533;0.29308;0.73266
1.65;-0.695;0.29342;0.73251
1.6583;-0.69466;0.29376;0.73234
1.6667;-0.6945;0.2939;0.73233
1.675;-0.69439;0.294;0.73233
1.6833;-0.69433;0.29404;0.73232
1.6917;-0.69428;0.29407;0.73228
1.7;-0.69423;0.29407;0.73228
1.7083;-0.6942;0.294;0.73226
1.7167;-0.69411;0.29391;0.73221
1.725;-0.69403;0.29386;0.7321
1.7333;-0.69391;0.2938;0.73205
1.7417;-0.69371;0.2938;0.73195
1.75;-0.69361;0.29373;0.73192
1.7583;-0.69344;0.29367;0.7319
1.7667;-0.69345;0.2937;0.73187
1.775;-0.69339;0.29364;0.7318
1.7833;-0.6933;0.29361;0.73169
1.7917;-0.69323;0.29349;0.73151
1.8;-0.69326;0.29343;0.73133
1.8083;-0.6933;0.29334;0.73132
1.8167;-0.69335;0.29329;0.73132
1.825;-0.69333;0.29331;0.73132
1.8333;-0.69339;0.2933;0.73131
1.8417;-0.69341;0.29326;0.73129
1.85;-0.6935;0.29305;0.73134
1.8583;-0.69353;0.29304;0.73129
1.8667;-0.69354;0.29304;0.73127
1.875;-0.69358;0.29305;0.73127
1.8833;-0.69364;0.29318;0.73121
1.8917;-0.6937;0.2932;0.7312
1.9;-0.69381;0.2933;0.73118
1.9083;-0.69385;0.29332;0.73123
1.9167;-0.69401;0.29346;0.7311
1.925;-0.69428;0.2936;0.73111
1.9333;-0.69473;0.29387;0.73106
1.9417;-0.69499;0.29413;0.73103
1.95;-0.69528;0.29424;0.73104
1.9583;-0.69558;0.29457;0.73102
1.9667;-0.69584;0.29476;0.73109
1.975;-0.6962;0.29491;0.73109
1.9833;-0.69651;0.29508;0.73107
1.9917;-0.69682;0.29535;0.73097
2;-0.69708;0.29562;0.73096
2.0083;-0.69757;0.2959;0.73092
