t;X;Y;Z
0.0083333;-0.59799;0.3341;0.73406
0.016667;-0.59766;0.33412;0.73451
0.025;-0.59765;0.33419;0.73447
0.033333;-0.59763;0.33415;0.73448
0.041667;-0.59763;0.33415;0.73446
0.05;-0.59759;0.33411;0.73446
0.058333;-0.59758;0.33412;0.73447
0.066667;-0.59758;0.33414;0.73444
0.075;-0.59757;0.33411;0.73448
0.083333;-0.59762;0.33412;0.73446
0.091667;-0.5976;0.33419;0.73444
0.1;-0.5976;0.33414;0.73446
0.10833;-0.59755;0.33423;0.73437
0.11667;-0.59761;0.33416;0.73444
0.125;-0.59757;0.33412;0.73444
0.13333;-0.59754;0.33416;0.73442
0.14167;-0.59754;0.33417;0.73441
0.15;-0.59753;0.33418;0.73437
0.15833;-0.5975;0.33426;0.73428
0.16667;-0.59749;0.33429;0.73421
0.175;-0.59749;0.33435;0.73411
0.18333;-0.59744;0.33437;0.73405
0.19167;-0.59745;0.33442;0.73401
0.2;-0.59741;0.33442;0.73397
0.20833;-0.59742;0.33445;0.73394
0.21667;-0.59742;0.3345;0.73393
0.225;-0.59741;0.33451;0.73391
0.23333;-0.59742;0.33451;0.73389
0.24167;-0.59744;0.3345;0.73386
0.25;-0.59745;0.3345;0.73384
0.25833;-0.59744;0.33457;0.73374
0.26667;-0.59743;0.33458;0.73371
0.275;-0.59721;0.33419;0.73301
0.28333;-0.59721;0.3342;0.73298
0.29167;-0.59721;0.33421;0.73298
0.3;-0.59722;0.33414;0.73304
0.30833;-0.59721;0.33419;0.73298
0.31667;-0.59721;0.33419;0.73298
0.325;-0.59722;0.33419;0.73297
0.33333;-0.59719;0.33422;0.73296
0.34167;-0.59721;0.33419;0.73297
0.35;-0.59719;0.33421;0.73297
0.35833;-0.59719;0.33423;0.73296
0.36667;-0.59719;0.33423;0.73296
0.375;-0.59718;0.33426;0.73294
0.38333;-0.59719;0.33423;0.73296
0.39167;-0.59719;0.33423;0.73296
0.4;-0.59721;0.33419;0.73297
0.40833;-0.59719;0.33421;0.73296
0.41667;-0.59719;0.33421;0.73296
0.425;-0.59719;0.33421;0.73296
0.43333;-0.59719;0.33421;0.73297
0.44167;-0.59721;0.33419;0.73298
0.45;-0.5972;0.33421;0.73297
0.45833;-0.59719;0.3342;0.73296
0.46667;-0.59721;0.33417;0.73297
0.475;-0.59722;0.33417;0.73297
0.48333;-0.59765;0.33433;0.7331
0.49167;-0.59723;0.33417;0.73297
0.5;-0.59721;0.33419;0.73295
0.50833;-0.59721;0.3342;0.73297
0.51667;-0.59719;0.33425;0.73293
0.525;-0.59715;0.33431;0.73291
0.53333;-0.59715;0.33432;0.7329
0.54167;-0.59716;0.33429;0.73292
0.55;-0.59715;0.3343;0.73291
0.55833;-0.59711;0.33435;0.73289
0.56667;-0.59709;0.33437;0.73288
0.575;-0.59711;0.33434;0.73289
0.58333;-0.59711;0.33432;0.7329
0.59167;-0.59709;0.33436;0.73289
0.6;-0.5971;0.3343;0.73295
0.60833;-0.59709;0.33438;0.73288
0.61667;-0.59706;0.33442;0.73286
0.625;-0.59706;0.33442;0.73286
0.63333;-0.59706;0.33442;0.73287
0.64167;-0.59709;0.33438;0.73288
0.65;-0.59709;0.33439;0.73288
0.65833;-0.59709;0.33439;0.73287
0.66667;-0.59708;0.33439;0.73286
0.675;-0.59708;0.33438;0.73286
0.68333;-0.59751;0.33454;0.73298
0.69167;-0.59709;0.33437;0.73287
0.7;-0.59711;0.33435;0.73287
0.70833;-0.59711;0.33434;0.73288
0.71667;-0.59751;0.33453;0.733
0.725;-0.59709;0.33438;0.73288
0.73333;-0.59751;0.33454;0.733
0.74167;-0.59752;0.33453;0.733
0.75;-0.59708;0.33437;0.73286
0.75833;-0.59708;0.33439;0.73287
0.76667;-0.59712;0.33433;0.73288
0.775;-0.59709;0.33437;0.73288
0.78333;-0.59709;0.33438;0.73288
0.79167;-0.59709;0.33439;0.73287
0.8;-0.59752;0.33455;0.733
0.80833;-0.59712;0.33437;0.73289
0.81667;-0.59711;0.33436;0.73288
0.825;-0.59717;0.3343;0.7329
0.83333;-0.59719;0.33427;0.73292
0.84167;-0.59717;0.33431;0.73289
0.85;-0.59716;0.33429;0.73289
0.85833;-0.59719;0.33427;0.73292
0.86667;-0.59719;0.33427;0.73291
0.875;-0.59717;0.33431;0.7329
0.88333;-0.5972;0.33426;0.73291
0.89167;-0.59719;0.33427;0.73291
0.9;-0.59719;0.33426;0.73292
0.90833;-0.5972;0.33426;0.73291
0.91667;-0.59722;0.33424;0.73292
0.925;-0.59722;0.33424;0.73292
0.93333;-0.59719;0.33425;0.73292
0.94167;-0.59719;0.33426;0.73292
0.95;-0.59716;0.33431;0.73288
0.95833;-0.59719;0.33427;0.73291
0.96667;-0.59719;0.33425;0.73291
0.975;-0.59719;0.33426;0.73291
0.98333;-0.59719;0.33426;0.73292
0.99167;-0.59719;0.33427;0.73291
1;-0.59722;0.33424;0.73292
1.0083;-0.59719;0.33426;0.73291
1.0167;-0.59719;0.33428;0.7329
1.025;-0.59719;0.33427;0.7329
1.0333;-0.59722;0.33423;0.73292
1.0417;-0.59723;0.33423;0.73292
1.05;-0.59726;0.33419;0.73292
1.0583;-0.59728;0.33422;0.73291
1.0667;-0.59729;0.33413;0.73298
1.075;-0.59733;0.33407;0.73301
1.0833;-0.5983;0.33428;0.7328
1.0917;-0.59835;0.33427;0.7328
1.1;-0.59841;0.33434;0.73274
1.1083;-0.59844;0.33433;0.73272
1.1167;-0.59851;0.33435;0.73267
1.125;-0.59874;0.33473;0.73338
1.1333;-0.59879;0.33472;0.73338
1.1417;-0.59904;0.33445;0.73348
1.15;-0.59935;0.33415;0.73362
1.1583;-0.60044;0.33427;0.73343
1.1667;-0.60054;0.33431;0.7334
1.175;-0.60059;0.33429;0.73339
1.1833;-0.60067;0.33483;0.7332
1.1917;-0.60079;0.3343;0.73331
1.2;-0.6013;0.33363;0.73357
1.2083;-0.60236;0.33361;0.73348
1.2167;-0.60248;0.33362;0.73345
1.225;-0.60259;0.33369;0.7334
1.2333;-0.60288;0.33344;0.73351
1.2417;-0.60431;0.33373;0.7332
1.25;-0.60441;0.33311;0.73342
1.2583;-0.60447;0.33304;0.7334
1.2667;-0.60461;0.33298;0.73345
1.275;-0.60503;0.33241;0.7337
1.2833;-0.60628;0.33229;0.73355
1.2917;-0.60638;0.33234;0.73347
1.3;-0.60646;0.33238;0.73341
1.3083;-0.60662;0.33231;0.73337
1.3167;-0.60811;0.33185;0.73344
1.325;-0.6081;0.33196;0.73255
1.3333;-0.6084;0.33205;0.73273
1.3417;-0.60828;0.33118;0.73266
1.35;-0.60952;0.33063;0.73314
1.3583;-0.61005;0.33055;0.73273
1.3667;-0.61053;0.33056;0.73285
1.375;-0.61069;0.32981;0.73291
1.3833;-0.61186;0.32978;0.73275
1.3917;-0.61233;0.32986;0.73272
1.4;-0.61278;0.32958;0.73275
1.4083;-0.61355;0.32906;0.73282
1.4167;-0.61387;0.32907;0.73271
1.425;-0.61436;0.32897;0.73263
1.4333;-0.61526;0.32815;0.73269
1.4417;-0.61588;0.32798;0.73261
1.45;-0.61639;0.32751;0.73281
1.4583;-0.61705;0.32704;0.73271
1.4667;-0.61774;0.32691;0.73251
1.475;-0.61868;0.32606;0.73262
1.4833;-0.61957;0.32602;0.73289
1.4917;-0.62006;0.32547;0.73302
1.5;-0.62048;0.32503;0.7332
1.5083;-0.62163;0.32501;0.73295
1.5167;-0.62226;0.32424;0.73324
1.525;-0.62346;0.32429;0.73297
1.5333;-0.624;0.32376;0.73308
1.5417;-0.62431;0.32332;0.73328
1.55;-0.6254;0.32283;0.73235
1.5583;-0.62634;0.32237;0.73259
1.5667;-0.62719;0.32201;0.73226
1.575;-0.62798;0.32136;0.73278
1.5833;-0.62867;0.32094;0.73252
1.5917;-0.62988;0.32032;0.73245
1.6;-0.63046;0.3199;0.73243
1.6083;-0.63145;0.31928;0.73245
1.6167;-0.63181;0.31892;0.73279
1.625;-0.63326;0.31844;0.73275
1.6333;-0.63365;0.31778;0.73291
1.6417;-0.63407;0.31698;0.73312
1.65;-0.63475;0.31631;0.73267
1.6583;-0.63543;0.31589;0.73243
1.6667;-0.63631;0.31527;0.73275
1.675;-0.63661;0.31497;0.73251
1.6833;-0.6378;0.31402;0.73269
1.6917;-0.63826;0.31354;0.73246
1.7;-0.63899;0.31272;0.73252
1.7083;-0.63979;0.31246;0.73277
1.7167;-0.64004;0.31206;0.73274
1.725;-0.64137;0.31086;0.732
1.7333;-0.64155;0.31044;0.73199
1.7417;-0.64252;0.30951;0.73227
1.75;-0.64291;0.30902;0.73213
1.7583;-0.64389;0.30813;0.73257
1.7667;-0.64424;0.30739;0.73267
1.775;-0.64438;0.30681;0.732
1.7833;-0.64518;0.30581;0.7324
1.7917;-0.64578;0.3051;0.73228
1.8;-0.64633;0.30424;0.73256
1.8083;-0.64653;0.30367;0.73265
1.8167;-0.64656;0.30334;0.73261
1.825;-0.64638;0.30226;0.73212
1.8333;-0.64722;0.30158;0.73215
1.8417;-0.64733;0.30104;0.7322
1.85;-0.64744;0.30045;0.73216
1.8583;-0.64752;0.29997;0.73205
1.8667;-0.64734;0.29956;0.73248
1.875;-0.64749;0.29897;0.73278
1.8833;-0.64776;0.29824;0.73235
1.8917;-0.64775;0.29781;0.73229
1.9;-0.64772;0.29745;0.73228
1.9083;-0.64743;0.29705;0.73248
1.9167;-0.64728;0.29694;0.73247
1.925;-0.64705;0.2971;0.73234
1.9333;-0.64582;0.29704;0.73244
1.9417;-0.64587;0.29682;0.73201
1.95;-0.64565;0.29681;0.73245
1.9583;-0.64562;0.2967;0.73252
1.9667;-0.64555;0.29666;0.7326
1.975;-0.64441;0.2967;0.73279
1.9833;-0.64393;0.29723;0.73257
1.9917;-0.64363;0.29703;0.73274
2;-0.64319;0.2973;0.73227
2.0083;-0.64243;0.29771;0.73267
2.0167;-0.64191;0.29841;0.73242
2.025;-0.64183;0.29842;0.73253
2.0333;-0.64109;0.29861;0.73245
2.0417;-0.64027;0.2992;0.73239
2.05;-0.63997;0.29934;0.7324
2.0583;-0.63946;0.29955;0.73257
2.0667;-0.63862;0.30034;0.73236
2.075;-0.63846;0.30064;0.73229
2.0833;-0.63792;0.30094;0.7323
2.0917;-0.63634;0.3014;0.73236
2.1;-0.63633;0.30203;0.73305
2.1083;-0.63605;0.30255;0.73297
2.1167;-0.63566;0.30317;0.73274
2.125;-0.63447;0.30333;0.73285
2.1333;-0.63409;0.3039;0.73238
2.1417;-0.63371;0.30465;0.73244
2.15;-0.63296;0.30487;0.73248
2.1583;-0.6323;0.30572;0.73239
2.1667;-0.63209;0.3062;0.73243
2.175;-0.63148;0.30661;0.73214
2.1833;-0.6303;0.30763;0.73281
2.1917;-0.63009;0.30825;0.73276
2.2;-0.6295;0.30912;0.73256
2.2083;-0.62926;0.30955;0.73253
2.2167;-0.62836;0.31005;0.73255
2.225;-0.62783;0.31082;0.73251
2.2333;-0.62738;0.31126;0.7325
2.2417;-0.62602;0.3123;0.73323
2.25;-0.62586;0.31327;0.73289
2.2583;-0.62537;0.31385;0.73286
2.2667;-0.62495;0.31452;0.73262
2.275;-0.62426;0.31497;0.7327
2.2833;-0.62372;0.31584;0.7326
2.2917;-0.62329;0.31677;0.73302
2.3;-0.6227;0.31798;0.73267
2.3083;-0.62151;0.31804;0.73297
2.3167;-0.62149;0.31873;0.73256
2.325;-0.62088;0.31956;0.73276
2.3333;-0.62052;0.32034;0.73257
2.3417;-0.61913;0.32169;0.73317
2.35;-0.61882;0.32249;0.73311
2.3583;-0.61818;0.32345;0.73288
2.3667;-0.61716;0.32402;0.73291
2.375;-0.61636;0.32487;0.73269
2.3833;-0.6162;0.32608;0.73319
2.3917;-0.61574;0.32692;0.73299
2.4;-0.61469;0.3278;0.73284
2.4083;-0.61423;0.32845;0.73254
2.4167;-0.61382;0.32917;0.73262
2.425;-0.6136;0.32953;0.7326
2.4333;-0.61232;0.33081;0.73328
2.4417;-0.61212;0.3315;0.73334
2.45;-0.61145;0.33244;0.73278
2.4583;-0.61092;0.33291;0.7329
