t;X;Y;Z
0.0083333;-0.89984;0.26933;0.73639
0.016667;-0.89946;0.26901;0.73591
0.025;-0.89918;0.26882;0.73552
0.033333;-0.89893;0.26819;0.7349
0.041667;-0.89827;0.26767;0.73472
0.05;-0.89792;0.26761;0.7344
0.058333;-0.89762;0.26742;0.73421
0.066667;-0.8971;0.26656;0.73405
0.075;-0.89665;0.26644;0.73404
0.083333;-0.89639;0.26629;0.7341
0.091667;-0.89618;0.26616;0.73423
0.1;-0.89605;0.2661;0.73419
0.10833;-0.89572;0.26609;0.73398
0.11667;-0.89527;0.2661;0.73356
0.125;-0.89505;0.26607;0.73343
0.13333;-0.89471;0.26588;0.73326
0.14167;-0.89439;0.26573;0.73313
0.15;-0.89432;0.26553;0.73332
0.15833;-0.89412;0.26529;0.73373
0.16667;-0.89386;0.26491;0.73412
0.175;-0.89378;0.2649;0.73448
0.18333;-0.89387;0.26474;0.73459
0.19167;-0.89377;0.26468;0.73439
0.2;-0.89388;0.26464;0.73415
0.20833;-0.89394;0.26484;0.73372
0.21667;-0.89417;0.26486;0.73333
0.225;-0.89441;0.2649;0.73314
0.23333;-0.89459;0.26473;0.73305
0.24167;-0.89481;0.26468;0.73318
0.25;-0.89501;0.26465;0.73333
0.25833;-0.89516;0.26458;0.73345
0.26667;-0.89526;0.26457;0.73352
0.275;-0.89542;0.26452;0.73352
0.28333;-0.89574;0.26443;0.73352
0.29167;-0.89587;0.26439;0.73341
0.3;-0.89597;0.26437;0.73325
0.30833;-0.89605;0.26438;0.73303
0.31667;-0.89607;0.26434;0.73287
0.325;-0.8961;0.26426;0.73273
0.33333;-0.89606;0.26414;0.73258
0.34167;-0.89601;0.26355;0.73221
0.35;-0.89595;0.26322;0.73236
0.35833;-0.8959;0.26293;0.73248
0.36667;-0.89588;0.26271;0.73254
0.375;-0.89585;0.26258;0.73246
0.38333;-0.89592;0.26253;0.73225
0.39167;-0.89586;0.26248;0.73197
0.4;-0.89577;0.26235;0.73165
0.40833;-0.89573;0.26221;0.73145
0.41667;-0.89564;0.26214;0.73134
0.425;-0.89545;0.262;0.73122
0.43333;-0.89523;0.26188;0.73117
0.44167;-0.89487;0.26177;0.73115
0.45;-0.89442;0.26164;0.73123
0.45833;-0.89418;0.26143;0.73149
0.46667;-0.89393;0.26135;0.7316
0.475;-0.89378;0.26132;0.73164
0.48333;-0.89344;0.26123;0.73158
0.49167;-0.89309;0.26101;0.7315
0.5;-0.89275;0.26093;0.73146
