t;X;Y;Z
0.0083333;-0.78931;0.61683;0.7589
0.016667;-0.78904;0.61678;0.75866
0.025;-0.78928;0.61683;0.75889
0.033333;-0.78944;0.61681;0.75905
0.041667;-0.78947;0.61678;0.75907
0.05;-0.78942;0.61677;0.75904
0.058333;-0.78945;0.61677;0.75906
0.066667;-0.78932;0.61682;0.75895
0.075;-0.78943;0.61677;0.75905
0.083333;-0.78942;0.61677;0.75905
0.091667;-0.78929;0.61682;0.75893
0.1;-0.78938;0.61681;0.75893
0.10833;-0.78936;0.61682;0.75893
0.11667;-0.78929;0.61683;0.75891
0.125;-0.78929;0.61683;0.7589
0.13333;-0.78936;0.61682;0.75891
0.14167;-0.78938;0.61678;0.75892
0.15;-0.78937;0.61682;0.75892
0.15833;-0.7893;0.61685;0.75891
0.16667;-0.78938;0.61679;0.75895
0.175;-0.78936;0.6168;0.75891
0.18333;-0.78938;0.61681;0.75895
0.19167;-0.78934;0.61676;0.7589
0.2;-0.78938;0.61677;0.75895
0.20833;-0.78939;0.61675;0.75896
0.21667;-0.78942;0.6167;0.759
0.225;-0.78914;0.61664;0.75874
0.23333;-0.78912;0.61658;0.75875
0.24167;-0.78943;0.61665;0.75902
0.25;-0.78945;0.61666;0.75903
0.25833;-0.78903;0.6166;0.75871
0.26667;-0.78905;0.61656;0.75876
0.275;-0.78904;0.61657;0.75872
0.28333;-0.78905;0.61656;0.75873
0.29167;-0.78908;0.61654;0.75874
0.3;-0.78903;0.61656;0.75873
0.30833;-0.78904;0.61657;0.75874
0.31667;-0.78891;0.6166;0.75866
0.325;-0.78889;0.61658;0.75867
0.33333;-0.78907;0.61654;0.75874
0.34167;-0.78899;0.61653;0.75875
0.35;-0.78898;0.61653;0.75875
0.35833;-0.78892;0.61654;0.75871
0.36667;-0.78896;0.6165;0.75874
0.375;-0.78893;0.6165;0.75871
0.38333;-0.78898;0.61649;0.75876
0.39167;-0.78893;0.61649;0.75874
0.4;-0.78885;0.61643;0.75865
0.40833;-0.78879;0.61641;0.75859
0.41667;-0.78883;0.61641;0.7586
0.425;-0.78879;0.61641;0.75859
0.43333;-0.78881;0.61641;0.7586
0.44167;-0.78883;0.61642;0.75863
0.45;-0.78883;0.61642;0.75865
0.45833;-0.78882;0.61638;0.75861
0.46667;-0.78886;0.61638;0.75862
0.475;-0.78887;0.61635;0.75866
0.48333;-0.78883;0.61639;0.75863
0.49167;-0.78881;0.61638;0.75866
0.5;-0.78882;0.61632;0.75864
0.50833;-0.78878;0.61633;0.75864
0.51667;-0.7887;0.61634;0.75858
0.525;-0.78877;0.61628;0.75866
0.53333;-0.78864;0.61626;0.75863
0.54167;-0.78878;0.61619;0.75877
0.55;-0.78864;0.6162;0.75864
0.55833;-0.78864;0.61624;0.75862
0.56667;-0.78876;0.61614;0.75878
0.575;-0.78855;0.61629;0.75853
0.58333;-0.7886;0.6162;0.75866
0.59167;-0.78872;0.61621;0.75866
0.6;-0.78874;0.61624;0.75866
0.60833;-0.78871;0.6162;0.75866
0.61667;-0.78863;0.61623;0.75862
0.625;-0.78863;0.61621;0.7586
0.63333;-0.78847;0.61631;0.75849
0.64167;-0.78856;0.61628;0.75853
0.65;-0.78887;0.61615;0.7588
0.65833;-0.78881;0.61614;0.75876
0.66667;-0.7888;0.61622;0.75868
0.675;-0.78869;0.61621;0.75863
0.68333;-0.7888;0.61624;0.75867
0.69167;-0.78892;0.61621;0.75872
