t;X;Y;Z
0.0083333;-0.67891;0.15368;0.73942
0.016667;-0.67887;0.15368;0.73943
0.025;-0.67885;0.15371;0.73942
0.033333;-0.67885;0.15371;0.73942
0.041667;-0.67884;0.1537;0.73945
0.05;-0.67886;0.15371;0.73948
0.058333;-0.67882;0.15371;0.73948
0.066667;-0.67881;0.15376;0.73946
0.075;-0.67881;0.15376;0.73946
0.083333;-0.67882;0.15378;0.73945
0.091667;-0.67888;0.15376;0.73945
0.1;-0.67886;0.15373;0.73942
0.10833;-0.67886;0.15371;0.73936
0.11667;-0.67891;0.15365;0.73938
0.125;-0.67896;0.1536;0.73936
0.13333;-0.67905;0.15357;0.73933
0.14167;-0.67911;0.15352;0.73931
0.15;-0.67918;0.15347;0.73928
0.15833;-0.67926;0.15345;0.73927
0.16667;-0.67931;0.15341;0.73923
0.175;-0.67947;0.15336;0.73925
0.18333;-0.67958;0.1533;0.7392
0.19167;-0.67975;0.15324;0.73921
0.2;-0.67988;0.15321;0.73918
0.20833;-0.68006;0.15319;0.73917
0.21667;-0.68023;0.15316;0.73914
0.225;-0.68038;0.15317;0.7391
0.23333;-0.68057;0.15322;0.73905
0.24167;-0.68077;0.15326;0.73903
0.25;-0.68098;0.15337;0.73899
0.25833;-0.68125;0.15348;0.73901
0.26667;-0.68157;0.1536;0.73907
0.275;-0.68189;0.15376;0.73908
0.28333;-0.68219;0.15395;0.73907
0.29167;-0.6826;0.1541;0.73909
0.3;-0.68312;0.15431;0.73903
0.30833;-0.68362;0.15457;0.73899
0.31667;-0.68407;0.15476;0.73895
0.325;-0.68462;0.15506;0.73894
0.33333;-0.6852;0.15541;0.73897
0.34167;-0.68575;0.15573;0.73895
0.35;-0.68642;0.15615;0.73891
0.35833;-0.68707;0.1566;0.7389
0.36667;-0.68775;0.15713;0.73891
0.375;-0.68831;0.15769;0.73897
0.38333;-0.68887;0.1584;0.73893
0.39167;-0.68957;0.15909;0.73898
0.4;-0.69025;0.15977;0.73893
0.40833;-0.69093;0.16053;0.73896
0.41667;-0.69166;0.16137;0.73906
0.425;-0.69238;0.16218;0.73905
0.43333;-0.6931;0.16303;0.73892
0.44167;-0.6939;0.16395;0.73901
0.45;-0.69474;0.16479;0.73911
0.45833;-0.69556;0.16572;0.73905
0.46667;-0.69641;0.16669;0.73903
0.475;-0.69723;0.16769;0.73902
0.48333;-0.69811;0.16872;0.73914
0.49167;-0.69909;0.16974;0.73921
0.5;-0.70005;0.17071;0.73915
0.50833;-0.701;0.17175;0.73926
0.51667;-0.702;0.17277;0.73929
0.525;-0.703;0.17381;0.7393
0.53333;-0.70384;0.17486;0.7392
0.54167;-0.70508;0.17587;0.73936
0.55;-0.70595;0.17697;0.73923
0.55833;-0.70694;0.17801;0.73927
0.56667;-0.70789;0.17912;0.73926
0.575;-0.70891;0.18028;0.73933
0.58333;-0.70973;0.18134;0.73916
0.59167;-0.71086;0.18252;0.73938
0.6;-0.71163;0.18372;0.73931
0.60833;-0.71262;0.18489;0.73929
0.61667;-0.7136;0.18612;0.7394
0.625;-0.71438;0.18739;0.7394
0.63333;-0.71545;0.18868;0.73953
0.64167;-0.71623;0.18993;0.73941
0.65;-0.71699;0.19129;0.73951
0.65833;-0.71775;0.19261;0.73957
0.66667;-0.71859;0.19397;0.73965
0.675;-0.71911;0.19537;0.73945
0.68333;-0.71999;0.19675;0.73956
0.69167;-0.72069;0.19815;0.73967
0.7;-0.72127;0.19954;0.73959
0.70833;-0.72202;0.2009;0.7397
0.71667;-0.72271;0.20228;0.73966
0.725;-0.72333;0.20373;0.73979
0.73333;-0.72388;0.20509;0.73977
0.74167;-0.72463;0.20655;0.73985
0.75;-0.72503;0.20795;0.73972
0.75833;-0.72531;0.20938;0.7396
0.76667;-0.72604;0.21081;0.73979
0.775;-0.72656;0.21226;0.73989
0.78333;-0.72685;0.21375;0.73988
0.79167;-0.72732;0.21518;0.73983
0.8;-0.72778;0.2167;0.73989
0.80833;-0.7281;0.21814;0.73983
0.81667;-0.72854;0.21959;0.73996
0.825;-0.7288;0.22106;0.73989
0.83333;-0.72906;0.22257;0.73998
0.84167;-0.72921;0.22403;0.73996
0.85;-0.7294;0.22545;0.73991
0.85833;-0.72994;0.22702;0.74023
0.86667;-0.72953;0.2284;0.73967
0.875;-0.72947;0.22985;0.7395
0.88333;-0.73001;0.23132;0.73976
0.89167;-0.72922;0.23269;0.73915
0.9;-0.72931;0.23417;0.73918
0.90833;-0.72912;0.23553;0.73891
0.91667;-0.7294;0.23702;0.73909
0.925;-0.72929;0.23846;0.73901
0.93333;-0.72909;0.23977;0.73895
0.94167;-0.72919;0.24124;0.73899
0.95;-0.72858;0.2425;0.7386
0.95833;-0.72857;0.24385;0.73862
0.96667;-0.72854;0.24516;0.73864
0.975;-0.72876;0.2465;0.73878
0.98333;-0.7286;0.2478;0.73878
0.99167;-0.72866;0.24909;0.73885
1;-0.72851;0.2504;0.73876
1.0083;-0.72831;0.25164;0.73873
1.0167;-0.72823;0.25287;0.73876
1.025;-0.72799;0.2541;0.73871
1.0333;-0.72791;0.25535;0.73877
1.0417;-0.72761;0.25654;0.73872
1.05;-0.72758;0.25779;0.73871
1.0583;-0.72722;0.2589;0.73872
1.0667;-0.72707;0.26017;0.73879
1.075;-0.72671;0.26128;0.73868
1.0833;-0.72632;0.26245;0.73863
1.0917;-0.72579;0.26368;0.73864
1.1;-0.7253;0.26487;0.73873
1.1083;-0.72472;0.26607;0.73878
1.1167;-0.72406;0.26732;0.73878
1.125;-0.72339;0.26848;0.73871
1.1333;-0.72269;0.26976;0.73876
1.1417;-0.72202;0.27108;0.73889
1.15;-0.72101;0.27231;0.73887
1.1583;-0.71997;0.27348;0.73878
1.1667;-0.71913;0.27478;0.73881
1.175;-0.71829;0.27601;0.73893
1.1833;-0.71709;0.2771;0.73889
1.1917;-0.71642;0.27834;0.73902
1.2;-0.71527;0.27939;0.73892
1.2083;-0.71419;0.2805;0.73907
1.2167;-0.71329;0.28167;0.73916
1.225;-0.71225;0.28264;0.73913
1.2333;-0.71089;0.28364;0.73895
1.2417;-0.70991;0.28462;0.73909
1.25;-0.70888;0.2856;0.73913
1.2583;-0.70756;0.28655;0.73901
1.2667;-0.7065;0.28747;0.73914
1.275;-0.70535;0.28848;0.73923
1.2833;-0.70409;0.2894;0.73918
1.2917;-0.70273;0.29025;0.73919
1.3;-0.70144;0.29116;0.73926
1.3083;-0.70018;0.29208;0.73931
1.3167;-0.6987;0.29296;0.73934
1.325;-0.69735;0.29379;0.73923
1.3333;-0.6958;0.29452;0.73929
1.3417;-0.69432;0.29531;0.7393
1.35;-0.69286;0.29607;0.73925
1.3583;-0.69124;0.29678;0.73933
1.3667;-0.68982;0.29751;0.73934
1.375;-0.68802;0.29816;0.73936
1.3833;-0.68647;0.29881;0.73926
1.3917;-0.68469;0.29929;0.73928
