t;X;Y;Z
0.0083333;-0.44578;0.16716;0.72894
0.016667;-0.44581;0.16712;0.72896
0.025;-0.44582;0.16714;0.72894
0.033333;-0.44582;0.16715;0.72894
0.041667;-0.44587;0.16713;0.72895
0.05;-0.44589;0.16713;0.72896
0.058333;-0.44589;0.16714;0.72895
0.066667;-0.4459;0.1671;0.72897
0.075;-0.44591;0.16713;0.72898
0.083333;-0.44592;0.16716;0.72897
0.091667;-0.44599;0.1672;0.72896
0.1;-0.44604;0.16729;0.72899
0.10833;-0.44612;0.16741;0.72898
0.11667;-0.44621;0.16753;0.72902
0.125;-0.4463;0.16766;0.72902
0.13333;-0.44642;0.16786;0.729
0.14167;-0.44661;0.16804;0.72903
0.15;-0.44678;0.16822;0.72906
0.15833;-0.447;0.16847;0.72907
0.16667;-0.44725;0.16887;0.72904
0.175;-0.44769;0.16928;0.72902
0.18333;-0.44805;0.16972;0.72899
0.19167;-0.4485;0.17019;0.72893
0.2;-0.44895;0.17077;0.72888
0.20833;-0.44949;0.17129;0.72892
0.21667;-0.45011;0.17183;0.72895
0.225;-0.45075;0.17241;0.72897
0.23333;-0.45147;0.17303;0.72905
0.24167;-0.45216;0.17357;0.72906
0.25;-0.453;0.17426;0.72902
0.25833;-0.45402;0.17484;0.72892
0.26667;-0.45496;0.17535;0.72888
0.275;-0.45606;0.1759;0.72891
0.28333;-0.45718;0.17646;0.72895
0.29167;-0.4582;0.17691;0.72893
0.3;-0.4593;0.1774;0.72893
0.30833;-0.46039;0.17787;0.7289
0.31667;-0.46135;0.17836;0.72884
0.325;-0.46248;0.17867;0.72884
0.33333;-0.4636;0.17897;0.72881
0.34167;-0.46476;0.1793;0.7288
0.35;-0.46576;0.17964;0.72881
0.35833;-0.46694;0.17986;0.72881
0.36667;-0.46797;0.18013;0.72881
0.375;-0.4691;0.18033;0.72874
0.38333;-0.47017;0.18047;0.72879
0.39167;-0.4713;0.18077;0.72869
0.4;-0.4724;0.181;0.72867
0.40833;-0.47342;0.18108;0.72866
0.41667;-0.47443;0.18119;0.72874
0.425;-0.47539;0.18136;0.72867
0.43333;-0.47635;0.18156;0.72863
0.44167;-0.47723;0.18162;0.72865
0.45;-0.47809;0.18162;0.72864
0.45833;-0.47899;0.18171;0.72862
0.46667;-0.47975;0.18177;0.72853
0.475;-0.48042;0.1817;0.72855
0.48333;-0.48098;0.1816;0.7286
0.49167;-0.48138;0.18143;0.72859
0.5;-0.48179;0.18119;0.72859
0.50833;-0.48209;0.18098;0.72856
0.51667;-0.48236;0.18073;0.72856
0.525;-0.48271;0.18049;0.72856
0.53333;-0.48289;0.18019;0.72857
0.54167;-0.48299;0.17984;0.7286
0.55;-0.48303;0.17946;0.72862
0.55833;-0.48298;0.17902;0.72855
0.56667;-0.48299;0.17853;0.7285
0.575;-0.48284;0.17804;0.7285
0.58333;-0.48259;0.17753;0.72852
0.59167;-0.48227;0.17694;0.72855
0.6;-0.48193;0.1764;0.72859
0.60833;-0.48153;0.17583;0.72863
0.61667;-0.48114;0.1753;0.72865
0.625;-0.48077;0.17478;0.72866
0.63333;-0.48032;0.17439;0.72864
0.64167;-0.47984;0.17391;0.72866
0.65;-0.47939;0.17341;0.72869
0.65833;-0.47876;0.17294;0.72869
0.66667;-0.4781;0.17268;0.72871
0.675;-0.47748;0.17237;0.72867
0.68333;-0.47672;0.17201;0.72864
0.69167;-0.47597;0.17171;0.72866
0.7;-0.47511;0.17144;0.72872
0.70833;-0.47433;0.17129;0.72874
0.71667;-0.47336;0.17105;0.72876
0.725;-0.47213;0.1708;0.72872
0.73333;-0.47104;0.1706;0.72877
0.74167;-0.46977;0.17062;0.72867
0.75;-0.46845;0.17053;0.72869
0.75833;-0.46728;0.17051;0.72874
0.76667;-0.46601;0.17051;0.72867
0.775;-0.46475;0.17062;0.72871
0.78333;-0.46335;0.1708;0.72872
0.79167;-0.462;0.17102;0.72872
0.8;-0.46067;0.17123;0.72875
