t;X;Y;Z
0.0083333;-0.58736;0.17225;0.72386
0.016667;-0.58736;0.17224;0.72389
0.025;-0.58736;0.17224;0.72389
0.033333;-0.58736;0.17224;0.72387
0.041667;-0.58735;0.17224;0.72388
0.05;-0.58736;0.17225;0.72386
0.058333;-0.58739;0.17225;0.72386
0.066667;-0.5874;0.17227;0.72388
0.075;-0.58741;0.17228;0.7239
0.083333;-0.5874;0.17227;0.72388
0.091667;-0.58739;0.17227;0.72386
0.1;-0.58741;0.17228;0.7239
0.10833;-0.58742;0.17225;0.72391
0.11667;-0.58742;0.17225;0.72391
0.125;-0.58738;0.17227;0.72391
0.13333;-0.58737;0.17227;0.72389
0.14167;-0.58738;0.17228;0.72388
0.15;-0.58735;0.17228;0.72392
0.15833;-0.58735;0.17228;0.72391
0.16667;-0.58732;0.1723;0.72391
0.175;-0.58732;0.17231;0.7239
0.18333;-0.58737;0.17233;0.72389
0.19167;-0.58736;0.17234;0.72391
0.2;-0.5874;0.17233;0.72393
0.20833;-0.58743;0.17234;0.72392
0.21667;-0.58743;0.17231;0.72391
0.225;-0.58744;0.17231;0.72393
0.23333;-0.58744;0.17231;0.72393
0.24167;-0.58743;0.17234;0.72392
0.25;-0.58743;0.17234;0.72392
0.25833;-0.58744;0.17235;0.72394
0.26667;-0.58747;0.17233;0.72395
0.275;-0.58753;0.17234;0.72395
0.28333;-0.58757;0.17236;0.72395
0.29167;-0.58766;0.17239;0.72396
0.3;-0.58774;0.17241;0.72397
0.30833;-0.58781;0.17244;0.72398
0.31667;-0.58789;0.17247;0.72398
0.325;-0.58796;0.17248;0.72398
0.33333;-0.58809;0.1725;0.72402
0.34167;-0.58819;0.17256;0.72404
0.35;-0.58836;0.17265;0.72403
0.35833;-0.5888;0.17276;0.72403
0.36667;-0.58926;0.17291;0.72404
0.375;-0.58964;0.17301;0.72403
0.38333;-0.59005;0.17312;0.72404
0.39167;-0.5905;0.17329;0.72406
0.4;-0.59105;0.1735;0.72407
0.40833;-0.59154;0.17385;0.72399
0.41667;-0.59215;0.17416;0.72398
0.425;-0.59276;0.17449;0.72397
0.43333;-0.59324;0.17485;0.724
0.44167;-0.59387;0.17534;0.72402
0.45;-0.59454;0.17581;0.72399
0.45833;-0.59538;0.17631;0.72396
0.46667;-0.59609;0.17686;0.72402
0.475;-0.5969;0.1774;0.72409
0.48333;-0.59773;0.17803;0.72406
0.49167;-0.5986;0.17862;0.72399
0.5;-0.59949;0.17921;0.72402
0.50833;-0.60034;0.17973;0.7241
0.51667;-0.60118;0.18028;0.7241
0.525;-0.60203;0.18079;0.72408
0.53333;-0.60277;0.18132;0.72408
0.54167;-0.60344;0.18182;0.72414
0.55;-0.60411;0.18229;0.72409
0.55833;-0.60479;0.18284;0.72406
0.56667;-0.60546;0.18345;0.72405
0.575;-0.60617;0.18395;0.72412
0.58333;-0.6068;0.18449;0.72416
0.59167;-0.60745;0.18505;0.72417
0.6;-0.60812;0.1856;0.72417
0.60833;-0.60877;0.18621;0.72417
0.61667;-0.6094;0.18679;0.72417
0.625;-0.61004;0.18728;0.72417
0.63333;-0.61063;0.18788;0.7242
0.64167;-0.61116;0.18844;0.72417
0.65;-0.61165;0.18902;0.72415
0.65833;-0.61211;0.18956;0.72417
0.66667;-0.6125;0.19008;0.72418
0.675;-0.61292;0.19064;0.72414
0.68333;-0.61338;0.19125;0.72411
0.69167;-0.61385;0.19181;0.7241
0.7;-0.61437;0.19237;0.72404
0.70833;-0.61496;0.19301;0.72406
0.71667;-0.6155;0.1936;0.7241
0.725;-0.61597;0.19411;0.72413
0.73333;-0.61639;0.19469;0.72415
0.74167;-0.61672;0.19518;0.72416
