t;X;Y;Z
0.0083333;-0.54409;0.27711;0.77309
0.016667;-0.54403;0.27704;0.77276
0.025;-0.54401;0.27705;0.77248
0.033333;-0.54396;0.27702;0.77231
0.041667;-0.54391;0.27701;0.77225
0.05;-0.54381;0.27697;0.77227
0.058333;-0.54364;0.27697;0.77227
0.066667;-0.54343;0.27699;0.77229
0.075;-0.54322;0.27698;0.77233
0.083333;-0.543;0.27697;0.77238
0.091667;-0.54269;0.27696;0.7724
0.1;-0.54242;0.27696;0.77234
0.10833;-0.54214;0.27695;0.77223
0.11667;-0.54182;0.27698;0.772
0.125;-0.54157;0.27705;0.77173
0.13333;-0.54144;0.27724;0.77144
0.14167;-0.54124;0.27722;0.77113
0.15;-0.5412;0.27732;0.77092
0.15833;-0.54127;0.27742;0.77074
0.16667;-0.5412;0.27762;0.77053
0.175;-0.5413;0.27766;0.77044
0.18333;-0.54129;0.27781;0.77026
0.19167;-0.54124;0.27788;0.77015
0.2;-0.54109;0.27794;0.77004
0.20833;-0.54091;0.27791;0.76989
0.21667;-0.54074;0.27791;0.76971
0.225;-0.54067;0.27787;0.76953
0.23333;-0.54054;0.27786;0.76928
0.24167;-0.5405;0.27784;0.76908
0.25;-0.54056;0.2778;0.76886
0.25833;-0.54054;0.27785;0.76866
0.26667;-0.54042;0.27804;0.7685
0.275;-0.54084;0.27789;0.76836
0.28333;-0.54093;0.27789;0.76825
0.29167;-0.54087;0.27788;0.76821
0.3;-0.54075;0.27783;0.76817
0.30833;-0.5405;0.27778;0.76806
0.31667;-0.54026;0.27765;0.76807
0.325;-0.54001;0.27751;0.76807
0.33333;-0.53972;0.27744;0.76789
0.34167;-0.53955;0.27729;0.76778
0.35;-0.53949;0.2772;0.76763
0.35833;-0.53948;0.27717;0.76752
0.36667;-0.53965;0.27719;0.76736
0.375;-0.53989;0.27713;0.76725
0.38333;-0.54008;0.27701;0.76701
0.39167;-0.54028;0.27698;0.76671
0.4;-0.54051;0.27663;0.7666
0.40833;-0.54051;0.2763;0.76639
0.41667;-0.54015;0.27576;0.76612
0.425;-0.53967;0.27512;0.76593
0.43333;-0.5392;0.27442;0.76579
0.44167;-0.53883;0.27382;0.7657
0.45;-0.53835;0.27329;0.76542
0.45833;-0.53781;0.27269;0.76501
0.46667;-0.53725;0.27214;0.76462
0.475;-0.5369;0.27146;0.76449
0.48333;-0.53653;0.27044;0.76462
0.49167;-0.53629;0.26908;0.765
0.5;-0.53607;0.26758;0.76531
0.50833;-0.53573;0.26589;0.76567
0.51667;-0.53553;0.26385;0.76637
0.525;-0.53514;0.2616;0.76715
0.53333;-0.5348;0.25914;0.7681
0.54167;-0.53444;0.25646;0.76911
0.55;-0.53378;0.25375;0.7702
0.55833;-0.53307;0.25082;0.77114
0.56667;-0.53227;0.2476;0.77221
0.575;-0.53135;0.24435;0.77334
0.58333;-0.53034;0.2408;0.77455
0.59167;-0.5294;0.23712;0.77584
0.6;-0.52831;0.23332;0.77704
0.60833;-0.52726;0.22934;0.77814
0.61667;-0.52621;0.22539;0.77924
0.625;-0.52508;0.22139;0.78022
0.63333;-0.52435;0.21724;0.78119
