t;X;Y;Z
0.0083333;-0.49708;-0.053503;0.74813
0.016667;-0.49715;-0.053478;0.74811
0.025;-0.49726;-0.053463;0.74814
0.033333;-0.49738;-0.053433;0.74811
0.041667;-0.49752;-0.053382;0.74814
0.05;-0.49773;-0.053339;0.74815
0.058333;-0.4979;-0.053314;0.74813
0.066667;-0.49808;-0.053248;0.74817
0.075;-0.49832;-0.053193;0.74818
0.083333;-0.49855;-0.053081;0.74816
0.091667;-0.49875;-0.05298;0.74818
0.1;-0.49906;-0.052933;0.74819
0.10833;-0.4994;-0.052821;0.74818
0.11667;-0.49976;-0.052763;0.74817
0.125;-0.50005;-0.052639;0.74815
0.13333;-0.50028;-0.05248;0.74808
0.14167;-0.50074;-0.052313;0.74813
0.15;-0.50125;-0.052133;0.74811
0.15833;-0.50169;-0.051941;0.74811
0.16667;-0.50232;-0.051662;0.74816
0.175;-0.50289;-0.051378;0.74818
0.18333;-0.50335;-0.051079;0.74822
0.19167;-0.50402;-0.050832;0.74815
0.2;-0.50475;-0.050565;0.74813
0.20833;-0.50543;-0.050234;0.74819
0.21667;-0.50611;-0.049853;0.74819
0.225;-0.50667;-0.0495;0.74823
0.23333;-0.5076;-0.049086;0.74825
0.24167;-0.50831;-0.048646;0.74825
0.25;-0.50915;-0.048265;0.74816
0.25833;-0.51009;-0.047863;0.74818
0.26667;-0.51098;-0.047296;0.7482
0.275;-0.51195;-0.04675;0.74822
0.28333;-0.51278;-0.046321;0.74817
0.29167;-0.51375;-0.045752;0.74812
0.3;-0.51447;-0.04519;0.74818
0.30833;-0.51526;-0.044685;0.74822
0.31667;-0.51594;-0.044109;0.7482
0.325;-0.51681;-0.043598;0.74816
0.33333;-0.51757;-0.042952;0.74815
0.34167;-0.51838;-0.042366;0.74824
0.35;-0.51907;-0.041802;0.74821
0.35833;-0.51996;-0.041171;0.74812
0.36667;-0.52099;-0.040528;0.74812
0.375;-0.52184;-0.039852;0.74808
0.38333;-0.52288;-0.039218;0.74805
0.39167;-0.52389;-0.038604;0.74815
0.4;-0.52471;-0.037812;0.74814
0.40833;-0.5256;-0.037126;0.74805
0.41667;-0.52641;-0.036435;0.74801
0.425;-0.52718;-0.035727;0.74807
0.43333;-0.52787;-0.035075;0.74805
0.44167;-0.52854;-0.034362;0.74807
0.45;-0.52916;-0.033694;0.74808
0.45833;-0.5299;-0.032913;0.74809
0.46667;-0.53061;-0.032248;0.74804
0.475;-0.53154;-0.031573;0.74795
0.48333;-0.53252;-0.030765;0.74799
0.49167;-0.53325;-0.03005;0.74815
0.5;-0.53409;-0.029233;0.748
0.50833;-0.53485;-0.028452;0.74806
0.51667;-0.53579;-0.02763;0.74808
0.525;-0.53651;-0.026927;0.748
0.53333;-0.53727;-0.026038;0.74809
0.54167;-0.53798;-0.025164;0.74805
0.55;-0.53865;-0.024364;0.74798
0.55833;-0.53947;-0.02351;0.74801
0.56667;-0.54007;-0.022729;0.74809
0.575;-0.54087;-0.021809;0.74802
0.58333;-0.54157;-0.020876;0.74804
0.59167;-0.54253;-0.019912;0.74802
0.6;-0.54326;-0.018885;0.74793
0.60833;-0.54412;-0.017879;0.748
0.61667;-0.54513;-0.016818;0.74801
0.625;-0.54599;-0.01578;0.74803
0.63333;-0.54701;-0.01467;0.74801
0.64167;-0.54808;-0.013447;0.74792
0.65;-0.54906;-0.012274;0.74801
0.65833;-0.54989;-0.011154;0.74795
0.66667;-0.55099;-0.0098481;0.74791
0.675;-0.55178;-0.0087808;0.74792
0.68333;-0.55261;-0.0075077;0.74797
0.69167;-0.55356;-0.0062234;0.7479
0.7;-0.5544;-0.0049892;0.74792
0.70833;-0.55521;-0.0037196;0.7479
0.71667;-0.5562;-0.0024005;0.74797
0.725;-0.55704;-0.0010056;0.74786
0.73333;-0.55793;0.00027735;0.74789
0.74167;-0.55901;0.0016783;0.7479
0.75;-0.56005;0.0030657;0.74789
0.75833;-0.5609;0.0044219;0.74789
0.76667;-0.56173;0.0058177;0.74792
0.775;-0.56254;0.0070537;0.74789
0.78333;-0.56322;0.0084933;0.74791
0.79167;-0.56396;0.009827;0.74786
0.8;-0.56453;0.01112;0.7479
0.80833;-0.56524;0.012412;0.74792
0.81667;-0.56584;0.013672;0.74793
0.825;-0.56644;0.01498;0.74786
0.83333;-0.56698;0.016245;0.74786
0.84167;-0.56778;0.017631;0.74785
0.85;-0.56832;0.018886;0.7478
0.85833;-0.56904;0.020188;0.74783
0.86667;-0.56945;0.021497;0.74779
0.875;-0.56997;0.02267;0.74786
0.88333;-0.57029;0.023924;0.74785
