t;X;Y;Z
0.0083333;-0.48336;0.058726;0.74588
0.016667;-0.48332;0.058771;0.74591
0.025;-0.4833;0.058783;0.7459
0.033333;-0.48327;0.05879;0.74594
0.041667;-0.48329;0.058771;0.74598
0.05;-0.48324;0.058784;0.74608
0.058333;-0.4833;0.058779;0.74614
0.066667;-0.48336;0.058754;0.74623
0.075;-0.48337;0.058748;0.74644
0.083333;-0.48338;0.058718;0.74682
0.091667;-0.48325;0.058659;0.74719
0.1;-0.48322;0.058599;0.74764
0.10833;-0.48313;0.058555;0.74804
0.11667;-0.48308;0.0585;0.7484
0.125;-0.483;0.058479;0.74872
0.13333;-0.48305;0.058471;0.74894
0.14167;-0.4832;0.058397;0.7491
0.15;-0.48339;0.058238;0.74924
0.15833;-0.48343;0.058099;0.74933
0.16667;-0.48338;0.05792;0.74935
0.175;-0.48315;0.057736;0.74929
0.18333;-0.48281;0.057463;0.74919
0.19167;-0.48246;0.05712;0.74908
0.2;-0.48201;0.056689;0.74892
0.20833;-0.48158;0.056245;0.74879
0.21667;-0.48115;0.055738;0.74862
0.225;-0.48069;0.055108;0.74836
0.23333;-0.48025;0.054521;0.74803
0.24167;-0.47976;0.053925;0.74757
0.25;-0.4793;0.053244;0.74709
0.25833;-0.47889;0.052619;0.74652
0.26667;-0.47848;0.051945;0.74601
0.275;-0.47795;0.051294;0.74538
0.28333;-0.4774;0.050682;0.74475
0.29167;-0.47694;0.049897;0.74416
0.3;-0.47654;0.049257;0.74369
0.30833;-0.47601;0.048578;0.74313
0.31667;-0.47564;0.048044;0.74266
0.325;-0.47524;0.047456;0.74227
0.33333;-0.47508;0.046863;0.74187
0.34167;-0.47495;0.046403;0.74158
0.35;-0.47482;0.045993;0.74122
0.35833;-0.47461;0.045598;0.74093
0.36667;-0.47448;0.045254;0.7407
0.375;-0.47429;0.044952;0.74038
0.38333;-0.47418;0.044678;0.7401
0.39167;-0.47408;0.044442;0.73987
0.4;-0.47405;0.044201;0.73974
0.40833;-0.47404;0.044007;0.73957
0.41667;-0.47401;0.043849;0.73943
0.425;-0.47406;0.04369;0.7393
0.43333;-0.47408;0.043522;0.73916
0.44167;-0.47404;0.043398;0.73905
0.45;-0.47402;0.043304;0.73895
0.45833;-0.47401;0.043172;0.73885
0.46667;-0.47396;0.043092;0.7387
0.475;-0.47389;0.043005;0.73854
0.48333;-0.47383;0.042933;0.73832
0.49167;-0.47383;0.04285;0.73804
0.5;-0.47375;0.042803;0.73771
0.50833;-0.47369;0.042789;0.73735
0.51667;-0.47359;0.04271;0.73703
0.525;-0.47347;0.042605;0.73666
0.53333;-0.47336;0.042512;0.73615
0.54167;-0.47332;0.042415;0.7356
0.55;-0.47343;0.04246;0.73503
0.55833;-0.47353;0.042408;0.73453
0.56667;-0.47342;0.042278;0.73462
0.575;-0.47315;0.04226;0.73467
0.58333;-0.47312;0.042315;0.73467
0.59167;-0.47301;0.042457;0.73467
0.6;-0.47281;0.042581;0.73473
0.60833;-0.4727;0.042812;0.73475
0.61667;-0.47275;0.04308;0.73479
0.625;-0.47286;0.043419;0.73476
0.63333;-0.47301;0.043735;0.73472
0.64167;-0.47315;0.044136;0.73471
0.65;-0.47333;0.044544;0.73475
0.65833;-0.47363;0.044939;0.73475
0.66667;-0.474;0.045443;0.73476
0.675;-0.47452;0.045919;0.73475
0.68333;-0.47514;0.046442;0.73474
0.69167;-0.4758;0.047179;0.7348
0.7;-0.47662;0.047825;0.73482
0.70833;-0.47754;0.048549;0.73482
0.71667;-0.47866;0.049291;0.73485
0.725;-0.47984;0.050144;0.73487
0.73333;-0.4811;0.050907;0.73488
0.74167;-0.4825;0.05181;0.73492
0.75;-0.4838;0.052615;0.73497
0.75833;-0.48529;0.053524;0.73496
0.76667;-0.48688;0.054324;0.73501
0.775;-0.48858;0.055218;0.73503
0.78333;-0.49029;0.056194;0.735
0.79167;-0.492;0.057018;0.73507
0.8;-0.49384;0.057868;0.73513
0.80833;-0.49554;0.058646;0.7352
0.81667;-0.49729;0.059411;0.73515
0.825;-0.49909;0.06002;0.73527
0.83333;-0.50087;0.060673;0.73526
0.84167;-0.50269;0.061175;0.73532
0.85;-0.50454;0.061691;0.73533
0.85833;-0.50644;0.062038;0.7354
0.86667;-0.5083;0.062317;0.73542
0.875;-0.51002;0.06253;0.73555
0.88333;-0.51155;0.06254;0.73553
0.89167;-0.51282;0.06251;0.73559
0.9;-0.51405;0.062232;0.73563
0.90833;-0.51512;0.061928;0.73567
0.91667;-0.51623;0.061513;0.7357
0.925;-0.51725;0.061008;0.73573
0.93333;-0.51825;0.060457;0.7358
0.94167;-0.51921;0.059845;0.7358
0.95;-0.5201;0.05919;0.73586
0.95833;-0.52074;0.058569;0.73583
0.96667;-0.52129;0.057983;0.73586
0.975;-0.52186;0.057401;0.73589
0.98333;-0.5223;0.056903;0.73587
0.99167;-0.5226;0.056235;0.73589
1;-0.52283;0.055654;0.73593
1.0083;-0.52296;0.055141;0.73586
1.0167;-0.52302;0.054569;0.73584
1.025;-0.52302;0.053993;0.7359
1.0333;-0.52287;0.053407;0.73586
1.0417;-0.52257;0.052903;0.73583
1.05;-0.52222;0.052342;0.73585
1.0583;-0.52183;0.051854;0.73588
1.0667;-0.52119;0.051421;0.73581
1.075;-0.52055;0.051047;0.73584
1.0833;-0.51968;0.050788;0.73574
1.0917;-0.51873;0.050574;0.73577
1.1;-0.5178;0.050414;0.7357
1.1083;-0.51686;0.050339;0.73562
1.1167;-0.51578;0.050335;0.73557
1.125;-0.51461;0.050256;0.7356
1.1333;-0.5133;0.050319;0.73554
1.1417;-0.51201;0.050398;0.73554
1.15;-0.51072;0.050429;0.73552
1.1583;-0.50948;0.05057;0.73548
1.1667;-0.50802;0.050883;0.73547
1.175;-0.50659;0.051183;0.73538
1.1833;-0.50519;0.051446;0.73528
1.1917;-0.50373;0.05178;0.73535
1.2;-0.50212;0.052234;0.73528
1.2083;-0.50056;0.052672;0.73519
1.2167;-0.49887;0.053085;0.73513
1.225;-0.49719;0.053417;0.73506
1.2333;-0.49544;0.053821;0.73504
1.2417;-0.4936;0.054129;0.735
1.25;-0.49175;0.054458;0.73492
1.2583;-0.48982;0.054695;0.73484
1.2667;-0.48795;0.054903;0.7348
1.275;-0.48602;0.055132;0.73473
1.2833;-0.48413;0.055332;0.73466
1.2917;-0.48227;0.055478;0.73456
1.3;-0.48041;0.055669;0.73446
1.3083;-0.47865;0.055941;0.73444
1.3167;-0.47704;0.056128;0.73443
1.325;-0.47568;0.05635;0.7344
1.3333;-0.47449;0.056583;0.73437
1.3417;-0.47367;0.056745;0.73439
1.35;-0.47289;0.056902;0.73439
1.3583;-0.47243;0.057009;0.73443
1.3667;-0.47212;0.057131;0.73449
1.375;-0.47205;0.057138;0.73445
1.3833;-0.47203;0.057156;0.73447
1.3917;-0.47204;0.057151;0.73447
1.4;-0.47212;0.057124;0.73448
1.4083;-0.4722;0.057097;0.73442
1.4167;-0.47231;0.057043;0.7344
1.425;-0.47251;0.056992;0.73437
1.4333;-0.47296;0.056893;0.73436
1.4417;-0.47376;0.056789;0.73437
1.45;-0.47456;0.056716;0.73437
1.4583;-0.47558;0.056682;0.73439
1.4667;-0.47672;0.05663;0.7344
1.475;-0.47796;0.056639;0.73448
1.4833;-0.47916;0.056731;0.73456
1.4917;-0.48038;0.056912;0.73458
1.5;-0.48146;0.057038;0.73456
1.5083;-0.4826;0.057242;0.73463
1.5167;-0.48362;0.057508;0.73464
1.525;-0.48481;0.0578;0.73463
1.5333;-0.48582;0.058141;0.73467
1.5417;-0.48672;0.058512;0.7347
1.55;-0.48759;0.058879;0.73474
1.5583;-0.48836;0.059304;0.7347
1.5667;-0.48893;0.059728;0.73467
1.575;-0.48949;0.060176;0.73468
1.5833;-0.49002;0.060681;0.73475
1.5917;-0.49046;0.061209;0.73474
1.6;-0.49075;0.061639;0.73473
1.6083;-0.49099;0.062221;0.7347
1.6167;-0.49115;0.062766;0.73474
1.625;-0.49134;0.063281;0.73474
1.6333;-0.49151;0.063777;0.73475
1.6417;-0.49156;0.064408;0.7347
1.65;-0.49158;0.06502;0.7347
1.6583;-0.49174;0.065554;0.73476
