t;X;Y;Z
0.0083333;-0.30201;0.54288;0.77033
0.016667;-0.30194;0.54298;0.77035
0.025;-0.30191;0.5431;0.77038
0.033333;-0.3019;0.54323;0.77037
0.041667;-0.30188;0.54343;0.77034
0.05;-0.30172;0.54329;0.76978
0.058333;-0.30126;0.54342;0.76992
0.066667;-0.3015;0.54384;0.77036
0.075;-0.30155;0.54409;0.77039
0.083333;-0.30236;0.54483;0.77111
0.091667;-0.30189;0.5443;0.76995
0.1;-0.30163;0.54448;0.76996
0.10833;-0.30145;0.54436;0.76903
0.11667;-0.30218;0.54616;0.77122
0.125;-0.30194;0.54653;0.77104
0.13333;-0.30218;0.54757;0.77144
0.14167;-0.30228;0.54877;0.77179
0.15;-0.30253;0.55011;0.77234
0.15833;-0.30236;0.55164;0.77296
0.16667;-0.30221;0.55328;0.77373
0.175;-0.30176;0.55485;0.77383
0.18333;-0.30177;0.55626;0.77403
0.19167;-0.3017;0.55876;0.77527
0.2;-0.30155;0.56098;0.77635
0.20833;-0.30149;0.56509;0.77808
0.21667;-0.30128;0.56818;0.77926
0.225;-0.30136;0.57232;0.78087
0.23333;-0.30154;0.57612;0.78191
0.24167;-0.3014;0.58035;0.78376
0.25;-0.30095;0.58376;0.78691
0.25833;-0.30027;0.58764;0.79018
0.26667;-0.29958;0.59225;0.79316
0.275;-0.2987;0.59749;0.79618
0.28333;-0.29784;0.60307;0.79943
0.29167;-0.29688;0.60884;0.80277
0.3;-0.29579;0.61475;0.80613
0.30833;-0.29458;0.62107;0.80947
0.31667;-0.29361;0.62752;0.81297
0.325;-0.29236;0.63424;0.81652
0.33333;-0.29136;0.64085;0.81944
0.34167;-0.29004;0.64743;0.82233
0.35;-0.28853;0.65464;0.82535
0.35833;-0.28739;0.66198;0.82816
0.36667;-0.2859;0.66934;0.83073
0.375;-0.28413;0.67694;0.83346
0.38333;-0.28245;0.68419;0.83571
0.39167;-0.28005;0.69188;0.83852
0.4;-0.27837;0.7003;0.84085
0.40833;-0.2758;0.70755;0.84287
0.41667;-0.27439;0.71501;0.84487
0.425;-0.2721;0.72176;0.84653
0.43333;-0.26948;0.73003;0.84813
0.44167;-0.2656;0.73824;0.85087
0.45;-0.26333;0.74528;0.85172
0.45833;-0.26126;0.7525;0.85231
0.46667;-0.26114;0.75977;0.852
0.475;-0.25891;0.76743;0.85296
0.48333;-0.2577;0.77461;0.85273
0.49167;-0.25618;0.78208;0.85255
0.5;-0.25448;0.78969;0.85246
0.50833;-0.25315;0.79703;0.85185
0.51667;-0.24983;0.80436;0.85232
0.525;-0.24797;0.81163;0.85216
0.53333;-0.24663;0.8187;0.85157
0.54167;-0.24639;0.82534;0.85031
0.55;-0.24513;0.83227;0.84945
0.55833;-0.24485;0.83857;0.84789
0.56667;-0.24445;0.84479;0.84651
0.575;-0.24481;0.85064;0.84437
0.58333;-0.2444;0.85648;0.8429
0.59167;-0.2477;0.86109;0.83938
0.6;-0.24863;0.86604;0.83734
0.60833;-0.24919;0.8705;0.83521
0.61667;-0.25083;0.87433;0.83315
0.625;-0.25184;0.87822;0.83093
0.63333;-0.25177;0.88215;0.82876
0.64167;-0.2527;0.88574;0.82647
0.65;-0.25418;0.88888;0.824
0.65833;-0.2548;0.89164;0.82192
0.66667;-0.25594;0.89446;0.81924
0.675;-0.25717;0.89638;0.81685
0.68333;-0.25779;0.89861;0.81393
0.69167;-0.25915;0.90054;0.81102
0.7;-0.26058;0.90217;0.80828
0.70833;-0.26184;0.90369;0.80556
0.71667;-0.26309;0.90472;0.80332
0.725;-0.26412;0.90566;0.80123
0.73333;-0.26565;0.90585;0.79939
0.74167;-0.26695;0.90595;0.79787
0.75;-0.2678;0.90598;0.79714
0.75833;-0.2682;0.9063;0.79682
0.76667;-0.26857;0.9064;0.79691
0.775;-0.26891;0.90667;0.79709
0.78333;-0.26907;0.90658;0.79751
0.79167;-0.26903;0.90639;0.79795
0.8;-0.26964;0.90628;0.79772
0.80833;-0.27012;0.90639;0.7974
0.81667;-0.26997;0.90672;0.79689
0.825;-0.27051;0.90644;0.79621
0.83333;-0.27015;0.90687;0.79563
0.84167;-0.26975;0.90699;0.79545
0.85;-0.26988;0.90658;0.79529
0.85833;-0.27002;0.9062;0.79536
0.86667;-0.27032;0.90592;0.79545
0.875;-0.2705;0.90541;0.79557
0.88333;-0.27062;0.90511;0.79579
0.89167;-0.27066;0.90465;0.79592
0.9;-0.27089;0.90416;0.79622
0.90833;-0.27117;0.90349;0.79623
0.91667;-0.27151;0.90272;0.79648
0.925;-0.27183;0.9019;0.79669
0.93333;-0.27205;0.90107;0.79693
0.94167;-0.27257;0.89944;0.79713
0.95;-0.27289;0.89884;0.79721
0.95833;-0.27315;0.89748;0.79736
0.96667;-0.2737;0.89589;0.79772
0.975;-0.27401;0.89417;0.79824
0.98333;-0.27442;0.89204;0.7993
0.99167;-0.27454;0.88997;0.80011
1;-0.27474;0.88766;0.8014
1.0083;-0.2749;0.88494;0.80282
1.0167;-0.27546;0.88174;0.80436
1.025;-0.27556;0.87841;0.80591
1.0333;-0.27581;0.87474;0.8076
1.0417;-0.27628;0.87107;0.80948
1.05;-0.27657;0.86691;0.8112
1.0583;-0.27689;0.86244;0.81331
1.0667;-0.27739;0.85805;0.81496
1.075;-0.27774;0.85344;0.81646
1.0833;-0.27938;0.84775;0.81788
1.0917;-0.27998;0.84306;0.81979
1.1;-0.28017;0.83739;0.821
1.1083;-0.28055;0.83203;0.82305
1.1167;-0.28102;0.82655;0.82419
1.125;-0.2814;0.8209;0.82542
1.1333;-0.2818;0.81476;0.82686
1.1417;-0.28205;0.80897;0.82806
1.15;-0.28154;0.80425;0.82932
1.1583;-0.28169;0.79846;0.83011
1.1667;-0.28208;0.7923;0.8309
1.175;-0.28195;0.78643;0.83154
1.1833;-0.2822;0.78001;0.8322
1.1917;-0.28238;0.77414;0.8325
1.2;-0.2832;0.7672;0.83246
1.2083;-0.28305;0.7615;0.83288
1.2167;-0.28305;0.75571;0.83304
1.225;-0.28355;0.74817;0.83295
1.2333;-0.28371;0.74272;0.83255
1.2417;-0.28388;0.73664;0.83226
1.25;-0.2841;0.73069;0.83196
1.2583;-0.28442;0.7248;0.83156
1.2667;-0.28452;0.71907;0.83107
1.275;-0.28457;0.71347;0.83056
1.2833;-0.28456;0.7075;0.82992
1.2917;-0.28485;0.70231;0.82947
1.3;-0.28465;0.69666;0.82877
1.3083;-0.28467;0.69088;0.82789
1.3167;-0.28485;0.68624;0.82711
1.325;-0.28472;0.6805;0.82637
