t;X;Y;Z
0.0083333;-0.66241;0.67733;0.76136
0.016667;-0.66261;0.67789;0.76154
0.025;-0.66244;0.67851;0.7613
0.033333;-0.66241;0.6791;0.76126
0.041667;-0.66238;0.67965;0.76131
0.05;-0.66235;0.68019;0.76137
0.058333;-0.66243;0.68075;0.76148
0.066667;-0.66253;0.68128;0.76169
0.075;-0.66212;0.68185;0.76146
0.083333;-0.66182;0.68241;0.7614
0.091667;-0.66163;0.68286;0.76144
0.1;-0.66135;0.68334;0.7614
0.10833;-0.6611;0.68395;0.76145
0.11667;-0.6608;0.68464;0.76148
0.125;-0.66061;0.68528;0.76148
0.13333;-0.66058;0.68597;0.76159
0.14167;-0.6606;0.68649;0.76182
0.15;-0.66028;0.68707;0.7617
0.15833;-0.65986;0.68746;0.76158
0.16667;-0.6595;0.68771;0.7615
0.175;-0.65931;0.68786;0.76152
0.18333;-0.65922;0.68793;0.76164
0.19167;-0.65885;0.68796;0.76165
0.2;-0.65838;0.6879;0.76161
0.20833;-0.65787;0.6878;0.76157
0.21667;-0.65789;0.68776;0.76201
0.225;-0.65715;0.68756;0.76165
0.23333;-0.65669;0.68735;0.7615
0.24167;-0.65622;0.68719;0.76146
0.25;-0.6559;0.6869;0.76143
0.25833;-0.65565;0.68659;0.76143
0.26667;-0.65541;0.68618;0.76146
0.275;-0.65511;0.6857;0.76144
0.28333;-0.65492;0.68524;0.76146
0.29167;-0.65472;0.68465;0.76157
0.3;-0.65455;0.68404;0.76153
0.30833;-0.65394;0.68343;0.76139
0.31667;-0.65395;0.68275;0.76156
0.325;-0.65369;0.68208;0.76152
0.33333;-0.65339;0.68129;0.76151
0.34167;-0.6531;0.68048;0.76141
0.35;-0.65281;0.67966;0.76136
0.35833;-0.6528;0.67894;0.76143
0.36667;-0.65272;0.67822;0.76145
0.375;-0.65257;0.67763;0.76142
0.38333;-0.6525;0.67708;0.7614
0.39167;-0.65248;0.67652;0.76138
0.4;-0.6526;0.67597;0.76148
0.40833;-0.65249;0.67553;0.76147
0.41667;-0.65234;0.67499;0.76133
0.425;-0.65239;0.67448;0.76141
0.43333;-0.65236;0.67413;0.76138
0.44167;-0.65231;0.67377;0.76141
0.45;-0.65228;0.67354;0.76134
0.45833;-0.65234;0.67333;0.76135
0.46667;-0.65243;0.67311;0.76141
0.475;-0.6525;0.67309;0.76133
0.48333;-0.65241;0.67313;0.76121
0.49167;-0.65253;0.67309;0.76129
0.5;-0.65257;0.67307;0.76131
0.50833;-0.65256;0.6731;0.76132
0.51667;-0.65257;0.67312;0.76132
0.525;-0.65256;0.67313;0.76131
0.53333;-0.65255;0.67308;0.76132
0.54167;-0.65254;0.6731;0.76132
0.55;-0.65257;0.67308;0.76132
0.55833;-0.65254;0.6731;0.76132
0.56667;-0.65255;0.67309;0.76132
0.575;-0.65254;0.6731;0.76132
0.58333;-0.65252;0.67311;0.76132
0.59167;-0.65253;0.67311;0.76132
0.6;-0.6525;0.67312;0.76131
0.60833;-0.65251;0.67312;0.76131
0.61667;-0.65255;0.67313;0.76129
0.625;-0.65255;0.67313;0.76131
0.63333;-0.65255;0.67317;0.7613
0.64167;-0.65253;0.67319;0.76127
0.65;-0.65255;0.67321;0.76128
0.65833;-0.65243;0.67331;0.76117
0.66667;-0.65246;0.67332;0.76117
0.675;-0.65261;0.67322;0.76128
0.68333;-0.65253;0.67332;0.76118
0.69167;-0.65251;0.67331;0.76116
0.7;-0.65264;0.67327;0.76123
0.70833;-0.65259;0.67333;0.7612
0.71667;-0.6527;0.67327;0.76123
0.725;-0.65272;0.67328;0.76123
0.73333;-0.65274;0.67328;0.76124
0.74167;-0.65268;0.67331;0.76109
0.75;-0.65275;0.67317;0.76102
0.75833;-0.65306;0.67296;0.76106
0.76667;-0.65328;0.67276;0.76102
0.775;-0.6536;0.67257;0.76118
0.78333;-0.65386;0.67237;0.76148
0.79167;-0.6541;0.6722;0.76167
0.8;-0.65438;0.67217;0.76192
0.80833;-0.6546;0.67201;0.76194
0.81667;-0.65484;0.67155;0.7619
0.825;-0.65494;0.67139;0.76181
0.83333;-0.65497;0.67124;0.76166
0.84167;-0.65505;0.67107;0.76158
0.85;-0.65462;0.67104;0.76094
0.85833;-0.65473;0.67098;0.7608
0.86667;-0.65479;0.67093;0.76066
0.875;-0.65488;0.67083;0.76069
0.88333;-0.65491;0.67078;0.76071
0.89167;-0.65498;0.67074;0.76071
0.9;-0.65503;0.6707;0.76073
0.90833;-0.65503;0.67067;0.76072
0.91667;-0.65502;0.67066;0.76071
0.925;-0.65502;0.67068;0.76071
0.93333;-0.65498;0.67065;0.76071
0.94167;-0.65498;0.67064;0.76075
0.95;-0.65496;0.67062;0.76074
0.95833;-0.65495;0.67062;0.76074
0.96667;-0.65496;0.67062;0.76077
0.975;-0.65494;0.67062;0.76077
0.98333;-0.65493;0.67059;0.76077
0.99167;-0.65495;0.67057;0.76081
1;-0.65488;0.67057;0.76079
1.0083;-0.65487;0.67057;0.76079
1.0167;-0.65488;0.67056;0.76079
1.025;-0.65487;0.67057;0.76076
1.0333;-0.65491;0.67053;0.76079
1.0417;-0.65492;0.67053;0.76079
1.05;-0.65514;0.67034;0.76094
1.0583;-0.6553;0.67032;0.76103
1.0667;-0.65535;0.67032;0.76101
1.075;-0.65538;0.67028;0.76098
1.0833;-0.6554;0.67029;0.761
1.0917;-0.65544;0.67032;0.761
1.1;-0.65553;0.67031;0.76102
1.1083;-0.65563;0.67033;0.761
1.1167;-0.65565;0.67036;0.76098
1.125;-0.65579;0.67031;0.76104
1.1333;-0.65575;0.67033;0.76101
1.1417;-0.65571;0.67034;0.76095
1.15;-0.65574;0.67033;0.76093
1.1583;-0.65575;0.67036;0.76091
1.1667;-0.65575;0.67033;0.76088
1.175;-0.65583;0.6703;0.76093
1.1833;-0.65585;0.6703;0.76095
1.1917;-0.65598;0.67028;0.76107
1.2;-0.65589;0.67031;0.76098
1.2083;-0.65587;0.6703;0.76097
1.2167;-0.65592;0.6703;0.76102
1.225;-0.65581;0.67029;0.76098
1.2333;-0.65581;0.67027;0.76098
1.2417;-0.65579;0.67029;0.76095
1.25;-0.65579;0.67027;0.76097
1.2583;-0.65576;0.67025;0.76096
1.2667;-0.65572;0.67026;0.76095
1.275;-0.65572;0.67023;0.76096
1.2833;-0.65572;0.67021;0.76095
1.2917;-0.65573;0.67022;0.76098
1.3;-0.65572;0.67021;0.76098
1.3083;-0.6557;0.6702;0.76095
1.3167;-0.65573;0.67018;0.76101
1.325;-0.65574;0.67016;0.76101
1.3333;-0.65571;0.67016;0.76098
1.3417;-0.65571;0.67016;0.761
1.35;-0.65569;0.67017;0.76099
1.3583;-0.65567;0.67017;0.76099
1.3667;-0.65563;0.67018;0.76096
1.375;-0.65561;0.6702;0.76096
1.3833;-0.65562;0.67016;0.76096
1.3917;-0.65563;0.67018;0.76097
1.4;-0.65561;0.67018;0.76096
1.4083;-0.6556;0.67018;0.76093
1.4167;-0.65558;0.67018;0.76096
1.425;-0.65566;0.67016;0.76098
1.4333;-0.65565;0.67019;0.76096
1.4417;-0.65566;0.67019;0.76097
1.45;-0.65564;0.67019;0.76097
1.4583;-0.6557;0.67018;0.761
1.4667;-0.6557;0.67017;0.761
