t;X;Y;Z
0.0083333;-0.55473;0.56383;0.73977
0.016667;-0.5548;0.56383;0.73979
0.025;-0.55482;0.56387;0.73974
0.033333;-0.55482;0.5639;0.73973
0.041667;-0.55488;0.5639;0.73972
0.05;-0.55491;0.56392;0.73971
0.058333;-0.55495;0.56392;0.7397
0.066667;-0.55495;0.56392;0.7397
0.075;-0.55501;0.5639;0.73975
0.083333;-0.555;0.56394;0.7397
0.091667;-0.55503;0.56397;0.73968
0.1;-0.55503;0.56397;0.73968
0.10833;-0.55504;0.56391;0.73973
0.11667;-0.55503;0.56392;0.73973
0.125;-0.55496;0.56392;0.73976
0.13333;-0.55482;0.56415;0.73976
0.14167;-0.55469;0.56457;0.73977
0.15;-0.55445;0.56512;0.73984
0.15833;-0.55423;0.56578;0.73981
0.16667;-0.55395;0.56634;0.73981
0.175;-0.55349;0.56704;0.73975
0.18333;-0.55299;0.56779;0.73966
0.19167;-0.55237;0.56857;0.73957
0.2;-0.55172;0.56924;0.73947
0.20833;-0.55106;0.56995;0.73941
0.21667;-0.55032;0.57075;0.73938
0.225;-0.54958;0.57138;0.7393
0.23333;-0.54869;0.57208;0.73931
0.24167;-0.54772;0.57278;0.73925
0.25;-0.54667;0.57352;0.73912
0.25833;-0.54576;0.57416;0.73908
0.26667;-0.54485;0.57478;0.73899
0.275;-0.54408;0.57534;0.73891
0.28333;-0.54333;0.57592;0.7388
0.29167;-0.54259;0.57655;0.73874
0.3;-0.54192;0.57708;0.73868
0.30833;-0.5412;0.57765;0.7386
0.31667;-0.54066;0.57804;0.73856
0.325;-0.53987;0.57853;0.73846
0.33333;-0.53909;0.57895;0.73833
0.34167;-0.53833;0.57928;0.73829
0.35;-0.53743;0.57964;0.73817
0.35833;-0.53668;0.58001;0.73797
0.36667;-0.53584;0.58004;0.73818
0.375;-0.53519;0.58009;0.7381
0.38333;-0.53424;0.58053;0.73781
0.39167;-0.53357;0.58039;0.73773
0.4;-0.53285;0.58034;0.73761
0.40833;-0.53213;0.58024;0.7376
0.41667;-0.53138;0.58008;0.73752
0.425;-0.53071;0.57981;0.7375
0.43333;-0.52955;0.5796;0.73746
0.44167;-0.52878;0.57917;0.73732
0.45;-0.52792;0.57845;0.73724
0.45833;-0.527;0.57792;0.73712
0.46667;-0.52612;0.57716;0.73703
0.475;-0.5253;0.5762;0.73703
0.48333;-0.52447;0.57554;0.73699
0.49167;-0.5244;0.57416;0.73715
0.5;-0.52396;0.57332;0.737
0.50833;-0.52371;0.57225;0.73696
0.51667;-0.52354;0.57118;0.73699
0.525;-0.5233;0.57001;0.73699
0.53333;-0.52311;0.56878;0.73702
0.54167;-0.52306;0.56743;0.73711
0.55;-0.52273;0.56611;0.73716
0.55833;-0.52262;0.56473;0.73723
0.56667;-0.52253;0.56349;0.73734
0.575;-0.5229;0.56191;0.73755
0.58333;-0.52338;0.56029;0.73783
0.59167;-0.52347;0.55937;0.73777
0.6;-0.52392;0.55815;0.73781
0.60833;-0.52436;0.5569;0.73806
0.61667;-0.525;0.55536;0.73832
0.625;-0.52517;0.55442;0.73823
0.63333;-0.52566;0.55306;0.73855
0.64167;-0.52595;0.55234;0.73857
0.65;-0.5266;0.55116;0.73885
0.65833;-0.52701;0.55053;0.7389
0.66667;-0.52772;0.54943;0.73916
0.675;-0.52815;0.54885;0.73908
0.68333;-0.5286;0.54818;0.7392
