t;X;Y;Z
0.0083333;-0.80852;0.24523;0.72743
0.016667;-0.80844;0.24524;0.72747
0.025;-0.80833;0.24529;0.72746
0.033333;-0.80831;0.24533;0.72747
0.041667;-0.80824;0.24537;0.72745
0.05;-0.80786;0.24569;0.7273
0.058333;-0.80798;0.24552;0.72737
0.066667;-0.80792;0.24552;0.72738
0.075;-0.80778;0.24561;0.72737
0.083333;-0.80762;0.24572;0.72736
0.091667;-0.8073;0.24581;0.72744
0.1;-0.80697;0.2459;0.72747
0.10833;-0.80676;0.24591;0.72748
0.11667;-0.80657;0.24593;0.72749
0.125;-0.80635;0.24591;0.72751
0.13333;-0.80598;0.24582;0.72741
0.14167;-0.80572;0.24558;0.72746
0.15;-0.80542;0.24552;0.72749
0.15833;-0.80483;0.24579;0.72751
0.16667;-0.80459;0.24574;0.72751
0.175;-0.80448;0.24556;0.72749
0.18333;-0.80414;0.24533;0.72762
0.19167;-0.80381;0.24521;0.72764
0.2;-0.80353;0.24508;0.72764
0.20833;-0.80326;0.24504;0.72766
0.21667;-0.80316;0.24495;0.72762
0.225;-0.80306;0.24493;0.72768
0.23333;-0.80308;0.24489;0.72765
0.24167;-0.80309;0.24487;0.72763
0.25;-0.80313;0.24493;0.72768
0.25833;-0.8032;0.24496;0.72769
0.26667;-0.80337;0.24502;0.72772
0.275;-0.80347;0.24504;0.7278
0.28333;-0.80354;0.24497;0.72799
0.29167;-0.80357;0.24493;0.72818
0.3;-0.80365;0.24487;0.7283
0.30833;-0.80375;0.24488;0.72837
0.31667;-0.80393;0.24487;0.72839
0.325;-0.80421;0.24487;0.72834
0.33333;-0.80476;0.24478;0.72836
0.34167;-0.80501;0.2448;0.7283
0.35;-0.80554;0.24479;0.72814
0.35833;-0.80606;0.2447;0.72808
0.36667;-0.80651;0.24446;0.72803
0.375;-0.80695;0.24427;0.72803
0.38333;-0.8074;0.24412;0.72795
0.39167;-0.80801;0.24389;0.72792
0.4;-0.80826;0.2437;0.72768
0.40833;-0.8087;0.24338;0.72747
0.41667;-0.80873;0.24334;0.727
0.425;-0.80934;0.24294;0.72642
0.43333;-0.80974;0.24276;0.72602
0.44167;-0.80991;0.24264;0.72591
0.45;-0.81024;0.24239;0.72601
0.45833;-0.81034;0.2423;0.72603
0.46667;-0.81035;0.24222;0.72601
0.475;-0.81031;0.24207;0.72601
0.48333;-0.81009;0.2419;0.72604
0.49167;-0.80983;0.24184;0.72604
0.5;-0.80958;0.24184;0.72601
0.50833;-0.80942;0.24173;0.72604
0.51667;-0.80915;0.24153;0.72612
0.525;-0.80851;0.24151;0.72624
0.53333;-0.80758;0.24185;0.72619
0.54167;-0.80709;0.24175;0.72627
0.55;-0.8062;0.24199;0.7262
0.55833;-0.80519;0.24232;0.72617
0.56667;-0.80436;0.24267;0.72611
0.575;-0.80266;0.24324;0.72615
0.58333;-0.80192;0.24345;0.72645
0.59167;-0.80069;0.24408;0.72641
0.6;-0.7995;0.24464;0.72625
0.60833;-0.79773;0.2453;0.72629
0.61667;-0.79618;0.24583;0.72615
0.625;-0.79453;0.24646;0.72603
0.63333;-0.79252;0.24716;0.7261
0.64167;-0.79076;0.24773;0.726
0.65;-0.78861;0.24846;0.72601
0.65833;-0.78665;0.24915;0.72582
0.66667;-0.78473;0.24974;0.72561
0.675;-0.78282;0.25065;0.72584
0.68333;-0.78072;0.25147;0.72565
0.69167;-0.77874;0.2525;0.72526
0.7;-0.77692;0.25289;0.72553
0.70833;-0.77513;0.25374;0.72549
0.71667;-0.77339;0.25416;0.72544
0.725;-0.77177;0.25484;0.72547
0.73333;-0.77008;0.2553;0.72542
0.74167;-0.7686;0.25582;0.72533
0.75;-0.76751;0.25613;0.72539
0.75833;-0.76649;0.25652;0.72534
0.76667;-0.76566;0.25682;0.72541
0.775;-0.76474;0.25722;0.72531
0.78333;-0.76419;0.25747;0.72537
0.79167;-0.76398;0.25737;0.72541
0.8;-0.76395;0.25743;0.72559
0.80833;-0.76389;0.25737;0.72538
0.81667;-0.76397;0.2575;0.72552
0.825;-0.76418;0.25763;0.72523
0.83333;-0.76459;0.25754;0.72521
0.84167;-0.76502;0.25745;0.72504
0.85;-0.76573;0.25747;0.72513
0.85833;-0.76655;0.25733;0.72506
0.86667;-0.76783;0.25707;0.72507
0.875;-0.76856;0.25724;0.72498
0.88333;-0.76949;0.25726;0.72507
0.89167;-0.77044;0.2573;0.72506
0.9;-0.77137;0.2573;0.72496
0.90833;-0.77217;0.2575;0.72504
0.91667;-0.77295;0.25775;0.72506
0.925;-0.77354;0.25796;0.72497
0.93333;-0.7743;0.25839;0.72496
0.94167;-0.77468;0.25884;0.72491
0.95;-0.77508;0.25938;0.72497
0.95833;-0.77534;0.25988;0.72494
0.96667;-0.77555;0.26046;0.72498
0.975;-0.77575;0.26123;0.72511
0.98333;-0.77583;0.26192;0.72504
0.99167;-0.77593;0.26276;0.72516
1;-0.77539;0.26393;0.7251
1.0083;-0.77561;0.26455;0.7252
1.0167;-0.77534;0.26548;0.72547
1.025;-0.77496;0.26642;0.72513
1.0333;-0.77447;0.26739;0.72521
1.0417;-0.77403;0.26836;0.72519
1.05;-0.77347;0.26921;0.72513
1.0583;-0.77306;0.2701;0.72519
1.0667;-0.77234;0.27108;0.72516
1.075;-0.77181;0.27185;0.72515
1.0833;-0.77112;0.27275;0.72502
1.0917;-0.77069;0.27337;0.72514
1.1;-0.76976;0.27388;0.72502
1.1083;-0.76902;0.27444;0.72498
1.1167;-0.76824;0.27488;0.72502
1.125;-0.7674;0.27521;0.72483
1.1333;-0.76686;0.27527;0.72494
1.1417;-0.76583;0.27578;0.72502
1.15;-0.7652;0.27599;0.72496
1.1583;-0.76443;0.27613;0.72497
1.1667;-0.76387;0.27622;0.72481
1.175;-0.7635;0.27625;0.72488
1.1833;-0.76295;0.2762;0.725
1.1917;-0.76238;0.27615;0.72492
1.2;-0.76213;0.27606;0.72492
1.2083;-0.76213;0.27577;0.7251
1.2167;-0.76205;0.27545;0.72513
1.225;-0.76119;0.27534;0.72465
1.2333;-0.76103;0.27465;0.72508
1.2417;-0.76082;0.274;0.72501
1.25;-0.76084;0.27314;0.72537
1.2583;-0.76038;0.2726;0.72516
1.2667;-0.75975;0.2719;0.72505
1.275;-0.7594;0.27097;0.72508
1.2833;-0.75916;0.27015;0.72494
1.2917;-0.75923;0.26908;0.72518
1.3;-0.75905;0.26817;0.72523
1.3083;-0.7587;0.26746;0.72495
1.3167;-0.75878;0.26622;0.7251
1.325;-0.75867;0.26528;0.72514
1.3333;-0.75872;0.26447;0.72529
1.3417;-0.75873;0.26338;0.72521
1.35;-0.75881;0.26266;0.7253
1.3583;-0.75864;0.26162;0.72529
1.3667;-0.75855;0.26102;0.72521
1.375;-0.75876;0.26018;0.72557
1.3833;-0.75897;0.25984;0.72532
1.3917;-0.75934;0.25936;0.72531
1.4;-0.7596;0.25912;0.72522
1.4083;-0.76017;0.25879;0.72539
1.4167;-0.76073;0.25857;0.72545
1.425;-0.76113;0.25848;0.72536
1.4333;-0.76135;0.25827;0.72534
1.4417;-0.76151;0.25813;0.72532
1.45;-0.76158;0.25804;0.72531
1.4583;-0.76161;0.25798;0.7253
1.4667;-0.76164;0.25793;0.7253
1.475;-0.76165;0.25789;0.72535
1.4833;-0.76166;0.25792;0.72534
1.4917;-0.76163;0.2579;0.72536
1.5;-0.7616;0.25791;0.72538
1.5083;-0.76157;0.25794;0.72542
1.5167;-0.76148;0.25804;0.72542
1.525;-0.76136;0.25819;0.72543
1.5333;-0.76117;0.25837;0.72547
1.5417;-0.76073;0.25861;0.72546
1.55;-0.76028;0.25893;0.7254
1.5583;-0.75964;0.25953;0.72507
1.5667;-0.75958;0.25972;0.72538
1.575;-0.75934;0.26033;0.72541
1.5833;-0.75907;0.26089;0.72535
1.5917;-0.75858;0.26152;0.7253
1.6;-0.75821;0.26232;0.72539
1.6083;-0.75804;0.26323;0.72516
1.6167;-0.75781;0.26414;0.72516
1.625;-0.75781;0.26514;0.72514
1.6333;-0.7578;0.26605;0.72511
1.6417;-0.75799;0.26693;0.7253
1.65;-0.75788;0.26796;0.72518
1.6583;-0.75808;0.26897;0.72541
1.6667;-0.758;0.26994;0.7252
1.675;-0.75814;0.271;0.72532
1.6833;-0.75842;0.27194;0.7253
1.6917;-0.75885;0.27295;0.72529
1.7;-0.75917;0.27379;0.72527
1.7083;-0.75963;0.27461;0.72526
1.7167;-0.76034;0.27541;0.72517
1.725;-0.76075;0.27621;0.72515
1.7333;-0.76146;0.27684;0.72512
1.7417;-0.76199;0.27765;0.72515
1.75;-0.76252;0.27809;0.72505
1.7583;-0.76328;0.27869;0.72494
1.7667;-0.7638;0.27928;0.725
1.775;-0.76464;0.27971;0.72502
1.7833;-0.76529;0.28009;0.72497
1.7917;-0.76618;0.28045;0.72503
1.8;-0.76691;0.28078;0.72511
1.8083;-0.76783;0.281;0.72509
1.8167;-0.76846;0.28121;0.72521
1.825;-0.76961;0.28134;0.72514
1.8333;-0.77032;0.2815;0.72522
1.8417;-0.77114;0.28166;0.7252
1.85;-0.7718;0.28161;0.72521
1.8583;-0.77266;0.28158;0.72523
1.8667;-0.77327;0.28166;0.72513
1.875;-0.77401;0.28164;0.72522
1.8833;-0.77468;0.28173;0.72522
1.8917;-0.77515;0.28184;0.7252
1.9;-0.77586;0.28169;0.72514
1.9083;-0.77631;0.28155;0.72518
1.9167;-0.7765;0.28147;0.72516
1.925;-0.7767;0.2813;0.72515
1.9333;-0.77688;0.28104;0.72513
1.9417;-0.77725;0.28079;0.72524
1.95;-0.77716;0.28059;0.72516
1.9583;-0.7774;0.28052;0.72526
1.9667;-0.77731;0.28046;0.7254
1.975;-0.77772;0.28017;0.72529
1.9833;-0.77791;0.28008;0.72528
1.9917;-0.77804;0.27998;0.72534
2;-0.77809;0.27991;0.72535
2.0083;-0.77809;0.27984;0.72525
2.0167;-0.77816;0.27978;0.72525
2.025;-0.77817;0.27969;0.72529
2.0333;-0.77823;0.27956;0.72515
2.0417;-0.77821;0.27925;0.72516
2.05;-0.77813;0.27911;0.72518
2.0583;-0.77819;0.27872;0.72544
2.0667;-0.77812;0.27863;0.72548
2.075;-0.7781;0.27847;0.72561
2.0833;-0.77793;0.27829;0.72569
2.0917;-0.77792;0.27789;0.72594
2.1;-0.77774;0.27773;0.72591
2.1083;-0.77748;0.27739;0.72588
2.1167;-0.77685;0.27734;0.7256
2.125;-0.77584;0.27731;0.72543
2.1333;-0.77484;0.27713;0.72526
2.1417;-0.77415;0.2769;0.72571
2.15;-0.77299;0.27692;0.72553
2.1583;-0.7718;0.27718;0.72559
2.1667;-0.77079;0.2773;0.72558
2.175;-0.76962;0.27757;0.72557
2.1833;-0.76865;0.27799;0.7255
2.1917;-0.76772;0.2784;0.72559
2.2;-0.76686;0.27897;0.72546
2.2083;-0.76586;0.27957;0.72544
2.2167;-0.76515;0.28033;0.72524
2.225;-0.76453;0.28095;0.72512
2.2333;-0.76386;0.28181;0.72536
2.2417;-0.76305;0.28314;0.72526
2.25;-0.76313;0.28369;0.72521
2.2583;-0.76307;0.28441;0.72541
2.2667;-0.7627;0.28554;0.72518
2.275;-0.76267;0.28642;0.72525
