t;X;Y;Z
0.0083333;-0.71916;0.2336;0.76699
0.016667;-0.71938;0.2336;0.76705
0.025;-0.71954;0.23358;0.76704
0.033333;-0.71969;0.23352;0.76703
0.041667;-0.72002;0.23355;0.76702
0.05;-0.72043;0.23367;0.76704
0.058333;-0.72092;0.23376;0.76713
0.066667;-0.72142;0.23389;0.76743
0.075;-0.72139;0.23378;0.76709
0.083333;-0.7218;0.23373;0.76721
0.091667;-0.72243;0.234;0.76714
0.1;-0.72277;0.23414;0.76715
0.10833;-0.72295;0.23426;0.76713
0.11667;-0.72341;0.23438;0.76718
0.125;-0.72389;0.23458;0.76717
0.13333;-0.72436;0.23486;0.7671
0.14167;-0.72464;0.23498;0.76706
0.15;-0.72497;0.23525;0.76695
0.15833;-0.72553;0.23556;0.76702
0.16667;-0.72602;0.23587;0.76716
0.175;-0.72634;0.23621;0.76717
0.18333;-0.72701;0.23659;0.76717
0.19167;-0.72753;0.23685;0.76703
0.2;-0.72814;0.23726;0.76695
0.20833;-0.72867;0.23778;0.76698
0.21667;-0.72919;0.23831;0.7671
0.225;-0.72962;0.23866;0.76722
0.23333;-0.73038;0.23926;0.76714
0.24167;-0.73097;0.23955;0.76713
0.25;-0.73157;0.23988;0.76704
0.25833;-0.73219;0.24062;0.76709
0.26667;-0.73262;0.24109;0.76714
0.275;-0.73339;0.24143;0.76719
0.28333;-0.73394;0.24202;0.76703
0.29167;-0.73454;0.24235;0.76701
0.3;-0.73523;0.24271;0.76692
0.30833;-0.73569;0.24349;0.7671
0.31667;-0.7365;0.24403;0.76717
0.325;-0.73693;0.24442;0.76711
0.33333;-0.73733;0.24492;0.76706
0.34167;-0.73799;0.24533;0.76705
0.35;-0.73835;0.24592;0.76701
0.35833;-0.73859;0.24637;0.76704
0.36667;-0.73912;0.24695;0.76712
0.375;-0.73966;0.24734;0.76711
0.38333;-0.73996;0.24772;0.76691
0.39167;-0.74036;0.24842;0.76698
0.4;-0.74112;0.24896;0.76706
0.40833;-0.74156;0.24933;0.76711
0.41667;-0.7421;0.25001;0.76717
0.425;-0.74262;0.2506;0.76712
0.43333;-0.74306;0.25102;0.76702
0.44167;-0.74366;0.25169;0.76704
0.45;-0.74438;0.25213;0.76694
0.45833;-0.74474;0.25273;0.76693
0.46667;-0.74539;0.25349;0.76719
0.475;-0.74585;0.254;0.76714
0.48333;-0.74631;0.25455;0.76713
0.49167;-0.74693;0.25525;0.76709
0.5;-0.74731;0.25575;0.76701
0.50833;-0.74763;0.2562;0.76696
0.51667;-0.74796;0.25678;0.76702
0.525;-0.74839;0.25738;0.76708
0.53333;-0.74866;0.25794;0.76712
0.54167;-0.74897;0.25857;0.7671
0.55;-0.74925;0.25912;0.76704
0.55833;-0.74972;0.25984;0.76708
0.56667;-0.75008;0.2605;0.76709
0.575;-0.75028;0.26115;0.76704
0.58333;-0.75047;0.26188;0.76701
0.59167;-0.7508;0.26242;0.76702
0.6;-0.75099;0.26315;0.767
0.60833;-0.75115;0.26392;0.76699
