t;X;Y;Z
0.0083333;-0.71903;0.25673;0.72369
0.016667;-0.719;0.2567;0.72367
0.025;-0.71896;0.25668;0.72368
0.033333;-0.71883;0.25662;0.72359
0.041667;-0.71885;0.25659;0.72351
0.05;-0.71875;0.25655;0.72346
0.058333;-0.71888;0.25655;0.72345
0.066667;-0.7187;0.25647;0.72329
0.075;-0.7186;0.2564;0.7232
0.083333;-0.71842;0.25635;0.723
0.091667;-0.71839;0.25625;0.72295
0.1;-0.71849;0.25608;0.72296
0.10833;-0.71842;0.25598;0.72284
0.11667;-0.71839;0.25583;0.72267
0.125;-0.71844;0.2557;0.7227
0.13333;-0.71838;0.25564;0.72269
0.14167;-0.71833;0.25559;0.72273
0.15;-0.71836;0.25555;0.72271
0.15833;-0.71834;0.25554;0.7227
0.16667;-0.71838;0.25551;0.72269
0.175;-0.71837;0.25551;0.72272
0.18333;-0.71842;0.25551;0.7227
0.19167;-0.71843;0.25552;0.72269
0.2;-0.71843;0.25553;0.72268
0.20833;-0.71841;0.25556;0.72267
0.21667;-0.71842;0.25555;0.72267
0.225;-0.71844;0.25558;0.72266
0.23333;-0.71844;0.25558;0.72263
0.24167;-0.71865;0.25549;0.72263
0.25;-0.71874;0.25561;0.72253
0.25833;-0.7189;0.25567;0.72252
0.26667;-0.71909;0.25575;0.72255
0.275;-0.71917;0.25584;0.72268
0.28333;-0.71939;0.25611;0.72263
0.29167;-0.71986;0.25621;0.7227
0.3;-0.71962;0.25633;0.72256
0.30833;-0.71971;0.25639;0.72253
0.31667;-0.71996;0.25647;0.72253
0.325;-0.72041;0.25659;0.72265
0.33333;-0.72061;0.25665;0.72255
0.34167;-0.721;0.25669;0.72251
0.35;-0.7213;0.25679;0.72251
0.35833;-0.72159;0.25706;0.7224
0.36667;-0.72191;0.25732;0.72247
0.375;-0.72226;0.25755;0.72261
0.38333;-0.72284;0.25774;0.72275
0.39167;-0.7234;0.25795;0.72275
0.4;-0.72376;0.25821;0.72268
