t;X;Y;Z
0.0083333;-0.86401;0.21503;0.732
0.016667;-0.86426;0.21523;0.7319
0.025;-0.86467;0.21531;0.73192
0.033333;-0.86498;0.2154;0.73183
0.041667;-0.86526;0.21555;0.73177
0.05;-0.86552;0.21571;0.73168
0.058333;-0.86583;0.21586;0.73165
0.066667;-0.86612;0.21597;0.73164
0.075;-0.86649;0.21599;0.73173
0.083333;-0.86677;0.21599;0.73183
0.091667;-0.86695;0.21599;0.73205
0.1;-0.86704;0.21595;0.73225
0.10833;-0.86703;0.21589;0.73249
0.11667;-0.86696;0.21583;0.73258
0.125;-0.86686;0.21575;0.73261
0.13333;-0.86654;0.21566;0.73249
0.14167;-0.86617;0.21557;0.73233
0.15;-0.866;0.21538;0.73245
0.15833;-0.86581;0.21521;0.7325
0.16667;-0.8658;0.21472;0.73294
0.175;-0.86566;0.21467;0.73291
0.18333;-0.86545;0.21462;0.73284
0.19167;-0.86521;0.21452;0.73282
0.2;-0.86518;0.21403;0.73305
0.20833;-0.86485;0.21385;0.73287
0.21667;-0.86449;0.21366;0.73263
0.225;-0.86423;0.21352;0.73235
0.23333;-0.86394;0.21341;0.73202
0.24167;-0.86378;0.21325;0.73181
0.25;-0.86379;0.21313;0.73166
0.25833;-0.86384;0.21302;0.7315
0.26667;-0.86393;0.213;0.73133
0.275;-0.86413;0.21293;0.73125
0.28333;-0.86437;0.21316;0.73125
0.29167;-0.86476;0.21297;0.73108
0.3;-0.86517;0.21296;0.7311
0.30833;-0.86537;0.21296;0.73108
0.31667;-0.8655;0.21291;0.73107
0.325;-0.86561;0.21292;0.73104
0.33333;-0.86569;0.21281;0.73108
0.34167;-0.86576;0.21282;0.73097
0.35;-0.86587;0.21283;0.73086
0.35833;-0.86592;0.21282;0.73068
0.36667;-0.86602;0.21286;0.73027
0.375;-0.86612;0.21297;0.7302
0.38333;-0.86614;0.21282;0.72991
0.39167;-0.86622;0.21277;0.72983
0.4;-0.86634;0.21283;0.72964
0.40833;-0.86648;0.21265;0.72967
0.41667;-0.86651;0.21277;0.72953
0.425;-0.8666;0.21277;0.7295
0.43333;-0.86666;0.21274;0.72947
0.44167;-0.86668;0.21271;0.72942
0.45;-0.86675;0.21274;0.72944
