t;X;Y;Z
0.0083333;-0.96944;0.69957;0.71598
0.016667;-0.9694;0.69956;0.71602
0.025;-0.9694;0.69956;0.716
0.033333;-0.96941;0.69953;0.71601
0.041667;-0.96942;0.69955;0.71608
0.05;-0.96936;0.69955;0.71606
0.058333;-0.96934;0.69955;0.71608
0.066667;-0.96932;0.69951;0.71608
0.075;-0.96924;0.69952;0.71606
0.083333;-0.96923;0.6995;0.71607
0.091667;-0.96918;0.6995;0.71609
0.1;-0.96914;0.69949;0.71606
0.10833;-0.96917;0.69951;0.7161
0.11667;-0.96916;0.69949;0.71609
0.125;-0.96917;0.6995;0.71611
0.13333;-0.96912;0.69948;0.7161
0.14167;-0.96914;0.69949;0.71612
0.15;-0.96912;0.69949;0.71615
0.15833;-0.96915;0.69946;0.71618
0.16667;-0.96913;0.69947;0.71619
0.175;-0.96917;0.69947;0.71618
0.18333;-0.96916;0.69946;0.71619
0.19167;-0.96921;0.69944;0.71623
0.2;-0.96911;0.69943;0.71624
0.20833;-0.96903;0.6994;0.71619
0.21667;-0.96907;0.69937;0.71622
0.225;-0.96906;0.69935;0.71626
0.23333;-0.96903;0.69936;0.71626
0.24167;-0.96913;0.69932;0.71628
0.25;-0.96906;0.69936;0.71624
0.25833;-0.96915;0.69933;0.71628
0.26667;-0.9692;0.69935;0.71631
0.275;-0.96911;0.69937;0.7163
0.28333;-0.96918;0.69934;0.7163
0.29167;-0.96906;0.69933;0.71631
0.3;-0.96903;0.69932;0.71631
0.30833;-0.96916;0.69928;0.71637
0.31667;-0.96904;0.6993;0.71636
0.325;-0.96902;0.69929;0.71634
0.33333;-0.96899;0.69929;0.71633
0.34167;-0.96897;0.69925;0.71634
0.35;-0.96897;0.69921;0.71633
0.35833;-0.96894;0.69923;0.71633
0.36667;-0.96896;0.69924;0.71633
0.375;-0.96901;0.69919;0.71637
0.38333;-0.96899;0.69922;0.71634
0.39167;-0.96898;0.69918;0.71634
0.4;-0.96896;0.69921;0.71634
0.40833;-0.96896;0.69918;0.71637
0.41667;-0.96895;0.69917;0.71635
0.425;-0.96897;0.69916;0.71642
0.43333;-0.96894;0.69915;0.71644
0.44167;-0.96891;0.6991;0.71646
0.45;-0.9689;0.69905;0.71644
0.45833;-0.96887;0.69904;0.71645
0.46667;-0.96873;0.69902;0.71635
0.475;-0.96882;0.69899;0.71648
0.48333;-0.96882;0.69896;0.71649
0.49167;-0.96869;0.69894;0.71638
0.5;-0.96868;0.69894;0.71636
0.50833;-0.96866;0.69893;0.7164
0.51667;-0.96879;0.69896;0.71654
0.525;-0.96866;0.69894;0.71643
0.53333;-0.96866;0.69894;0.71641
0.54167;-0.96867;0.69891;0.71642
0.55;-0.96864;0.69893;0.71646
0.55833;-0.96868;0.6989;0.71647
0.56667;-0.96868;0.6989;0.71647
0.575;-0.96865;0.69888;0.71645
0.58333;-0.96864;0.69888;0.71648
0.59167;-0.96863;0.69887;0.71642
0.6;-0.96879;0.69885;0.71662
0.60833;-0.96881;0.69888;0.71658
0.61667;-0.96881;0.69885;0.7166
0.625;-0.96882;0.69882;0.71659
0.63333;-0.9687;0.69878;0.71647
0.64167;-0.96876;0.69877;0.71644
0.65;-0.96878;0.69878;0.71645
0.65833;-0.96894;0.69881;0.71658
0.66667;-0.96898;0.6988;0.71659
0.675;-0.96902;0.69872;0.71657
0.68333;-0.96909;0.69859;0.71659
0.69167;-0.96925;0.6984;0.71671
0.7;-0.96945;0.69812;0.71671
0.70833;-0.96974;0.6979;0.71673
0.71667;-0.96987;0.69769;0.71672
0.725;-0.97006;0.69742;0.71663
0.73333;-0.97035;0.69722;0.7166
0.74167;-0.97077;0.69703;0.71655
0.75;-0.97107;0.69699;0.71648
0.75833;-0.97211;0.69707;0.71664
0.76667;-0.97297;0.69721;0.71647
0.775;-0.97394;0.69744;0.71638
0.78333;-0.97524;0.69789;0.71649
0.79167;-0.97643;0.69831;0.7163
0.8;-0.97792;0.6988;0.71642
0.80833;-0.97946;0.69954;0.71645
0.81667;-0.98087;0.70053;0.71651
0.825;-0.98288;0.70166;0.71652
0.83333;-0.98459;0.70296;0.7165
0.84167;-0.98642;0.70464;0.71661
0.85;-0.9883;0.70654;0.71648
0.85833;-0.9902;0.70862;0.71653
0.86667;-0.99211;0.71121;0.71662
0.875;-0.99373;0.71397;0.7165
0.88333;-0.99548;0.71704;0.71671
0.89167;-0.99692;0.72022;0.71669
0.9;-0.99804;0.72354;0.71667
0.90833;-0.99899;0.72699;0.71659
0.91667;-0.99985;0.73074;0.71666
0.925;-0.99894;0.73422;0.71578
0.93333;-0.99909;0.73771;0.71538
0.94167;-0.99935;0.74118;0.71535
0.95;-0.99913;0.74452;0.7154
0.95833;-0.99834;0.74769;0.7154
0.96667;-0.99774;0.75032;0.71522
0.975;-0.99673;0.7528;0.71535
0.98333;-0.99538;0.75509;0.71537
0.99167;-0.99393;0.75714;0.71549
1;-0.99179;0.75887;0.71526
1.0083;-0.98974;0.76028;0.71533
1.0167;-0.98796;0.76158;0.71522
1.025;-0.98573;0.76247;0.71554
1.0333;-0.98316;0.7633;0.71544
1.0417;-0.98083;0.76395;0.71577
1.05;-0.978;0.7642;0.71549
1.0583;-0.97571;0.76449;0.71568
1.0667;-0.97285;0.76397;0.71547
1.075;-0.97039;0.76333;0.7155
1.0833;-0.96835;0.76277;0.71571
1.0917;-0.96625;0.76195;0.71549
1.1;-0.96434;0.76082;0.71558
1.1083;-0.96257;0.75989;0.71523
1.1167;-0.96097;0.75858;0.71543
1.125;-0.96094;0.75767;0.71596
1.1333;-0.95974;0.75631;0.71572
1.1417;-0.95914;0.75497;0.71569
1.15;-0.95886;0.75354;0.71584
1.1583;-0.95893;0.75255;0.71527
1.1667;-0.95953;0.75162;0.71544
1.175;-0.96002;0.75044;0.71528
1.1833;-0.96136;0.74983;0.71556
1.1917;-0.9627;0.74907;0.71516
1.2;-0.96422;0.74867;0.7154
1.2083;-0.96629;0.74854;0.71527
1.2167;-0.96881;0.74863;0.71549
1.225;-0.97125;0.7489;0.71564
1.2333;-0.97353;0.74933;0.71535
1.2417;-0.97626;0.75008;0.71546
1.25;-0.97884;0.75134;0.71554
