t;X;Y;Z
0.0083333;-0.74119;0.22152;0.73025
0.016667;-0.74127;0.22156;0.73026
0.025;-0.74137;0.22155;0.73028
0.033333;-0.74141;0.22156;0.73031
0.041667;-0.7415;0.22154;0.73038
0.05;-0.74154;0.22152;0.73042
0.058333;-0.74156;0.22148;0.73047
0.066667;-0.74155;0.22147;0.7305
0.075;-0.74163;0.22143;0.73058
0.083333;-0.74171;0.22143;0.73061
0.091667;-0.74178;0.22143;0.73066
0.1;-0.74177;0.22145;0.73071
0.10833;-0.74182;0.22139;0.73075
0.11667;-0.74186;0.22138;0.73081
0.125;-0.74188;0.22137;0.73084
0.13333;-0.74197;0.22126;0.73089
0.14167;-0.74203;0.22118;0.73095
0.15;-0.742;0.22119;0.73083
0.15833;-0.74204;0.22119;0.73058
0.16667;-0.74238;0.22098;0.73028
0.175;-0.74246;0.22083;0.73024
0.18333;-0.74238;0.22073;0.73018
0.19167;-0.74229;0.22064;0.73011
0.2;-0.74227;0.22057;0.73002
0.20833;-0.74225;0.22059;0.7299
0.21667;-0.74218;0.22051;0.72966
0.225;-0.74196;0.22049;0.72939
0.23333;-0.74201;0.22033;0.72942
0.24167;-0.74186;0.22019;0.7292
0.25;-0.74174;0.22008;0.72904
0.25833;-0.74152;0.21996;0.72893
0.26667;-0.74129;0.2198;0.72897
0.275;-0.74092;0.21964;0.72896
0.28333;-0.74061;0.21935;0.72897
0.29167;-0.74041;0.21917;0.72897
0.3;-0.74028;0.21919;0.72894
0.30833;-0.74034;0.21906;0.72896
0.31667;-0.74034;0.21907;0.72891
0.325;-0.7404;0.21903;0.72886
0.33333;-0.74056;0.21895;0.72883
0.34167;-0.74066;0.21892;0.72874
0.35;-0.7409;0.21881;0.72864
0.35833;-0.74103;0.21885;0.72851
0.36667;-0.74111;0.21884;0.72836
0.375;-0.74119;0.21884;0.72819
0.38333;-0.74121;0.21882;0.72794
0.39167;-0.74126;0.21876;0.72767
0.4;-0.74141;0.21852;0.72748
0.40833;-0.74147;0.21826;0.72727
0.41667;-0.74147;0.21797;0.72709
0.425;-0.74142;0.21771;0.72687
0.43333;-0.74132;0.21756;0.72671
0.44167;-0.74114;0.21751;0.72654
0.45;-0.74117;0.2173;0.72617
0.45833;-0.74121;0.21722;0.72576
0.46667;-0.74124;0.21686;0.7257
0.475;-0.74119;0.21677;0.72549
0.48333;-0.74118;0.21667;0.7253
0.49167;-0.74112;0.21677;0.725
0.5;-0.74114;0.21668;0.72469
0.50833;-0.7413;0.21645;0.72441
0.51667;-0.74122;0.2165;0.72405
0.525;-0.74118;0.21649;0.72392
0.53333;-0.74106;0.2164;0.72391
0.54167;-0.74093;0.2164;0.72391
0.55;-0.74088;0.21642;0.72391
0.55833;-0.7408;0.21646;0.72388
0.56667;-0.74074;0.21647;0.72387
0.575;-0.74073;0.2165;0.72383
0.58333;-0.7407;0.21651;0.72382
0.59167;-0.74067;0.21652;0.72383
0.6;-0.74061;0.21652;0.72384
0.60833;-0.74057;0.21653;0.72382
0.61667;-0.74054;0.21648;0.72382
0.625;-0.74025;0.21659;0.72384
0.63333;-0.73996;0.21668;0.7239
0.64167;-0.73958;0.21671;0.72391
0.65;-0.7392;0.21673;0.72389
0.65833;-0.73883;0.2168;0.72385
0.66667;-0.73839;0.21691;0.72388
0.675;-0.73756;0.21697;0.72395
0.68333;-0.73702;0.21709;0.72393
0.69167;-0.73631;0.21725;0.72378
0.7;-0.73548;0.21731;0.72379
0.70833;-0.73463;0.21743;0.72373
0.71667;-0.7337;0.21764;0.72368
0.725;-0.73301;0.2178;0.72376
0.73333;-0.73221;0.21794;0.72361
0.74167;-0.73147;0.21808;0.72363
0.75;-0.73079;0.21806;0.72362
0.75833;-0.73007;0.21813;0.72352
0.76667;-0.72908;0.21832;0.72348
0.775;-0.72838;0.21834;0.72323
0.78333;-0.72767;0.21851;0.72325
0.79167;-0.72682;0.21868;0.72336
0.8;-0.72595;0.21864;0.72329
0.80833;-0.72474;0.21883;0.72313
0.81667;-0.7242;0.21863;0.72329
0.825;-0.72306;0.21887;0.72311
0.83333;-0.72226;0.21924;0.72318
0.84167;-0.72172;0.21902;0.72319
0.85;-0.72091;0.2193;0.72316
0.85833;-0.72025;0.21936;0.7232
0.86667;-0.71978;0.21928;0.72324
0.875;-0.71897;0.21923;0.72336
0.88333;-0.71824;0.21975;0.72311
0.89167;-0.71776;0.21987;0.72308
0.9;-0.71667;0.22018;0.72306
0.90833;-0.71607;0.22009;0.72324
0.91667;-0.7156;0.21982;0.72332
0.925;-0.71494;0.22008;0.7232
0.93333;-0.71439;0.22055;0.72301
0.94167;-0.71382;0.22065;0.72295
0.95;-0.71331;0.22067;0.72306
0.95833;-0.71262;0.22088;0.72314
0.96667;-0.71202;0.22091;0.72298
0.975;-0.71169;0.22094;0.72297
0.98333;-0.7113;0.22098;0.72302
0.99167;-0.71061;0.22106;0.72297
1;-0.70976;0.22134;0.72253
1.0083;-0.70966;0.22123;0.72285
1.0167;-0.70922;0.22121;0.72285
1.025;-0.70882;0.22126;0.72288
1.0333;-0.70862;0.22123;0.72288
1.0417;-0.70816;0.22143;0.7228
1.05;-0.70774;0.2215;0.72266
1.0583;-0.70739;0.22152;0.72266
1.0667;-0.70716;0.22153;0.72271
1.075;-0.70683;0.22164;0.72277
1.0833;-0.7064;0.2217;0.72283
1.0917;-0.70599;0.22179;0.72273
1.1;-0.70557;0.22146;0.7229
1.1083;-0.70512;0.22178;0.72283
1.1167;-0.70485;0.22183;0.72287
1.125;-0.70461;0.22187;0.72286
1.1333;-0.70442;0.22192;0.72281
1.1417;-0.70442;0.22193;0.72281
1.15;-0.70442;0.22193;0.7228
1.1583;-0.70435;0.22197;0.72277
1.1667;-0.70427;0.22201;0.72275
1.175;-0.70398;0.22217;0.72263
1.1833;-0.70367;0.22242;0.72238
1.1917;-0.70348;0.22242;0.72244
1.2;-0.70329;0.22221;0.7227
1.2083;-0.70287;0.22214;0.72275
1.2167;-0.70256;0.22206;0.72287
1.225;-0.70251;0.2221;0.72284
1.2333;-0.70251;0.22211;0.72281
1.2417;-0.70258;0.22209;0.72276
1.25;-0.70262;0.22209;0.72277
1.2583;-0.70259;0.22208;0.72278
1.2667;-0.70257;0.22209;0.72284
1.275;-0.7025;0.22205;0.72289
1.2833;-0.70244;0.22205;0.72292
1.2917;-0.70225;0.22206;0.72294
