t;X;Y;Z
0.0083333;-0.82421;0.13819;0.73601
0.016667;-0.8241;0.13817;0.73591
0.025;-0.82394;0.13815;0.7358
0.033333;-0.8238;0.13814;0.73571
0.041667;-0.82362;0.13812;0.73565
0.05;-0.8235;0.13798;0.73555
0.058333;-0.82333;0.13804;0.73543
0.066667;-0.82332;0.13788;0.73537
0.075;-0.82315;0.13799;0.73525
0.083333;-0.82293;0.13798;0.7352
0.091667;-0.82286;0.13794;0.73519
0.1;-0.82244;0.13817;0.73472
0.10833;-0.82239;0.13814;0.73469
0.11667;-0.82232;0.13815;0.73463
0.125;-0.82255;0.13774;0.73484
0.13333;-0.82249;0.13769;0.73482
0.14167;-0.82241;0.1377;0.73477
0.15;-0.8224;0.13759;0.73473
0.15833;-0.82239;0.13753;0.73466
0.16667;-0.82242;0.13744;0.73464
0.175;-0.82241;0.13741;0.73458
0.18333;-0.82244;0.13735;0.73451
0.19167;-0.82242;0.13736;0.7345
0.2;-0.82244;0.13731;0.73451
0.20833;-0.82243;0.13736;0.7345
0.21667;-0.82242;0.13735;0.73453
0.225;-0.82241;0.13735;0.73452
0.23333;-0.82249;0.13732;0.73452
0.24167;-0.82251;0.13734;0.73452
0.25;-0.82256;0.13729;0.73454
0.25833;-0.82256;0.13729;0.73455
0.26667;-0.82262;0.13723;0.73458
0.275;-0.82263;0.13724;0.73456
0.28333;-0.82263;0.13718;0.73454
0.29167;-0.82269;0.13715;0.73457
0.3;-0.82267;0.1371;0.73456
0.30833;-0.82272;0.13706;0.73456
0.31667;-0.8227;0.13704;0.73456
0.325;-0.82272;0.13702;0.73454
0.33333;-0.82273;0.13701;0.73454
0.34167;-0.82269;0.13704;0.7345
0.35;-0.82273;0.137;0.73452
0.35833;-0.82273;0.137;0.73455
0.36667;-0.8227;0.137;0.73455
0.375;-0.82269;0.13699;0.73456
0.38333;-0.82269;0.13699;0.73457
0.39167;-0.82262;0.13707;0.73454
0.4;-0.82251;0.13721;0.73451
0.40833;-0.82252;0.13717;0.73451
0.41667;-0.8224;0.13725;0.7345
0.425;-0.82226;0.13741;0.73446
0.43333;-0.82218;0.13749;0.73448
0.44167;-0.82206;0.13758;0.7345
0.45;-0.82189;0.13777;0.73449
0.45833;-0.82172;0.13781;0.73457
0.46667;-0.82146;0.13782;0.73459
0.475;-0.82136;0.13791;0.73459
0.48333;-0.82122;0.13808;0.73445
0.49167;-0.82118;0.13804;0.73448
0.5;-0.82111;0.13805;0.73447
0.50833;-0.82116;0.13795;0.73447
0.51667;-0.82111;0.13795;0.73447
0.525;-0.82097;0.13787;0.73457
0.53333;-0.8207;0.13779;0.73462
0.54167;-0.82037;0.13787;0.73455
0.55;-0.81998;0.13809;0.73442
0.55833;-0.81943;0.13823;0.73436
0.56667;-0.81927;0.13818;0.73438
0.575;-0.81909;0.13834;0.73428
0.58333;-0.81913;0.1382;0.73432
0.59167;-0.81913;0.1381;0.73434
0.6;-0.81926;0.13777;0.73447
0.60833;-0.81932;0.13764;0.73442
0.61667;-0.81936;0.13755;0.73444
0.625;-0.81935;0.13738;0.73446
0.63333;-0.81932;0.13728;0.73445
0.64167;-0.81932;0.13714;0.73445
0.65;-0.81924;0.1371;0.73448
0.65833;-0.8193;0.13689;0.73451
0.66667;-0.81931;0.13679;0.73448
0.675;-0.81938;0.13669;0.73452
0.68333;-0.81944;0.13659;0.73449
0.69167;-0.81955;0.1365;0.73448
0.7;-0.81975;0.13628;0.7346
0.70833;-0.81989;0.13605;0.73456
0.71667;-0.82002;0.13598;0.73457
0.725;-0.82014;0.13599;0.73457
0.73333;-0.82016;0.13594;0.73454
0.74167;-0.82018;0.13593;0.73454
0.75;-0.82021;0.13593;0.73454
0.75833;-0.82028;0.13594;0.73452
0.76667;-0.82033;0.13591;0.73453
0.775;-0.82042;0.13587;0.73455
0.78333;-0.8205;0.13587;0.73452
0.79167;-0.82059;0.13588;0.73451
0.8;-0.82075;0.13595;0.7344
0.80833;-0.82095;0.13589;0.73439
0.81667;-0.82114;0.13588;0.73442
0.825;-0.82134;0.13578;0.73442
0.83333;-0.8215;0.13575;0.73443
0.84167;-0.82204;0.13546;0.73473
0.85;-0.82214;0.13547;0.73475
0.85833;-0.82212;0.13565;0.73451
0.86667;-0.82227;0.13549;0.73461
0.875;-0.82236;0.1356;0.73458
0.88333;-0.82247;0.13554;0.73462
0.89167;-0.82264;0.13558;0.73462
0.9;-0.82282;0.13562;0.7346
0.90833;-0.82294;0.13591;0.73444
0.91667;-0.82312;0.13603;0.73435
0.925;-0.82341;0.1358;0.73453
0.93333;-0.82352;0.13613;0.73438
0.94167;-0.82371;0.13618;0.73435
0.95;-0.82387;0.13592;0.73459
0.95833;-0.82388;0.13636;0.73433
0.96667;-0.82392;0.13652;0.73425
0.975;-0.82399;0.13663;0.73427
0.98333;-0.82407;0.13673;0.7343
0.99167;-0.82415;0.13687;0.73431
1;-0.8242;0.13699;0.73432
1.0083;-0.82424;0.1371;0.7343
1.0167;-0.82434;0.13717;0.73433
1.025;-0.82436;0.13734;0.73439
1.0333;-0.82437;0.13754;0.73439
1.0417;-0.82437;0.1378;0.73439
1.05;-0.82432;0.13799;0.73437
1.0583;-0.82422;0.13831;0.73431
1.0667;-0.82419;0.13844;0.73431
1.075;-0.82411;0.13868;0.73428
1.0833;-0.82406;0.13875;0.73432
1.0917;-0.82398;0.13884;0.73434
1.1;-0.82391;0.13887;0.73438
1.1083;-0.82355;0.1392;0.73431
1.1167;-0.82309;0.13954;0.73406
1.125;-0.82322;0.13927;0.73431
