t;X;Y;Z
0.0083333;-0.57294;0.14693;0.74178
0.016667;-0.57294;0.14693;0.74178
0.025;-0.57295;0.14696;0.74176
0.033333;-0.57292;0.14696;0.74174
0.041667;-0.57296;0.147;0.74176
0.05;-0.57299;0.147;0.74175
0.058333;-0.573;0.14705;0.74173
0.066667;-0.57312;0.14708;0.74175
0.075;-0.5732;0.14711;0.74177
0.083333;-0.57334;0.14714;0.74176
0.091667;-0.57346;0.14717;0.74171
0.1;-0.57362;0.1472;0.74174
0.10833;-0.57382;0.14723;0.74175
0.11667;-0.57411;0.14724;0.74177
0.125;-0.57444;0.14724;0.74176
0.13333;-0.57489;0.1472;0.74177
0.14167;-0.57506;0.14729;0.74172
0.15;-0.57548;0.14734;0.74177
0.15833;-0.57582;0.14739;0.74173
0.16667;-0.5762;0.14749;0.74166
0.175;-0.57662;0.14755;0.74167
0.18333;-0.57714;0.1477;0.74166
0.19167;-0.57763;0.14785;0.74169
0.2;-0.57811;0.14795;0.74175
0.20833;-0.57856;0.14801;0.74172
0.21667;-0.57885;0.14823;0.74171
0.225;-0.57964;0.14834;0.74163
0.23333;-0.58039;0.14883;0.74212
0.24167;-0.5807;0.14865;0.74159
0.25;-0.58133;0.14882;0.74163
0.25833;-0.58202;0.149;0.74164
0.26667;-0.58269;0.1492;0.74158
0.275;-0.58329;0.14939;0.7416
0.28333;-0.58397;0.14951;0.7415
0.29167;-0.5847;0.14969;0.74152
0.3;-0.58544;0.14984;0.74152
0.30833;-0.58616;0.14995;0.7415
0.31667;-0.58681;0.14999;0.74141
0.325;-0.58771;0.15029;0.74147
0.33333;-0.58841;0.15041;0.74147
0.34167;-0.58924;0.15051;0.74143
0.35;-0.59024;0.15071;0.7415
0.35833;-0.59106;0.15084;0.74152
0.36667;-0.59185;0.1509;0.7415
0.375;-0.59278;0.15102;0.74152
0.38333;-0.59368;0.1511;0.7415
0.39167;-0.59454;0.15122;0.74149
0.4;-0.59556;0.15141;0.74154
0.40833;-0.59638;0.15151;0.74153
0.41667;-0.5972;0.15164;0.74141
0.425;-0.59817;0.15176;0.74141
0.43333;-0.59927;0.15181;0.74147
0.44167;-0.59994;0.15201;0.74146
0.45;-0.601;0.15221;0.74148
0.45833;-0.60187;0.15236;0.74146
0.46667;-0.60274;0.15243;0.74141
0.475;-0.60379;0.15255;0.74142
0.48333;-0.60481;0.15261;0.74147
0.49167;-0.60575;0.1528;0.74141
0.5;-0.60682;0.15297;0.74139
0.50833;-0.60784;0.15301;0.74133
0.51667;-0.6088;0.15314;0.74135
0.525;-0.60983;0.15328;0.74136
0.53333;-0.61071;0.15347;0.74128
0.54167;-0.61184;0.15367;0.74127
0.55;-0.61303;0.15369;0.74128
0.55833;-0.61384;0.15394;0.74123
0.56667;-0.61485;0.15416;0.74123
0.575;-0.61585;0.15437;0.74121
0.58333;-0.61704;0.1545;0.7412
0.59167;-0.61806;0.15463;0.74116
0.6;-0.61913;0.15477;0.74113
0.60833;-0.62038;0.15506;0.74117
0.61667;-0.62145;0.15519;0.7411
0.625;-0.62264;0.1554;0.74108
0.63333;-0.62371;0.15555;0.74105
0.64167;-0.62508;0.15582;0.74113
0.65;-0.62617;0.15598;0.74101
0.65833;-0.62747;0.15618;0.74107
0.66667;-0.62863;0.15639;0.74107
0.675;-0.63;0.15675;0.74111
0.68333;-0.63125;0.15696;0.74111
0.69167;-0.63235;0.15713;0.74103
0.7;-0.63361;0.15752;0.74109
0.70833;-0.63474;0.15779;0.74101
0.71667;-0.63585;0.15814;0.74078
0.725;-0.63715;0.15848;0.74098
0.73333;-0.63848;0.15888;0.74097
0.74167;-0.63955;0.15919;0.74085
0.75;-0.64093;0.15966;0.7409
0.75833;-0.64206;0.16007;0.74088
0.76667;-0.64332;0.16037;0.74095
0.775;-0.64442;0.16098;0.74085
0.78333;-0.64567;0.16142;0.7409
0.79167;-0.64664;0.16183;0.74082
0.8;-0.64786;0.16242;0.74087
0.80833;-0.64892;0.16282;0.74078
0.81667;-0.65002;0.16342;0.74086
0.825;-0.65115;0.16403;0.74087
0.83333;-0.65212;0.16458;0.74084
0.84167;-0.65326;0.16526;0.74081
0.85;-0.6541;0.16584;0.74075
0.85833;-0.65522;0.16663;0.74085
0.86667;-0.65608;0.16724;0.74078
0.875;-0.65709;0.16803;0.74079
0.88333;-0.65801;0.16865;0.7407
0.89167;-0.65884;0.16944;0.74072
0.9;-0.65984;0.17021;0.74072
0.90833;-0.66071;0.171;0.74078
0.91667;-0.66155;0.1718;0.74067
0.925;-0.6624;0.17259;0.74077
0.93333;-0.66321;0.17334;0.74074
0.94167;-0.66411;0.17431;0.74079
0.95;-0.66485;0.17509;0.74073
0.95833;-0.66561;0.17606;0.74068
0.96667;-0.6663;0.17687;0.74065
0.975;-0.66706;0.17789;0.74069
0.98333;-0.66787;0.17874;0.74065
0.99167;-0.66859;0.17974;0.74062
1;-0.66924;0.18054;0.74057
1.0083;-0.67017;0.1816;0.74072
1.0167;-0.67087;0.18246;0.74065
1.025;-0.67163;0.18348;0.74056
1.0333;-0.67233;0.18445;0.74061
1.0417;-0.67297;0.18534;0.74053
1.05;-0.67382;0.18644;0.74055
1.0583;-0.67455;0.18726;0.74051
1.0667;-0.6752;0.18834;0.74052
1.075;-0.67601;0.18923;0.74059
1.0833;-0.67677;0.19025;0.74059
1.0917;-0.67763;0.19117;0.74057
1.1;-0.67829;0.19211;0.74052
1.1083;-0.67911;0.19313;0.74065
1.1167;-0.67992;0.19404;0.74063
1.125;-0.6806;0.195;0.74049
1.1333;-0.68134;0.19583;0.74038
1.1417;-0.68215;0.19688;0.7405
1.15;-0.68292;0.19777;0.74047
1.1583;-0.68391;0.19871;0.74055
1.1667;-0.68451;0.19955;0.74046
1.175;-0.6854;0.20047;0.74057
1.1833;-0.68624;0.20134;0.74054
1.1917;-0.68704;0.20225;0.74045
1.2;-0.68784;0.20305;0.74043
1.2083;-0.68853;0.20393;0.74043
1.2167;-0.68946;0.20486;0.74053
1.225;-0.69018;0.20569;0.74042
1.2333;-0.69092;0.20658;0.7404
1.2417;-0.69171;0.20733;0.74053
1.25;-0.69246;0.20821;0.74055
1.2583;-0.69318;0.20898;0.74053
1.2667;-0.69398;0.20981;0.74051
1.275;-0.69454;0.21052;0.74047
1.2833;-0.69522;0.21136;0.74054
1.2917;-0.69591;0.21214;0.74054
1.3;-0.69648;0.21288;0.74042
