t;X;Y;Z
0.0083333;-0.58483;0.18474;0.72841
0.016667;-0.58478;0.18476;0.72846
0.025;-0.58477;0.18481;0.72845
0.033333;-0.58476;0.18479;0.7285
0.041667;-0.58474;0.18478;0.72851
0.05;-0.58469;0.18479;0.72851
0.058333;-0.5846;0.18477;0.72849
0.066667;-0.58459;0.18478;0.72848
0.075;-0.58459;0.18479;0.72841
0.083333;-0.58458;0.18473;0.72837
0.091667;-0.58457;0.18474;0.72829
0.1;-0.58457;0.18475;0.72818
0.10833;-0.58455;0.18472;0.72813
0.11667;-0.58457;0.18464;0.72815
0.125;-0.58456;0.18464;0.72816
0.13333;-0.58455;0.18462;0.72817
0.14167;-0.58457;0.18463;0.72816
0.15;-0.58457;0.18463;0.72815
0.15833;-0.58459;0.18458;0.72814
0.16667;-0.58459;0.18454;0.72813
0.175;-0.58459;0.18454;0.72813
0.18333;-0.58458;0.18455;0.72811
0.19167;-0.58457;0.18456;0.72808
0.2;-0.58459;0.18449;0.72811
0.20833;-0.5846;0.18445;0.72809
0.21667;-0.58461;0.18443;0.72807
0.225;-0.58458;0.18437;0.72806
0.23333;-0.58458;0.18438;0.72806
0.24167;-0.58454;0.18424;0.72805
0.25;-0.58458;0.18421;0.72807
0.25833;-0.58457;0.18415;0.72805
0.26667;-0.58465;0.18406;0.72804
0.275;-0.58464;0.18404;0.72804
0.28333;-0.58462;0.18401;0.72801
0.29167;-0.58463;0.18396;0.72803
0.3;-0.58461;0.18396;0.72801
0.30833;-0.58464;0.18384;0.72802
0.31667;-0.58461;0.18379;0.72799
0.325;-0.58455;0.18378;0.72797
0.33333;-0.58454;0.18373;0.72792
0.34167;-0.58455;0.18367;0.7279
0.35;-0.58457;0.18365;0.72788
0.35833;-0.58455;0.1836;0.72784
0.36667;-0.58453;0.18359;0.72785
0.375;-0.58456;0.18357;0.72784
0.38333;-0.58456;0.1836;0.72781
0.39167;-0.58461;0.18357;0.72784
0.4;-0.58461;0.18357;0.72784
0.40833;-0.58462;0.18363;0.72787
0.41667;-0.58466;0.18369;0.72787
0.425;-0.58471;0.18384;0.72782
0.43333;-0.5848;0.18399;0.72784
0.44167;-0.58486;0.1841;0.72784
0.45;-0.58497;0.18424;0.72787
0.45833;-0.58507;0.18444;0.72788
0.46667;-0.58519;0.18475;0.7279
0.475;-0.58535;0.18515;0.72786
0.48333;-0.58547;0.18551;0.72784
0.49167;-0.5856;0.18587;0.7278
0.5;-0.58575;0.18616;0.72779
0.50833;-0.58599;0.18663;0.72778
0.51667;-0.5863;0.18717;0.72779
0.525;-0.58655;0.18769;0.72785
0.53333;-0.58693;0.18825;0.72779
0.54167;-0.58733;0.18886;0.72777
0.55;-0.58777;0.18959;0.72775
0.55833;-0.58815;0.19016;0.7278
0.56667;-0.58864;0.19084;0.72777
0.575;-0.58907;0.19159;0.7277
0.58333;-0.58955;0.19234;0.72759
0.59167;-0.59025;0.19307;0.72767
0.6;-0.59083;0.19382;0.72771
0.60833;-0.59135;0.19472;0.72768
0.61667;-0.59194;0.19549;0.72772
0.625;-0.59252;0.19648;0.72767
0.63333;-0.59328;0.19732;0.72761
0.64167;-0.59405;0.19838;0.72752
0.65;-0.59479;0.19934;0.72759
0.65833;-0.59556;0.20025;0.72757
0.66667;-0.5965;0.20132;0.72754
0.675;-0.59744;0.20241;0.72745
0.68333;-0.59836;0.20354;0.72743
0.69167;-0.59933;0.2046;0.72748
0.7;-0.6004;0.20567;0.72747
0.70833;-0.60136;0.20669;0.72741
0.71667;-0.60232;0.20767;0.7274
0.725;-0.60326;0.20875;0.72738
0.73333;-0.60428;0.20958;0.72745
0.74167;-0.60528;0.21045;0.72747
0.75;-0.60625;0.21138;0.72738
0.75833;-0.60726;0.21221;0.72742
0.76667;-0.60823;0.21314;0.72746
0.775;-0.6094;0.214;0.72741
0.78333;-0.61047;0.21489;0.72744
0.79167;-0.61141;0.21567;0.72743
0.8;-0.61255;0.21651;0.72736
0.80833;-0.61369;0.21715;0.72739
0.81667;-0.61455;0.2179;0.72743
0.825;-0.61545;0.21852;0.7274
0.83333;-0.61645;0.21899;0.72733
0.84167;-0.6174;0.21951;0.72739
0.85;-0.61825;0.21992;0.72743
0.85833;-0.61906;0.22026;0.72742
0.86667;-0.61999;0.22067;0.72739
0.875;-0.62076;0.22108;0.72733
0.88333;-0.62165;0.22135;0.72738
0.89167;-0.62255;0.22158;0.72743
0.9;-0.62318;0.2218;0.72738
0.90833;-0.62399;0.22195;0.72739
0.91667;-0.62472;0.22191;0.72746
0.925;-0.62534;0.22193;0.72746
0.93333;-0.62586;0.22186;0.72748
0.94167;-0.62643;0.22171;0.72749
0.95;-0.62689;0.22152;0.72747
0.95833;-0.62736;0.22132;0.72747
0.96667;-0.62773;0.22105;0.72747
0.975;-0.62818;0.22066;0.72756
0.98333;-0.62848;0.22016;0.72758
0.99167;-0.62866;0.21971;0.72758
1;-0.62868;0.21926;0.72757
1.0083;-0.62866;0.21862;0.72763
1.0167;-0.62859;0.218;0.72759
1.025;-0.62841;0.21724;0.72762
1.0333;-0.62814;0.21649;0.72765
1.0417;-0.62749;0.21567;0.72762
1.05;-0.62696;0.21491;0.72766
1.0583;-0.62623;0.2141;0.72771
1.0667;-0.62552;0.21341;0.72767
1.075;-0.6248;0.21271;0.72766
1.0833;-0.62379;0.21195;0.72765
1.0917;-0.62277;0.21142;0.72768
1.1;-0.62176;0.21075;0.72763
1.1083;-0.62064;0.21015;0.72767
1.1167;-0.6194;0.20953;0.7277
1.125;-0.61828;0.20898;0.72774
1.1333;-0.61704;0.20844;0.72766
1.1417;-0.61587;0.208;0.72766
1.15;-0.61466;0.20757;0.72765
1.1583;-0.61336;0.20719;0.72771
1.1667;-0.61203;0.20687;0.72765
1.175;-0.61069;0.20652;0.72768
1.1833;-0.60921;0.20621;0.72774
1.1917;-0.60792;0.20592;0.72771
1.2;-0.6065;0.20576;0.72774
1.2083;-0.60532;0.20562;0.72773
1.2167;-0.60403;0.20555;0.72769
1.225;-0.60267;0.20554;0.72773
1.2333;-0.60143;0.20561;0.72768
1.2417;-0.60021;0.20581;0.72772
1.25;-0.599;0.20596;0.72773
1.2583;-0.59779;0.20621;0.72772
1.2667;-0.59657;0.20647;0.7278
1.275;-0.59536;0.20682;0.72776
1.2833;-0.5941;0.20719;0.72779
1.2917;-0.593;0.20768;0.72778
1.3;-0.59181;0.20815;0.72778
1.3083;-0.59082;0.20869;0.72778
1.3167;-0.58967;0.20947;0.72768
1.325;-0.58889;0.21009;0.72766
1.3333;-0.58803;0.21088;0.72769
1.3417;-0.58727;0.2116;0.7277
1.35;-0.58657;0.2124;0.72765
1.3583;-0.58601;0.21315;0.72761
1.3667;-0.5856;0.21401;0.72752
1.375;-0.58532;0.21476;0.72754
1.3833;-0.5851;0.21566;0.72754
1.3917;-0.58507;0.21659;0.72754
1.4;-0.58514;0.21744;0.72753
1.4083;-0.58527;0.21841;0.72746
1.4167;-0.58552;0.21924;0.7275
1.425;-0.58571;0.22022;0.72744
1.4333;-0.58616;0.22098;0.72737
1.4417;-0.58675;0.22184;0.72737
1.45;-0.58726;0.22266;0.72734
1.4583;-0.5879;0.22335;0.72732
1.4667;-0.5886;0.22406;0.72735
1.475;-0.58948;0.22472;0.72731
1.4833;-0.59017;0.2254;0.72728
1.4917;-0.591;0.22587;0.72725
1.5;-0.59176;0.2264;0.72724
1.5083;-0.59245;0.22692;0.72717
1.5167;-0.59327;0.2274;0.72715
1.525;-0.59409;0.22772;0.72721
1.5333;-0.59486;0.22811;0.72719
1.5417;-0.59554;0.22832;0.7272
1.55;-0.59637;0.22859;0.72713
1.5583;-0.59697;0.22878;0.7271
1.5667;-0.59771;0.22906;0.72708
1.575;-0.59833;0.22925;0.72709
1.5833;-0.59894;0.22932;0.72713
1.5917;-0.5998;0.22934;0.72718
1.6;-0.60031;0.22935;0.72717
1.6083;-0.60086;0.22924;0.72717
1.6167;-0.60148;0.22905;0.72725
1.625;-0.60193;0.22884;0.72728
1.6333;-0.60224;0.2286;0.72727
1.6417;-0.60268;0.22836;0.72727
1.65;-0.60292;0.22814;0.72726
1.6583;-0.60328;0.22787;0.72729
1.6667;-0.60348;0.22759;0.72731
1.675;-0.60364;0.22736;0.72729
1.6833;-0.60371;0.22714;0.72727
1.6917;-0.60378;0.22671;0.72728
1.7;-0.60397;0.22645;0.72725
1.7083;-0.60399;0.22635;0.72723
1.7167;-0.60415;0.2261;0.72724
1.725;-0.60428;0.22586;0.72724
1.7333;-0.60426;0.22566;0.72726
1.7417;-0.60432;0.22539;0.72728
1.75;-0.6044;0.22522;0.72729
1.7583;-0.60438;0.22508;0.72728
1.7667;-0.60439;0.22506;0.72729
1.775;-0.60436;0.22506;0.7273
1.7833;-0.60432;0.22509;0.72733
1.7917;-0.6043;0.22513;0.72732
1.8;-0.60428;0.22523;0.7273
1.8083;-0.60422;0.22532;0.72733
1.8167;-0.60412;0.22555;0.72732
1.825;-0.60405;0.22588;0.72729
1.8333;-0.60397;0.22622;0.72728
1.8417;-0.604;0.22661;0.72729
1.85;-0.6039;0.22705;0.72732
1.8583;-0.6039;0.22755;0.72733
1.8667;-0.60395;0.22821;0.72733
1.875;-0.60412;0.22886;0.72726
1.8833;-0.60424;0.22969;0.72725
1.8917;-0.60429;0.23049;0.72726
1.9;-0.60432;0.2314;0.72723
1.9083;-0.60431;0.23224;0.7272
1.9167;-0.60431;0.23311;0.72716
1.925;-0.60438;0.23403;0.72718
1.9333;-0.60446;0.23491;0.72719
1.9417;-0.60445;0.23581;0.72715
1.95;-0.6045;0.23674;0.72707
1.9583;-0.60478;0.2377;0.72708
1.9667;-0.60504;0.23862;0.72711
1.975;-0.6052;0.23949;0.72703
1.9833;-0.60548;0.24026;0.72704
1.9917;-0.60573;0.24111;0.727
2;-0.60596;0.2417;0.727
2.0083;-0.60615;0.24221;0.72704
2.0167;-0.60623;0.24273;0.72699
2.025;-0.60624;0.24303;0.72696
2.0333;-0.60628;0.24326;0.72698
2.0417;-0.6063;0.24331;0.72696
2.05;-0.60628;0.24333;0.72697
2.0583;-0.60623;0.24331;0.72698
2.0667;-0.6062;0.24327;0.72697
2.075;-0.60611;0.2432;0.72694
2.0833;-0.60598;0.24308;0.72693
2.0917;-0.60586;0.2429;0.72697
2.1;-0.6056;0.24259;0.727
2.1083;-0.60524;0.24224;0.72705
2.1167;-0.60484;0.2419;0.72709
2.125;-0.60444;0.24147;0.7271
