t;X;Y;Z
0.0083333;-0.59997;0.15552;0.73074
0.016667;-0.60009;0.15526;0.73076
0.025;-0.59991;0.15549;0.7307
0.033333;-0.60006;0.15522;0.7307
0.041667;-0.60015;0.15495;0.73068
0.05;-0.6002;0.15479;0.73061
0.058333;-0.60007;0.15492;0.73044
0.066667;-0.60048;0.15435;0.73043
0.075;-0.60077;0.15401;0.7304
0.083333;-0.60162;0.15343;0.73047
0.091667;-0.60177;0.15333;0.73047
0.1;-0.60184;0.15328;0.73045
0.10833;-0.60194;0.15321;0.73046
0.11667;-0.602;0.15315;0.73046
0.125;-0.60207;0.15312;0.73047
0.13333;-0.60214;0.15312;0.73045
0.14167;-0.60233;0.15312;0.73041
0.15;-0.60251;0.15311;0.73039
0.15833;-0.60267;0.15313;0.73029
0.16667;-0.60276;0.1532;0.73017
0.175;-0.60304;0.15323;0.73004
0.18333;-0.60331;0.15309;0.72996
0.19167;-0.60346;0.15304;0.72987
0.2;-0.60345;0.15301;0.72974
0.20833;-0.60355;0.153;0.72959
0.21667;-0.60361;0.15298;0.72935
0.225;-0.60375;0.15294;0.7291
0.23333;-0.60392;0.15296;0.72881
0.24167;-0.60405;0.15293;0.72856
0.25;-0.60412;0.15288;0.72845
0.25833;-0.60414;0.15282;0.72847
0.26667;-0.60424;0.15276;0.72845
0.275;-0.60424;0.15272;0.72844
0.28333;-0.6042;0.15266;0.72848
0.29167;-0.6041;0.15263;0.72846
0.3;-0.60422;0.15262;0.72847
0.30833;-0.60419;0.1526;0.72848
0.31667;-0.60333;0.1529;0.72833
0.325;-0.60379;0.15261;0.72852
0.33333;-0.60363;0.15267;0.72857
0.34167;-0.60332;0.15278;0.7286
0.35;-0.60294;0.15286;0.72868
0.35833;-0.60259;0.15297;0.72874
0.36667;-0.60343;0.15324;0.72913
0.375;-0.60289;0.1534;0.7292
0.38333;-0.6017;0.15352;0.72913
0.39167;-0.60057;0.15372;0.72923
0.4;-0.5994;0.15392;0.72915
0.40833;-0.59773;0.15405;0.72915
0.41667;-0.59616;0.15429;0.72915
0.425;-0.5946;0.15453;0.72922
0.43333;-0.5928;0.15475;0.72922
0.44167;-0.59108;0.1549;0.72928
0.45;-0.58929;0.15508;0.72929
0.45833;-0.58704;0.15521;0.7291
0.46667;-0.58516;0.15522;0.72908
0.475;-0.58032;0.15562;0.72815
0.48333;-0.57852;0.15584;0.72805
0.49167;-0.57679;0.15615;0.72806
0.5;-0.5753;0.15612;0.72812
0.50833;-0.57389;0.15612;0.7281
0.51667;-0.57241;0.15607;0.72816
0.525;-0.571;0.15621;0.72808
