t;X;Y;Z
0.0083333;-0.30684;0.10198;0.6876
0.016667;-0.30704;0.10177;0.68708
0.025;-0.3072;0.10152;0.68661
0.033333;-0.30727;0.10149;0.68618
0.041667;-0.30749;0.10121;0.68585
0.05;-0.30764;0.10116;0.68544
0.058333;-0.30794;0.10084;0.68531
0.066667;-0.30826;0.10063;0.6853
0.075;-0.30864;0.10054;0.68543
0.083333;-0.30893;0.10047;0.68559
0.091667;-0.30931;0.10045;0.68586
0.1;-0.30971;0.10052;0.6862
0.10833;-0.31008;0.10052;0.68666
0.11667;-0.31031;0.1007;0.68714
0.125;-0.31074;0.10063;0.6879
0.13333;-0.31103;0.10073;0.68859
0.14167;-0.31137;0.10095;0.68937
0.15;-0.31167;0.10117;0.69024
0.15833;-0.31185;0.1014;0.69116
0.16667;-0.3121;0.10169;0.69209
0.175;-0.31227;0.10195;0.69313
0.18333;-0.3124;0.10222;0.69412
0.19167;-0.31252;0.10252;0.69529
0.2;-0.31265;0.10276;0.69639
0.20833;-0.31273;0.10306;0.69746
0.21667;-0.31283;0.10336;0.69862
0.225;-0.31284;0.10363;0.69953
0.23333;-0.31283;0.10408;0.70055
0.24167;-0.31286;0.10416;0.70159
0.25;-0.31294;0.10443;0.70275
0.25833;-0.31288;0.10495;0.70377
0.26667;-0.31298;0.10511;0.70504
0.275;-0.31302;0.10547;0.70613
0.28333;-0.31304;0.10576;0.70725
0.29167;-0.31307;0.10605;0.70836
0.3;-0.31318;0.10647;0.70926
0.30833;-0.31324;0.10675;0.71044
0.31667;-0.3135;0.10716;0.71158
0.325;-0.31358;0.10767;0.71272
0.33333;-0.31386;0.10795;0.71395
0.34167;-0.31406;0.10832;0.7151
0.35;-0.31423;0.10876;0.7162
0.35833;-0.31461;0.10909;0.71722
0.36667;-0.31484;0.10948;0.71812
0.375;-0.31519;0.10989;0.71898
0.38333;-0.31554;0.11023;0.71972
0.39167;-0.31595;0.11054;0.72047
0.4;-0.3163;0.11083;0.72122
0.40833;-0.31668;0.11108;0.72209
0.41667;-0.31705;0.11124;0.72296
0.425;-0.31747;0.11136;0.72398
0.43333;-0.31779;0.11143;0.7251
0.44167;-0.31816;0.11135;0.72631
0.45;-0.31862;0.11113;0.72776
