t;X;Y;Z
0.0083333;-0.32223;0.17175;0.75894
0.016667;-0.32221;0.17174;0.7589
0.025;-0.32216;0.1718;0.75891
0.033333;-0.32221;0.17172;0.7589
0.041667;-0.3222;0.17171;0.75889
0.05;-0.32218;0.17169;0.7589
0.058333;-0.32215;0.17172;0.75889
0.066667;-0.32215;0.17172;0.75888
0.075;-0.32214;0.17167;0.75889
0.083333;-0.32213;0.17169;0.75891
0.091667;-0.3221;0.17172;0.75888
0.1;-0.32209;0.17172;0.75887
0.10833;-0.32206;0.17171;0.75887
0.11667;-0.32208;0.17168;0.75888
0.125;-0.32208;0.17169;0.75888
0.13333;-0.32203;0.17174;0.75887
0.14167;-0.3221;0.17166;0.7589
0.15;-0.32211;0.17167;0.75888
0.15833;-0.32212;0.17167;0.75891
0.16667;-0.32204;0.17174;0.75889
0.175;-0.32204;0.17175;0.75889
0.18333;-0.32203;0.17175;0.7589
0.19167;-0.32205;0.17172;0.75891
0.2;-0.32208;0.17176;0.75892
0.20833;-0.3221;0.17173;0.75891
0.21667;-0.32213;0.17172;0.75891
0.225;-0.32214;0.17172;0.75892
0.23333;-0.32211;0.17173;0.75891
0.24167;-0.32212;0.17174;0.7589
0.25;-0.32208;0.17179;0.75888
0.25833;-0.32207;0.17179;0.75889
0.26667;-0.32205;0.17179;0.75889
0.275;-0.322;0.17184;0.75889
0.28333;-0.32203;0.17181;0.75887
0.29167;-0.32202;0.17184;0.75886
0.3;-0.32204;0.17186;0.75888
0.30833;-0.322;0.17189;0.75887
0.31667;-0.32205;0.17185;0.75887
0.325;-0.32204;0.17185;0.75888
0.33333;-0.32205;0.17184;0.7589
0.34167;-0.32202;0.17189;0.75891
0.35;-0.32195;0.17196;0.75891
0.35833;-0.32196;0.17196;0.75891
0.36667;-0.32196;0.17195;0.75891
0.375;-0.32197;0.17196;0.75891
0.38333;-0.32196;0.172;0.75893
0.39167;-0.32202;0.17192;0.75895
0.4;-0.32204;0.17194;0.75896
0.40833;-0.32199;0.17201;0.75892
0.41667;-0.32198;0.172;0.75893
0.425;-0.32198;0.17199;0.75894
